order_id,opportunity_id,customer_id,order_date,lead_date,close_date,first_purchase_date,revenue,units,product_id,product_name,category,salesperson,region,country,city,stage,channel,is_returning,aov,sales_cycle_days
ORD0000014,OPP000001,CUST00191,2025-09-06,2025-09-04,2025-09-06,2023-12-03,5832.61,3,P-201,Service Y,Services,Bob,South America,ARG,Buenos Aires,Closed Won,Paid Ads,1,5832.61,2
ORD0000015,OPP000001,CUST00174,2025-10-12,2025-10-05,2025-10-12,2023-11-09,1433.22,5,P-500,Addon 1,Addons,Eve,Oceania,NZL,Auckland,Qualified,Event,1,1433.22,7
ORD0000016,OPP000003,CUST00099,2025-09-25,2025-09-12,2025-09-25,2025-07-10,4264.56,2,P-200,Service X,Services,George,Oceania,NZL,Auckland,Lead,Website,1,4264.56,13
ORD0000017,OPP000004,CUST00144,2025-10-17,2025-10-11,2025-10-17,2023-05-14,563.67,1,P-200,Service X,Services,Dustin,Europe,ESP,Madrid,Qualified,Website,1,563.67,6
ORD0000018,OPP000003,CUST00190,2025-09-19,2025-09-07,2025-09-19,2024-05-27,360.03,1,P-500,Addon 1,Addons,Farah,Asia,PAK,Karachi,Closed Won,Website,1,360.03,12
ORD0000019,OPP000003,CUST00188,2025-09-24,2025-08-31,2025-09-24,2025-04-19,416.38,5,P-301,Accessory R,Accessories,Bob,North America,CAN,Vancouver,Lead,Paid Ads,1,416.38,24
ORD0000020,OPP000002,CUST00106,2025-09-23,2025-09-01,2025-09-23,2024-02-06,422.58,3,P-500,Addon 1,Addons,George,Europe,ITA,Rome,Closed Lost,Event,1,422.58,22
ORD0000021,OPP000001,CUST00137,2025-05-31,2025-05-31,2025-05-31,2024-06-08,6650.55,4,P-200,Service X,Services,Eve,Asia,CHN,Shanghai,Qualified,Email,1,6650.55,0
ORD0000022,OPP000001,CUST00195,2025-09-19,2025-09-13,2025-09-19,2024-10-08,1518.34,2,P-101,Widget B,Hardware,Alice,Asia,JPN,Tokyo,Lead,Website,1,1518.34,6
ORD0000023,OPP000002,CUST00190,2025-06-02,2025-05-25,2025-06-02,2024-05-27,385.62,2,P-101,Widget B,Hardware,Bob,South America,BRA,Sao Paulo,Qualified,Email,1,385.62,8
ORD0000024,OPP000002,CUST00069,2025-02-02,2025-01-29,2025-02-02,2024-11-01,43.11,1,P-300,Accessory Q,Accessories,Eve,Oceania,NZL,Auckland,Proposal,Partner,1,43.11,4
ORD0000025,OPP000004,CUST00004,2025-08-04,2025-06-25,2025-08-04,2024-01-12,417.37,7,P-300,Accessory Q,Accessories,Dustin,South America,COL,Bogota,Closed Won,Email,1,417.37,40
ORD0000026,OPP000004,CUST00043,2025-09-22,2025-09-21,2025-09-22,2024-08-04,949.46,2,P-101,Widget B,Hardware,Carla,Europe,DEU,Berlin,Negotiation,Website,1,949.46,1
ORD0000027,OPP000005,CUST00008,2025-09-05,2025-08-20,2025-09-05,2023-05-07,314.72,3,P-500,Addon 1,Addons,Alice,Europe,ITA,Rome,Lead,Partner,1,314.72,16
ORD0000028,OPP000005,CUST00164,2025-10-13,2025-09-24,2025-10-13,2025-01-18,3306.07,6,P-100,Widget A,Hardware,George,Europe,GBR,London,Closed Won,Partner,1,3306.07,19
ORD0000029,OPP000006,CUST00013,2025-05-12,2025-05-09,2025-05-12,2024-03-12,4584.83,4,P-201,Service Y,Services,Eve,Asia,SGP,Singapore,Closed Lost,Event,1,4584.83,3
ORD0000030,OPP000007,CUST00009,2025-10-12,2025-09-01,2025-10-12,2024-12-21,22016.99,5,P-401,SMB Suite,Software,Bob,Europe,ESP,Madrid,Negotiation,Email,1,22016.99,41
ORD0000031,OPP000001,CUST00151,2025-04-19,2025-04-18,2025-04-19,2024-08-31,34509.33,5,P-400,Enterprise Suite,Software,Dustin,Asia,SGP,Singapore,Negotiation,Event,1,34509.33,1
ORD0000032,OPP000004,CUST00145,2025-10-06,2025-10-05,2025-10-06,2023-08-29,1324.49,3,P-101,Widget B,Hardware,George,North America,CAN,Vancouver,Lead,Website,1,1324.49,1
ORD0000033,OPP000005,CUST00083,2025-08-01,2025-07-05,2025-08-01,2024-05-08,7008.4,5,P-201,Service Y,Services,Bob,Europe,ITA,Rome,Negotiation,Website,1,7008.4,27
ORD0000034,OPP000002,CUST00019,2025-10-12,2025-10-03,2025-10-12,2025-02-08,8721.56,1,P-401,SMB Suite,Software,George,Europe,GBR,Manchester,Lead,Website,1,8721.56,9
ORD0000035,OPP000003,CUST00061,2025-04-12,2025-03-24,2025-04-12,2024-01-15,1636.74,4,P-100,Widget A,Hardware,George,Oceania,AUS,Sydney,Closed Won,Paid Ads,1,1636.74,19
ORD0000036,OPP000001,CUST00173,2025-10-14,2025-10-12,2025-10-14,2024-05-13,9935.35,3,P-401,SMB Suite,Software,Alice,South America,BRA,Rio de Janeiro,Closed Lost,Partner,1,9935.35,2
ORD0000037,OPP000008,CUST00049,2025-06-05,2025-05-28,2025-06-05,2025-09-08,19112.54,4,P-400,Enterprise Suite,Software,Dustin,Asia,SGP,Singapore,Qualified,Website,0,19112.54,8
ORD0000038,OPP000001,CUST00090,2025-08-23,2025-08-20,2025-08-23,2024-08-05,6257.36,3,P-200,Service X,Services,Alice,Europe,FRA,Paris,Lead,Website,1,6257.36,3
ORD0000039,OPP000003,CUST00157,2025-10-01,2025-09-30,2025-10-01,2025-02-28,264.21,5,P-301,Accessory R,Accessories,Dustin,North America,USA,Chicago,Qualified,Email,1,264.21,1
ORD0000040,OPP000004,CUST00146,2024-05-14,2024-05-12,2024-05-14,2023-11-03,3961.62,7,P-100,Widget A,Hardware,Alice,Oceania,AUS,Sydney,Lead,Event,1,3961.62,2
ORD0000041,OPP000002,CUST00197,2023-04-30,2023-02-10,2023-04-30,2024-09-22,13576.92,6,P-400,Enterprise Suite,Software,Eve,North America,MEX,Mexico City,Proposal,Website,0,13576.92,79
ORD0000042,OPP000004,CUST00072,2025-10-14,2025-10-15,2025-10-14,2023-07-17,1384.18,6,P-500,Addon 1,Addons,Farah,Asia,JPN,Tokyo,Proposal,Partner,1,1384.18,0
ORD0000043,OPP000002,CUST00151,2025-05-15,2025-05-02,2025-05-15,2024-08-31,60.0,3,P-300,Accessory Q,Accessories,Dustin,South America,BRA,Rio de Janeiro,Closed Won,Website,1,60.0,13
ORD0000044,OPP000005,CUST00166,2025-09-09,2025-08-07,2025-09-09,2023-04-21,2997.7,5,P-100,Widget A,Hardware,Alice,South America,COL,Bogota,Closed Won,Website,1,2997.7,33
ORD0000045,OPP000008,CUST00069,2024-07-14,2024-07-05,2024-07-14,2024-11-01,3357.0,4,P-200,Service X,Services,Carla,Asia,IND,Bengaluru,Closed Won,Partner,0,3357.0,9
ORD0000046,OPP000005,CUST00093,2024-08-22,2024-08-10,2024-08-22,2025-04-15,956.06,4,P-500,Addon 1,Addons,Farah,Asia,PAK,Karachi,Proposal,Partner,0,956.06,12
ORD0000047,OPP000003,CUST00012,2025-09-26,2025-09-20,2025-09-26,2023-11-17,1447.0,3,P-101,Widget B,Hardware,Alice,Europe,FRA,Paris,Closed Won,Paid Ads,1,1447.0,6
ORD0000048,OPP000005,CUST00061,2025-10-15,2025-10-17,2025-10-15,2024-01-15,222.28,3,P-300,Accessory Q,Accessories,Bob,Oceania,AUS,Melbourne,Closed Won,Website,1,222.28,0
ORD0000049,OPP000005,CUST00028,2025-08-31,2025-08-23,2025-08-31,2024-05-06,482.6,2,P-500,Addon 1,Addons,Alice,South America,ARG,Buenos Aires,Proposal,Partner,1,482.6,8
ORD0000050,OPP000003,CUST00018,2025-08-17,2025-08-07,2025-08-17,2025-09-04,725.79,3,P-100,Widget A,Hardware,Farah,North America,CAN,Toronto,Qualified,Website,0,725.79,10
ORD0000051,OPP000008,CUST00126,2025-10-12,2025-10-02,2025-10-12,2024-09-18,46306.13,5,P-401,SMB Suite,Software,Alice,Oceania,NZL,Auckland,Qualified,Website,1,46306.13,10
ORD0000052,OPP000007,CUST00169,2025-09-30,2025-08-29,2025-09-30,2025-05-22,7591.39,4,P-200,Service X,Services,Eve,Oceania,AUS,Melbourne,Lead,Website,1,7591.39,32
ORD0000053,OPP000001,CUST00070,2025-09-16,2025-09-14,2025-09-16,2025-09-30,48.0,3,P-200,Service X,Services,George,North America,CAN,Vancouver,Lead,Website,0,48.0,2
ORD0000054,OPP000007,CUST00075,2025-03-14,2025-02-19,2025-03-14,2024-06-17,127.39,2,P-301,Accessory R,Accessories,Carla,Europe,DEU,Berlin,Closed Won,Partner,1,127.39,23
ORD0000055,OPP000009,CUST00136,2025-08-26,2025-08-01,2025-08-26,2025-02-19,6192.16,4,P-200,Service X,Services,Dustin,Europe,DEU,Berlin,Closed Won,Website,1,6192.16,25
ORD0000056,OPP000002,CUST00126,2025-10-06,2025-09-27,2025-10-06,2024-09-18,168.36,2,P-301,Accessory R,Accessories,Carla,South America,COL,Bogota,Lead,Website,1,168.36,9
ORD0000057,OPP000008,CUST00172,2025-10-06,2025-09-20,2025-10-06,2025-06-19,18581.54,2,P-400,Enterprise Suite,Software,Bob,North America,CAN,Toronto,Lead,Event,1,18581.54,16
ORD0000058,OPP000007,CUST00188,2024-09-11,2024-09-10,2024-09-11,2025-04-19,144.06,4,P-301,Accessory R,Accessories,Alice,Asia,CHN,Shanghai,Proposal,Event,0,144.06,1
ORD0000059,OPP000007,CUST00072,2025-04-08,2025-03-20,2025-04-08,2023-07-17,259.39,4,P-301,Accessory R,Accessories,Carla,Asia,IND,Mumbai,Proposal,Email,1,259.39,19
ORD0000060,OPP000005,CUST00072,2025-08-15,2025-08-09,2025-08-15,2023-07-17,987.64,5,P-500,Addon 1,Addons,Carla,Asia,IND,Bengaluru,Qualified,Partner,1,987.64,6
ORD0000061,OPP000006,CUST00104,2025-09-26,2025-09-16,2025-09-26,2023-12-24,1890.31,5,P-100,Widget A,Hardware,Carla,North America,MEX,Mexico City,Proposal,Paid Ads,1,1890.31,10
ORD0000062,OPP000001,CUST00185,2025-09-06,2025-09-03,2025-09-06,2024-10-31,14217.58,2,P-400,Enterprise Suite,Software,Eve,Oceania,AUS,Melbourne,Closed Won,Event,1,14217.58,3
ORD0000063,OPP000006,CUST00097,2025-10-14,2025-10-04,2025-10-14,2024-01-11,95.0,5,P-400,Enterprise Suite,Software,Carla,North America,MEX,Mexico City,Lead,Partner,1,95.0,10
ORD0000064,OPP000007,CUST00164,2025-07-20,2025-07-16,2025-07-20,2025-01-18,169.16,4,P-301,Accessory R,Accessories,Eve,North America,MEX,Mexico City,Proposal,Paid Ads,1,169.16,4
ORD0000065,OPP000010,CUST00140,2025-01-01,2024-12-30,2025-01-01,2025-05-28,125.73,2,P-301,Accessory R,Accessories,Eve,South America,COL,Bogota,Closed Won,Email,0,125.73,2
ORD0000066,OPP000007,CUST00037,2025-05-25,2025-05-23,2025-05-25,2025-08-20,56905.86,7,P-400,Enterprise Suite,Software,Eve,South America,COL,Bogota,Closed Lost,Event,0,56905.86,2
ORD0000067,OPP000010,CUST00182,2025-03-18,2025-03-13,2025-03-18,2025-08-27,935.32,3,P-500,Addon 1,Addons,Bob,North America,CAN,Vancouver,Closed Won,Email,0,935.32,5
ORD0000068,OPP000008,CUST00035,2025-08-28,2025-08-18,2025-08-28,2023-12-25,180.96,5,P-301,Accessory R,Accessories,Farah,South America,ARG,Buenos Aires,Proposal,Website,1,180.96,10
ORD0000069,OPP000004,CUST00152,2025-07-08,2025-07-06,2025-07-08,2024-05-27,2123.3,1,P-200,Service X,Services,Alice,North America,CAN,Vancouver,Lead,Website,1,2123.3,2
ORD0000070,OPP000011,CUST00049,2025-10-12,2025-09-24,2025-10-12,2025-09-08,86.49,3,P-300,Accessory Q,Accessories,Alice,Europe,DEU,Berlin,Proposal,Partner,1,86.49,18
ORD0000071,OPP000010,CUST00141,2025-08-25,2025-08-18,2025-08-25,2024-08-18,28031.06,5,P-401,SMB Suite,Software,Dustin,Oceania,AUS,Melbourne,Negotiation,Partner,1,28031.06,7
ORD0000072,OPP000012,CUST00113,2025-08-28,2025-08-17,2025-08-28,2025-06-16,3959.82,2,P-201,Service Y,Services,Bob,South America,ARG,Buenos Aires,Closed Lost,Website,1,3959.82,11
ORD0000073,OPP000012,CUST00110,2025-08-11,2025-07-20,2025-08-11,2024-03-19,2424.55,6,P-100,Widget A,Hardware,Bob,North America,CAN,Toronto,Qualified,Partner,1,2424.55,22
ORD0000074,OPP000013,CUST00051,2025-06-16,2025-06-13,2025-06-16,2023-12-16,165.55,2,P-500,Addon 1,Addons,George,South America,BRA,Sao Paulo,Closed Won,Event,1,165.55,3
ORD0000075,OPP000010,CUST00196,2024-11-07,2024-11-05,2024-11-07,2023-05-22,6605.99,3,P-200,Service X,Services,George,South America,COL,Bogota,Lead,Event,1,6605.99,2
ORD0000076,OPP000008,CUST00029,2025-09-13,2025-08-13,2025-09-13,2023-10-25,1046.37,4,P-500,Addon 1,Addons,Bob,South America,COL,Bogota,Qualified,Email,1,1046.37,31
ORD0000077,OPP000008,CUST00166,2025-04-28,2025-04-22,2025-04-28,2023-04-21,27844.73,5,P-401,SMB Suite,Software,George,Asia,CHN,Beijing,Lead,Partner,1,27844.73,6
ORD0000078,OPP000005,CUST00014,2025-05-24,2025-05-08,2025-05-24,2024-07-18,6092.52,4,P-201,Service Y,Services,Farah,Asia,SGP,Singapore,Closed Won,Email,1,6092.52,16
ORD0000079,OPP000012,CUST00037,2025-10-15,2025-10-15,2025-10-15,2025-08-20,256.82,3,P-301,Accessory R,Accessories,Bob,Oceania,AUS,Sydney,Lead,Website,1,256.82,0
ORD0000080,OPP000008,CUST00027,2025-02-11,2025-01-14,2025-02-11,2025-06-30,6950.0,4,P-200,Service X,Services,Dustin,Europe,GBR,Manchester,Qualified,Website,0,6950.0,28
ORD0000081,OPP000010,CUST00122,2025-08-19,2025-08-13,2025-08-19,2025-07-07,12284.97,3,P-400,Enterprise Suite,Software,Dustin,North America,USA,San Francisco,Negotiation,Email,1,12284.97,6
ORD0000082,OPP000005,CUST00054,2025-08-16,2025-08-01,2025-08-16,2023-08-25,2372.86,4,P-100,Widget A,Hardware,Alice,Oceania,NZL,Auckland,Proposal,Website,1,2372.86,15
ORD0000083,OPP000007,CUST00190,2024-10-12,2024-10-10,2024-10-12,2024-05-27,33239.83,4,P-400,Enterprise Suite,Software,Dustin,South America,COL,Bogota,Proposal,Website,1,33239.83,2
ORD0000084,OPP000007,CUST00108,2025-06-01,2025-05-28,2025-06-01,2025-04-05,9696.89,3,P-401,SMB Suite,Software,Farah,North America,CAN,Vancouver,Lead,Paid Ads,1,9696.89,4
ORD0000085,OPP000011,CUST00055,2025-07-22,2025-07-21,2025-07-22,2024-08-13,14451.72,11,P-200,Service X,Services,Dustin,South America,BRA,Sao Paulo,Closed Lost,Partner,1,14451.72,1
ORD0000086,OPP000003,CUST00086,2024-12-25,2024-12-25,2024-12-25,2024-11-02,3578.26,9,P-100,Widget A,Hardware,Bob,North America,MEX,Mexico City,Lead,Partner,1,3578.26,0
ORD0000087,OPP000006,CUST00108,2025-10-03,2025-10-02,2025-10-03,2025-04-05,1770.84,4,P-100,Widget A,Hardware,Bob,Asia,SGP,Singapore,Qualified,Email,1,1770.84,1
ORD0000088,OPP000014,CUST00016,2025-09-10,2025-08-12,2025-09-10,2024-04-23,4562.52,4,P-400,Enterprise Suite,Software,George,Asia,SGP,Singapore,Qualified,Paid Ads,1,4562.52,29
ORD0000089,OPP000013,CUST00123,2023-10-13,2023-10-07,2023-10-13,2023-06-20,5221.85,8,P-100,Widget A,Hardware,Bob,Oceania,AUS,Melbourne,Lead,Website,1,5221.85,6
ORD0000090,OPP000015,CUST00158,2025-03-19,2025-03-02,2025-03-19,2025-09-04,1265.37,4,P-100,Widget A,Hardware,George,North America,USA,New York,Qualified,Website,0,1265.37,17
ORD0000091,OPP000016,CUST00187,2024-11-13,2024-10-23,2024-11-13,2025-10-02,5771.67,2,P-200,Service X,Services,Farah,Europe,DEU,Munich,Closed Lost,Website,0,5771.67,21
ORD0000092,OPP000004,CUST00148,2025-03-16,2025-03-13,2025-03-16,2025-06-04,3304.99,3,P-201,Service Y,Services,George,South America,COL,Bogota,Lead,Paid Ads,0,3304.99,3
ORD0000093,OPP000013,CUST00120,2025-08-27,2025-08-27,2025-08-27,2023-09-20,6653.9,7,P-200,Service X,Services,Carla,Asia,IND,Bengaluru,Lead,Website,1,6653.9,0
ORD0000094,OPP000010,CUST00089,2025-07-14,2025-07-02,2025-07-14,2025-07-16,17828.49,3,P-400,Enterprise Suite,Software,Alice,Europe,GBR,London,Closed Won,Paid Ads,0,17828.49,12
ORD0000095,OPP000012,CUST00076,2025-10-12,2025-10-13,2025-10-12,2024-09-06,1303.34,4,P-101,Widget B,Hardware,Eve,Oceania,AUS,Melbourne,Lead,Event,1,1303.34,0
ORD0000096,OPP000014,CUST00081,2025-10-17,2025-10-10,2025-10-17,2024-10-29,1076.55,8,P-500,Addon 1,Addons,George,Asia,IND,Mumbai,Lead,Website,1,1076.55,7
ORD0000097,OPP000017,CUST00048,2025-06-17,2025-05-23,2025-06-17,2024-10-30,202.32,5,P-301,Accessory R,Accessories,Dustin,South America,COL,Bogota,Lead,Event,1,202.32,25
ORD0000098,OPP000009,CUST00077,2025-07-25,2025-07-25,2025-07-25,2025-05-31,166.64,5,P-300,Accessory Q,Accessories,Dustin,Oceania,NZL,Auckland,Proposal,Email,1,166.64,0
ORD0000099,OPP000015,CUST00070,2025-09-08,2025-09-08,2025-09-08,2025-09-30,261.63,4,P-301,Accessory R,Accessories,Dustin,Europe,GBR,Manchester,Closed Won,Paid Ads,0,261.63,0
ORD0000100,OPP000016,CUST00192,2025-05-23,2025-05-23,2025-05-23,2025-05-04,22872.75,4,P-400,Enterprise Suite,Software,George,Asia,IND,Mumbai,Closed Lost,Paid Ads,1,22872.75,0
ORD0000101,OPP000009,CUST00164,2025-06-26,2025-06-14,2025-06-26,2025-01-18,2337.95,2,P-201,Service Y,Services,Carla,Asia,JPN,Osaka,Qualified,Website,1,2337.95,12
ORD0000102,OPP000014,CUST00174,2025-09-12,2025-08-03,2025-09-12,2023-11-09,826.9,3,P-500,Addon 1,Addons,Alice,North America,MEX,Mexico City,Qualified,Event,1,826.9,40
ORD0000103,OPP000015,CUST00175,2025-06-17,2025-06-03,2025-06-17,2023-05-01,18901.21,3,P-401,SMB Suite,Software,Farah,Oceania,AUS,Melbourne,Negotiation,Website,1,18901.21,14
ORD0000104,OPP000010,CUST00185,2025-08-13,2025-08-08,2025-08-13,2024-10-31,1382.87,4,P-100,Widget A,Hardware,Dustin,North America,CAN,Toronto,Negotiation,Partner,1,1382.87,5
ORD0000105,OPP000011,CUST00027,2024-09-01,2024-08-30,2024-09-01,2025-06-30,524.89,7,P-301,Accessory R,Accessories,Dustin,South America,COL,Bogota,Lead,Website,0,524.89,2
ORD0000106,OPP000007,CUST00084,2025-08-14,2025-08-11,2025-08-14,2023-04-18,119.66,2,P-301,Accessory R,Accessories,Carla,South America,ARG,Buenos Aires,Qualified,Email,1,119.66,3
ORD0000107,OPP000016,CUST00139,2024-06-08,2024-06-06,2024-06-08,2024-04-29,481.58,7,P-301,Accessory R,Accessories,Bob,North America,MEX,Mexico City,Lead,Partner,1,481.58,2
ORD0000108,OPP000008,CUST00080,2025-08-02,2025-07-30,2025-08-02,2023-07-06,267.68,4,P-300,Accessory Q,Accessories,George,Oceania,NZL,Auckland,Closed Won,Website,1,267.68,3
ORD0000109,OPP000009,CUST00077,2025-10-15,2025-10-08,2025-10-15,2025-05-31,160.52,4,P-301,Accessory R,Accessories,Farah,Europe,FRA,Paris,Negotiation,Email,1,160.52,7
ORD0000110,OPP000016,CUST00134,2025-07-14,2025-07-01,2025-07-14,2024-11-29,2301.62,7,P-100,Widget A,Hardware,Farah,North America,MEX,Mexico City,Negotiation,Partner,1,2301.62,13
ORD0000111,OPP000011,CUST00134,2025-04-05,2025-03-28,2025-04-05,2024-11-29,892.8,4,P-101,Widget B,Hardware,Dustin,North America,MEX,Mexico City,Negotiation,Partner,1,892.8,8
ORD0000112,OPP000017,CUST00082,2025-10-16,2025-10-15,2025-10-16,2025-09-04,1261.25,4,P-100,Widget A,Hardware,George,Asia,SGP,Singapore,Lead,Partner,1,1261.25,1
ORD0000113,OPP000018,CUST00097,2025-03-13,2025-03-11,2025-03-13,2024-01-11,81497.14,8,P-401,SMB Suite,Software,Bob,North America,MEX,Mexico City,Qualified,Email,1,81497.14,2
ORD0000114,OPP000008,CUST00079,2025-01-20,2025-01-13,2025-01-20,2023-11-08,232.98,4,P-300,Accessory Q,Accessories,Eve,North America,USA,New York,Negotiation,Email,1,232.98,7
ORD0000115,OPP000014,CUST00099,2025-04-28,2025-04-21,2025-04-28,2025-07-10,957.07,5,P-500,Addon 1,Addons,Carla,South America,ARG,Buenos Aires,Qualified,Partner,0,957.07,7
ORD0000116,OPP000007,CUST00084,2025-07-04,2025-07-02,2025-07-04,2023-04-18,167.58,5,P-300,Accessory Q,Accessories,George,Oceania,AUS,Sydney,Lead,Paid Ads,1,167.58,2
ORD0000117,OPP000006,CUST00047,2025-10-15,2025-09-15,2025-10-15,2025-03-03,186.92,4,P-300,Accessory Q,Accessories,Bob,North America,USA,New York,Closed Lost,Website,1,186.92,30
ORD0000118,OPP000019,CUST00118,2025-09-25,2025-09-25,2025-09-25,2024-08-21,1734.17,8,P-100,Widget A,Hardware,Carla,South America,ARG,Buenos Aires,Qualified,Website,1,1734.17,0
ORD0000119,OPP000009,CUST00037,2024-11-20,2024-11-20,2024-11-20,2025-08-20,152.9,4,P-300,Accessory Q,Accessories,Farah,Asia,SGP,Singapore,Closed Lost,Paid Ads,0,152.9,0
ORD0000120,OPP000020,CUST00043,2025-10-12,2025-10-15,2025-10-12,2024-08-04,7527.88,5,P-201,Service Y,Services,Farah,South America,BRA,Sao Paulo,Lead,Website,1,7527.88,0
ORD0000121,OPP000020,CUST00052,2025-05-27,2025-05-24,2025-05-27,2025-07-26,285.85,4,P-300,Accessory Q,Accessories,Bob,Europe,GBR,London,Negotiation,Event,0,285.85,3
ORD0000122,OPP000013,CUST00171,2025-06-11,2025-06-02,2025-06-11,2025-09-03,168.19,4,P-300,Accessory Q,Accessories,Farah,South America,BRA,Rio de Janeiro,Negotiation,Email,0,168.19,9
ORD0000123,OPP000014,CUST00147,2024-12-06,2024-11-12,2024-12-06,2025-08-03,72.0,4,P-300,Accessory Q,Accessories,Alice,Oceania,NZL,Auckland,Closed Lost,Email,0,72.0,24
ORD0000124,OPP000019,CUST00077,2025-09-08,2025-09-07,2025-09-08,2025-05-31,548.96,8,P-301,Accessory R,Accessories,Alice,Oceania,NZL,Auckland,Qualified,Email,1,548.96,1
ORD0000125,OPP000016,CUST00143,2025-07-03,2025-06-20,2025-07-03,2023-05-27,1757.57,5,P-100,Widget A,Hardware,George,Asia,PAK,Karachi,Lead,Email,1,1757.57,13
ORD0000126,OPP000016,CUST00194,2025-08-10,2025-08-04,2025-08-10,2023-10-04,788.89,4,P-500,Addon 1,Addons,Eve,South America,ARG,Buenos Aires,Qualified,Website,1,788.89,6
ORD0000127,OPP000004,CUST00037,2025-09-23,2025-09-14,2025-09-23,2025-08-20,3279.96,6,P-101,Widget B,Hardware,Carla,South America,ARG,Buenos Aires,Closed Lost,Email,1,3279.96,9
ORD0000128,OPP000013,CUST00051,2025-10-16,2025-10-10,2025-10-16,2023-12-16,93.61,2,P-301,Accessory R,Accessories,Carla,South America,COL,Bogota,Qualified,Website,1,93.61,6
ORD0000129,OPP000004,CUST00027,2024-12-13,2024-12-03,2024-12-13,2025-06-30,642.09,3,P-500,Addon 1,Addons,Carla,North America,CAN,Toronto,Proposal,Website,0,642.09,10
ORD0000130,OPP000021,CUST00108,2025-10-03,2025-09-23,2025-10-03,2025-04-05,14601.66,3,P-400,Enterprise Suite,Software,Dustin,Oceania,AUS,Melbourne,Closed Lost,Partner,1,14601.66,10
ORD0000131,OPP000002,CUST00007,2025-04-04,2025-03-29,2025-04-04,2025-03-17,659.4,3,P-500,Addon 1,Addons,Farah,Asia,PAK,Lahore,Closed Won,Email,1,659.4,6
ORD0000132,OPP000016,CUST00122,2025-09-27,2025-08-25,2025-09-27,2025-07-07,10831.04,4,P-201,Service Y,Services,Carla,Asia,PAK,Karachi,Closed Won,Email,1,10831.04,33
ORD0000133,OPP000018,CUST00089,2025-10-17,2025-10-05,2025-10-17,2025-07-16,1504.21,3,P-100,Widget A,Hardware,Carla,Oceania,AUS,Sydney,Lead,Website,1,1504.21,12
ORD0000134,OPP000021,CUST00143,2025-09-19,2025-09-16,2025-09-19,2023-05-27,23310.39,4,P-400,Enterprise Suite,Software,Dustin,North America,USA,New York,Qualified,Partner,1,23310.39,3
ORD0000135,OPP000014,CUST00146,2025-08-23,2025-08-16,2025-08-23,2023-11-03,9206.95,5,P-200,Service X,Services,Eve,South America,COL,Bogota,Lead,Website,1,9206.95,7
