deal_ref,client_ref,event_time,item_code,item_label,grouping,qty,price,amount,value,territory,source,owner,status
D-300043,CL-3520,2024-08-13,SKU-102,Analytics Suite,Software,20,708,14160,14145,NA,ColdCall,Agent_8,Won
D-300044,CL-3244,2023-10-28,SKU-102,Analytics Suite,Software,13,1210,15730,15763,EU,Web,Agent_5,Closed
D-300045,CL-6872,2024-12-23,SKU-101,CRM Pro,Software,2,855,1710,1671,APAC,ColdCall,Agent_2,Lost
D-300046,CL-5558,2023-07-17,SKU-102,Analytics Suite,Software,24,1625,39000,38979,APAC,ColdCall,Agent_2,Closed
D-300047,CL-5144,2023-05-07,SKU-201,POS Terminal,Hardware,25,1515,37875,37852,NA,ColdCall,Agent_7,Lost
D-300048,CL-5293,2023-10-02,SKU-102,Analytics Suite,Software,10,1320,13200,13165,APAC,Web,Agent_8,Closed
D-300049,CL-6707,2023-07-03,SKU-102,Analytics Suite,Software,2,351,702,673,APAC,Web,Agent_9,Won
D-300050,CL-3275,2023-01-09,SKU-201,POS Terminal,Hardware,14,1188,16632,16610,NA,Partner,Agent_8,Lost
D-300051,CL-7435,2023-06-12,SKU-101,CRM Pro,Software,2,868,1736,1690,APAC,Partner,Agent_11,Lost
D-300052,CL-7754,2023-02-07,SKU-201,POS Terminal,Hardware,23,725,16675,16722,NA,Partner,Agent_1,Won
D-300053,CL-5005,2024-08-14,SKU-101,CRM Pro,Software,23,112,2576,2573,EU,Web,Agent_5,Closed
D-300054,CL-4885,2023-07-23,SKU-102,Analytics Suite,Software,13,976,12688,12724,EU,ColdCall,Agent_7,Won
D-300055,CL-4139,2023-06-26,SKU-201,POS Terminal,Hardware,19,1116,21204,21167,NA,ColdCall,Agent_7,Lost
D-300056,CL-6345,2024-02-01,SKU-102,Analytics Suite,Software,2,1533,3066,3053,NA,Web,Agent_6,Won
D-300057,CL-5329,2023-11-03,SKU-101,CRM Pro,Software,11,928,10208,10179,NA,ColdCall,Agent_2,Lost
D-300058,CL-2606,2024-01-17,SKU-101,CRM Pro,Software,3,1707,5121,5135,APAC,Web,Agent_2,Lost
D-300059,CL-3183,2023-08-30,SKU-201,POS Terminal,Hardware,4,540,2160,2202,EU,Partner,Agent_7,Won
D-300060,CL-7945,2023-05-11,SKU-201,POS Terminal,Hardware,3,799,2397,2445,APAC,Partner,Agent_9,Closed
D-300061,CL-6292,2023-10-03,SKU-201,POS Terminal,Hardware,13,852,11076,11077,NA,Web,Agent_11,Closed
D-300062,CL-7388,2023-01-14,SKU-102,Analytics Suite,Software,7,736,5152,5136,APAC,ColdCall,Agent_6,Closed
D-300063,CL-7326,2024-09-05,SKU-201,POS Terminal,Hardware,13,913,11869,11845,EU,Partner,Agent_1,Closed
D-300064,CL-5683,2024-03-14,SKU-101,CRM Pro,Software,19,1035,19665,19657,APAC,ColdCall,Agent_10,Won
D-300065,CL-3440,2023-10-21,SKU-201,POS Terminal,Hardware,19,229,4351,4314,NA,Web,Agent_3,Closed
D-300066,CL-7883,2024-03-13,SKU-201,POS Terminal,Hardware,20,656,13120,13159,APAC,ColdCall,Agent_4,Lost
D-300067,CL-6339,2023-09-12,SKU-101,CRM Pro,Software,5,567,2835,2832,APAC,Partner,Agent_3,Lost
D-300068,CL-2679,2023-04-25,SKU-201,POS Terminal,Hardware,10,173,1730,1723,NA,Partner,Agent_9,Won
D-300069,CL-7666,2023-08-16,SKU-102,Analytics Suite,Software,12,1521,18252,18222,EU,Partner,Agent_9,Lost
D-300070,CL-6478,2023-03-21,SKU-102,Analytics Suite,Software,20,324,6480,6456,EU,Web,Agent_3,Closed
D-300071,CL-6247,2023-03-25,SKU-201,POS Terminal,Hardware,21,1116,23436,23453,EU,ColdCall,Agent_9,Closed
D-300072,CL-4297,2024-03-19,SKU-101,CRM Pro,Software,8,327,2616,2571,NA,Web,Agent_7,Won
D-300073,CL-5034,2023-03-18,SKU-101,CRM Pro,Software,11,1397,15367,15413,APAC,Web,Agent_5,Closed
D-300074,CL-4353,2023-11-24,SKU-201,POS Terminal,Hardware,2,524,1048,1091,APAC,ColdCall,Agent_6,Lost
D-300075,CL-2929,2023-06-09,SKU-201,POS Terminal,Hardware,3,424,1272,1298,EU,Web,Agent_8,Lost
D-300076,CL-2657,2023-06-28,SKU-101,CRM Pro,Software,14,1699,23786,23836,NA,Partner,Agent_7,Closed
D-300077,CL-2387,2023-07-14,SKU-201,POS Terminal,Hardware,24,986,23664,23699,NA,Web,Agent_10,Closed
D-300078,CL-6290,2024-11-02,SKU-201,POS Terminal,Hardware,18,382,6876,6907,EU,ColdCall,Agent_2,Closed
D-300079,CL-3951,2023-01-24,SKU-101,CRM Pro,Software,1,208,208,239,APAC,ColdCall,Agent_5,Won
D-300080,CL-6518,2023-06-29,SKU-102,Analytics Suite,Software,25,1287,32175,32151,APAC,Web,Agent_5,Closed
D-300081,CL-3274,2024-01-22,SKU-201,POS Terminal,Hardware,13,421,5473,5483,EU,ColdCall,Agent_3,Closed
D-300082,CL-4490,2024-05-08,SKU-201,POS Terminal,Hardware,1,485,485,523,APAC,Web,Agent_5,Lost
D-300083,CL-2938,2024-11-26,SKU-101,CRM Pro,Software,4,111,444,417,APAC,Web,Agent_2,Closed
D-300084,CL-2056,2023-11-05,SKU-201,POS Terminal,Hardware,15,1291,19365,19361,APAC,Web,Agent_11,Won
D-300085,CL-7364,2024-11-06,SKU-102,Analytics Suite,Software,17,1662,28254,28277,APAC,Web,Agent_8,Lost
D-300086,CL-4689,2023-09-28,SKU-201,POS Terminal,Hardware,17,1355,23035,23031,EU,ColdCall,Agent_10,Closed
D-300087,CL-4231,2024-11-07,SKU-201,POS Terminal,Hardware,1,1746,1746,1739,APAC,ColdCall,Agent_7,Won
D-300088,CL-2784,2023-10-03,SKU-101,CRM Pro,Software,12,1519,18228,18184,APAC,ColdCall,Agent_8,Closed
D-300089,CL-3323,2024-03-30,SKU-102,Analytics Suite,Software,24,565,13560,13511,NA,Partner,Agent_1,Lost
D-300090,CL-4143,2023-08-16,SKU-101,CRM Pro,Software,14,471,6594,6562,APAC,Partner,Agent_5,Won
D-300091,CL-3339,2023-04-28,SKU-102,Analytics Suite,Software,17,523,8891,8927,APAC,Web,Agent_10,Lost
D-300092,CL-4138,2024-09-07,SKU-201,POS Terminal,Hardware,3,293,879,829,EU,Web,Agent_11,Lost
D-300093,CL-4535,2024-01-03,SKU-102,Analytics Suite,Software,24,1433,34392,34373,EU,ColdCall,Agent_1,Closed
D-300094,CL-5870,2024-06-06,SKU-101,CRM Pro,Software,18,1766,31788,31746,APAC,Web,Agent_4,Closed
D-300095,CL-2385,2024-08-07,SKU-102,Analytics Suite,Software,17,178,3026,3044,EU,Partner,Agent_9,Won
D-300096,CL-5664,2023-10-13,SKU-102,Analytics Suite,Software,7,1535,10745,10721,EU,ColdCall,Agent_6,Won
D-300097,CL-2045,2024-02-18,SKU-102,Analytics Suite,Software,10,987,9870,9914,APAC,Web,Agent_11,Lost
D-300098,CL-4020,2023-05-21,SKU-101,CRM Pro,Software,19,846,16074,16105,APAC,ColdCall,Agent_11,Closed
D-300099,CL-3945,2024-02-25,SKU-101,CRM Pro,Software,23,1470,33810,33855,APAC,Web,Agent_7,Lost
D-300100,CL-3310,2024-05-08,SKU-102,Analytics Suite,Software,18,807,14526,14525,APAC,Web,Agent_6,Lost
D-300101,CL-7524,2023-12-11,SKU-201,POS Terminal,Hardware,11,568,6248,6253,NA,Partner,Agent_1,Lost
D-300102,CL-2407,2023-01-21,SKU-102,Analytics Suite,Software,15,1079,16185,16197,APAC,Web,Agent_3,Won
D-300103,CL-3405,2024-09-29,SKU-101,CRM Pro,Software,17,335,5695,5660,APAC,Web,Agent_7,Lost
D-300104,CL-2348,2024-12-17,SKU-101,CRM Pro,Software,1,1299,1299,1312,APAC,ColdCall,Agent_3,Closed
D-300105,CL-4873,2023-01-16,SKU-101,CRM Pro,Software,14,761,10654,10644,EU,Web,Agent_3,Closed
D-300106,CL-2455,2023-08-24,SKU-101,CRM Pro,Software,4,998,3992,3951,EU,Partner,Agent_7,Closed
D-300107,CL-7483,2024-04-07,SKU-101,CRM Pro,Software,1,1149,1149,1102,APAC,Partner,Agent_3,Won
D-300108,CL-4701,2024-03-04,SKU-102,Analytics Suite,Software,19,840,15960,15969,APAC,ColdCall,Agent_9,Won
D-300109,CL-5343,2023-10-15,SKU-101,CRM Pro,Software,20,1615,32300,32259,NA,ColdCall,Agent_11,Won
D-300110,CL-6529,2024-10-03,SKU-201,POS Terminal,Hardware,25,1396,34900,34908,NA,Partner,Agent_6,Lost
D-300111,CL-3652,2024-06-18,SKU-201,POS Terminal,Hardware,6,1609,9654,9628,APAC,ColdCall,Agent_10,Won
D-300112,CL-4554,2024-09-04,SKU-102,Analytics Suite,Software,22,335,7370,7405,APAC,ColdCall,Agent_9,Won
D-300113,CL-6267,2024-08-24,SKU-101,CRM Pro,Software,18,738,13284,13292,APAC,Web,Agent_8,Closed
D-300114,CL-4205,2024-09-28,SKU-201,POS Terminal,Hardware,3,1243,3729,3764,APAC,ColdCall,Agent_4,Lost
D-300115,CL-2953,2023-01-21,SKU-201,POS Terminal,Hardware,17,994,16898,16864,EU,ColdCall,Agent_5,Closed
D-300116,CL-7676,2023-11-27,SKU-101,CRM Pro,Software,21,1667,35007,35030,NA,Partner,Agent_9,Closed
D-300117,CL-2730,2023-12-02,SKU-102,Analytics Suite,Software,25,703,17575,17576,APAC,Web,Agent_2,Won
D-300118,CL-3350,2024-11-11,SKU-201,POS Terminal,Hardware,21,1754,36834,36828,NA,Partner,Agent_6,Won
D-300119,CL-7017,2024-01-25,SKU-102,Analytics Suite,Software,24,1045,25080,25088,NA,Partner,Agent_11,Won
D-300120,CL-3837,2024-06-24,SKU-201,POS Terminal,Hardware,8,1490,11920,11886,EU,Web,Agent_2,Closed
D-300121,CL-6881,2023-03-12,SKU-101,CRM Pro,Software,4,960,3840,3869,NA,Partner,Agent_5,Closed
D-300122,CL-7253,2023-12-20,SKU-101,CRM Pro,Software,18,509,9162,9210,NA,ColdCall,Agent_4,Won
D-300123,CL-5720,2024-01-01,SKU-101,CRM Pro,Software,23,940,21620,21654,NA,Web,Agent_10,Lost
D-300124,CL-2820,2024-09-20,SKU-101,CRM Pro,Software,9,1135,10215,10170,APAC,Partner,Agent_1,Lost
D-300125,CL-3683,2024-10-10,SKU-102,Analytics Suite,Software,19,644,12236,12227,APAC,Partner,Agent_4,Won
D-300126,CL-3778,2023-01-12,SKU-101,CRM Pro,Software,1,221,221,232,NA,ColdCall,Agent_5,Won
D-300127,CL-3418,2024-09-16,SKU-102,Analytics Suite,Software,8,1254,10032,10050,EU,Web,Agent_10,Closed
D-300128,CL-3348,2024-06-05,SKU-102,Analytics Suite,Software,17,1649,28033,28082,APAC,Partner,Agent_6,Closed
D-300129,CL-7110,2024-10-30,SKU-102,Analytics Suite,Software,11,1341,14751,14799,APAC,Partner,Agent_10,Won
D-300130,CL-6129,2023-12-09,SKU-102,Analytics Suite,Software,21,1576,33096,33053,NA,ColdCall,Agent_6,Lost
D-300131,CL-4846,2024-05-29,SKU-102,Analytics Suite,Software,5,518,2590,2635,EU,ColdCall,Agent_1,Closed
D-300132,CL-6197,2023-02-03,SKU-102,Analytics Suite,Software,17,1780,30260,30276,EU,Partner,Agent_10,Won
D-300133,CL-5610,2024-09-09,SKU-201,POS Terminal,Hardware,25,307,7675,7647,EU,Partner,Agent_1,Lost
D-300134,CL-2972,2023-04-09,SKU-201,POS Terminal,Hardware,10,586,5860,5844,NA,Web,Agent_7,Won
D-300135,CL-7517,2024-10-24,SKU-101,CRM Pro,Software,15,343,5145,5195,APAC,Web,Agent_2,Won
D-300136,CL-5558,2023-03-01,SKU-102,Analytics Suite,Software,3,854,2562,2543,EU,Partner,Agent_1,Lost
D-300137,CL-5717,2024-01-13,SKU-102,Analytics Suite,Software,13,793,10309,10348,NA,Partner,Agent_2,Lost
D-300138,CL-7404,2024-10-19,SKU-101,CRM Pro,Software,14,153,2142,2179,NA,Partner,Agent_2,Lost
D-300139,CL-6409,2023-06-03,SKU-102,Analytics Suite,Software,24,604,14496,14513,APAC,ColdCall,Agent_9,Won
D-300140,CL-4756,2024-10-30,SKU-201,POS Terminal,Hardware,11,963,10593,10599,EU,ColdCall,Agent_11,Won
D-300141,CL-2250,2023-02-14,SKU-101,CRM Pro,Software,3,399,1197,1186,EU,Partner,Agent_7,Closed
D-300142,CL-4940,2024-02-15,SKU-101,CRM Pro,Software,19,612,11628,11585,EU,Web,Agent_4,Closed
D-300143,CL-2051,2024-04-01,SKU-102,Analytics Suite,Software,7,216,1512,1470,APAC,ColdCall,Agent_3,Lost
D-300144,CL-5631,2023-07-03,SKU-101,CRM Pro,Software,17,813,13821,13775,EU,Partner,Agent_3,Won
D-300145,CL-6016,2023-11-04,SKU-201,POS Terminal,Hardware,3,1301,3903,3870,APAC,Partner,Agent_6,Won
D-300146,CL-7691,2023-12-06,SKU-201,POS Terminal,Hardware,16,1401,22416,22366,EU,ColdCall,Agent_9,Closed
D-300147,CL-6565,2023-06-09,SKU-201,POS Terminal,Hardware,9,1022,9198,9181,NA,Partner,Agent_6,Won
D-300148,CL-3453,2023-03-13,SKU-201,POS Terminal,Hardware,21,577,12117,12069,NA,ColdCall,Agent_9,Closed
D-300149,CL-7090,2024-01-16,SKU-101,CRM Pro,Software,4,961,3844,3875,NA,ColdCall,Agent_8,Closed
D-300150,CL-3588,2024-04-21,SKU-102,Analytics Suite,Software,22,323,7106,7099,NA,Partner,Agent_11,Won
D-300151,CL-2701,2024-03-08,SKU-201,POS Terminal,Hardware,14,818,11452,11458,APAC,ColdCall,Agent_11,Lost
D-300152,CL-2486,2023-02-05,SKU-102,Analytics Suite,Software,10,611,6110,6156,NA,Web,Agent_7,Closed
D-300153,CL-5553,2023-07-25,SKU-102,Analytics Suite,Software,12,105,1260,1298,NA,Partner,Agent_7,Won
D-300154,CL-6331,2024-10-18,SKU-101,CRM Pro,Software,13,1224,15912,15957,NA,Web,Agent_10,Lost
D-300155,CL-6185,2023-04-14,SKU-201,POS Terminal,Hardware,18,1595,28710,28750,APAC,Partner,Agent_10,Closed
D-300156,CL-6353,2023-12-26,SKU-102,Analytics Suite,Software,6,1538,9228,9235,EU,Partner,Agent_4,Won
D-300157,CL-4524,2023-08-29,SKU-101,CRM Pro,Software,4,1164,4656,4629,EU,Web,Agent_8,Closed
D-300158,CL-6960,2024-12-29,SKU-201,POS Terminal,Hardware,13,1165,15145,15150,APAC,ColdCall,Agent_5,Lost
D-300159,CL-2625,2024-08-23,SKU-102,Analytics Suite,Software,17,298,5066,5019,APAC,ColdCall,Agent_8,Won
D-300160,CL-7490,2024-07-30,SKU-201,POS Terminal,Hardware,5,766,3830,3782,APAC,Web,Agent_6,Lost
D-300161,CL-3403,2023-05-04,SKU-201,POS Terminal,Hardware,19,264,5016,5039,NA,Web,Agent_5,Won
D-300162,CL-4553,2023-10-02,SKU-201,POS Terminal,Hardware,6,668,4008,3963,EU,ColdCall,Agent_11,Lost
D-300163,CL-6735,2023-09-24,SKU-101,CRM Pro,Software,14,1386,19404,19365,NA,Partner,Agent_9,Lost
D-300164,CL-5400,2024-04-07,SKU-102,Analytics Suite,Software,11,398,4378,4377,EU,ColdCall,Agent_7,Won
D-300165,CL-2667,2023-04-27,SKU-102,Analytics Suite,Software,12,1377,16524,16559,EU,Web,Agent_2,Won
D-300166,CL-6630,2024-07-07,SKU-201,POS Terminal,Hardware,13,780,10140,10111,EU,ColdCall,Agent_9,Won
D-300167,CL-7549,2023-10-01,SKU-101,CRM Pro,Software,2,1681,3362,3401,EU,ColdCall,Agent_2,Lost
D-300168,CL-2443,2023-04-25,SKU-102,Analytics Suite,Software,11,491,5401,5355,EU,Partner,Agent_8,Won
D-300169,CL-3936,2023-07-17,SKU-101,CRM Pro,Software,5,1192,5960,5990,EU,Web,Agent_7,Lost
D-300170,CL-3677,2023-09-11,SKU-102,Analytics Suite,Software,3,1699,5097,5064,EU,Web,Agent_8,Lost
D-300171,CL-6981,2024-12-19,SKU-102,Analytics Suite,Software,22,1170,25740,25753,APAC,Partner,Agent_1,Won
D-300172,CL-5206,2024-06-05,SKU-101,CRM Pro,Software,11,1497,16467,16424,APAC,Partner,Agent_4,Lost
D-300173,CL-5977,2024-07-20,SKU-101,CRM Pro,Software,11,982,10802,10794,NA,Web,Agent_10,Lost
D-300174,CL-4039,2024-03-25,SKU-102,Analytics Suite,Software,19,448,8512,8472,APAC,ColdCall,Agent_2,Lost
D-300175,CL-6105,2023-01-01,SKU-201,POS Terminal,Hardware,5,1278,6390,6350,APAC,Web,Agent_9,Lost
D-300176,CL-3734,2024-06-10,SKU-102,Analytics Suite,Software,22,989,21758,21738,APAC,ColdCall,Agent_1,Lost
D-300177,CL-2500,2023-12-06,SKU-101,CRM Pro,Software,25,1331,33275,33301,EU,Partner,Agent_7,Lost
D-300178,CL-3821,2023-11-28,SKU-102,Analytics Suite,Software,1,874,874,874,EU,Partner,Agent_2,Lost
D-300179,CL-6523,2023-03-11,SKU-101,CRM Pro,Software,14,1277,17878,17883,APAC,Partner,Agent_5,Won
D-300180,CL-5847,2023-05-18,SKU-101,CRM Pro,Software,8,992,7936,7984,APAC,ColdCall,Agent_4,Lost
D-300181,CL-4885,2024-11-05,SKU-101,CRM Pro,Software,18,587,10566,10533,EU,ColdCall,Agent_8,Closed
D-300182,CL-5329,2023-12-19,SKU-102,Analytics Suite,Software,18,810,14580,14628,EU,Partner,Agent_9,Closed
D-300183,CL-6228,2024-06-18,SKU-102,Analytics Suite,Software,5,650,3250,3239,NA,Web,Agent_9,Won
D-300184,CL-2356,2023-06-10,SKU-102,Analytics Suite,Software,18,1099,19782,19762,NA,Partner,Agent_11,Closed
D-300185,CL-6285,2024-05-09,SKU-102,Analytics Suite,Software,17,1000,17000,17007,EU,ColdCall,Agent_5,Lost
D-300186,CL-3694,2023-01-07,SKU-101,CRM Pro,Software,3,958,2874,2838,NA,ColdCall,Agent_10,Won
D-300187,CL-2553,2023-03-10,SKU-102,Analytics Suite,Software,24,233,5592,5593,NA,Partner,Agent_6,Lost
D-300188,CL-4975,2023-04-09,SKU-102,Analytics Suite,Software,19,890,16910,16960,APAC,Web,Agent_8,Lost
D-300189,CL-3654,2023-01-27,SKU-201,POS Terminal,Hardware,22,1411,31042,31070,EU,Partner,Agent_2,Lost
D-300190,CL-6169,2024-11-29,SKU-201,POS Terminal,Hardware,23,674,15502,15464,NA,Partner,Agent_11,Closed
D-300191,CL-7477,2024-01-19,SKU-201,POS Terminal,Hardware,22,1657,36454,36460,APAC,ColdCall,Agent_10,Lost
D-300192,CL-6611,2023-08-11,SKU-201,POS Terminal,Hardware,14,1599,22386,22374,APAC,ColdCall,Agent_3,Closed
D-300193,CL-6293,2023-02-19,SKU-102,Analytics Suite,Software,12,168,2016,1998,NA,Partner,Agent_10,Won
D-300194,CL-3456,2023-05-06,SKU-201,POS Terminal,Hardware,12,392,4704,4687,NA,Web,Agent_3,Lost
D-300195,CL-3438,2024-02-03,SKU-101,CRM Pro,Software,5,1498,7490,7498,NA,Partner,Agent_7,Closed
D-300196,CL-7204,2023-11-07,SKU-201,POS Terminal,Hardware,23,1007,23161,23205,APAC,Partner,Agent_2,Closed
D-300197,CL-3666,2023-05-23,SKU-101,CRM Pro,Software,2,1379,2758,2746,APAC,Web,Agent_10,Won
D-300198,CL-3199,2024-04-13,SKU-102,Analytics Suite,Software,18,426,7668,7677,APAC,Web,Agent_1,Closed
D-300199,CL-4240,2023-11-21,SKU-101,CRM Pro,Software,5,1360,6800,6782,NA,Web,Agent_5,Closed
D-300200,CL-4019,2023-07-01,SKU-201,POS Terminal,Hardware,7,919,6433,6418,APAC,Partner,Agent_3,Won
D-300201,CL-5817,2023-03-08,SKU-201,POS Terminal,Hardware,14,1142,15988,16001,EU,Partner,Agent_10,Lost
D-300202,CL-4285,2023-09-27,SKU-101,CRM Pro,Software,10,1352,13520,13483,NA,ColdCall,Agent_2,Closed
D-300203,CL-5972,2023-12-29,SKU-101,CRM Pro,Software,25,808,20200,20190,EU,Partner,Agent_4,Won
D-300204,CL-4580,2024-01-08,SKU-101,CRM Pro,Software,3,715,2145,2115,APAC,Web,Agent_8,Won
D-300205,CL-7560,2024-10-16,SKU-201,POS Terminal,Hardware,5,108,540,579,NA,Web,Agent_11,Closed
D-300206,CL-6527,2023-02-03,SKU-201,POS Terminal,Hardware,8,315,2520,2538,EU,ColdCall,Agent_8,Won
D-300207,CL-3990,2023-12-21,SKU-201,POS Terminal,Hardware,16,1062,16992,16975,NA,ColdCall,Agent_7,Lost
D-300208,CL-6799,2023-08-20,SKU-101,CRM Pro,Software,17,606,10302,10284,APAC,Web,Agent_2,Closed
D-300209,CL-2386,2023-03-15,SKU-102,Analytics Suite,Software,5,796,3980,4027,APAC,ColdCall,Agent_1,Won
D-300210,CL-3428,2024-05-08,SKU-201,POS Terminal,Hardware,6,1092,6552,6513,APAC,ColdCall,Agent_9,Lost
D-300211,CL-4884,2024-10-22,SKU-201,POS Terminal,Hardware,8,1114,8912,8962,EU,ColdCall,Agent_7,Closed
D-300212,CL-5635,2023-08-10,SKU-102,Analytics Suite,Software,6,543,3258,3211,EU,ColdCall,Agent_5,Closed
D-300213,CL-7227,2023-08-24,SKU-101,CRM Pro,Software,5,1030,5150,5183,EU,Web,Agent_8,Lost
D-300214,CL-4572,2023-11-30,SKU-101,CRM Pro,Software,13,141,1833,1803,EU,Web,Agent_11,Won
D-300215,CL-3060,2023-06-28,SKU-102,Analytics Suite,Software,10,1211,12110,12136,EU,ColdCall,Agent_4,Closed
D-300216,CL-4035,2024-09-01,SKU-101,CRM Pro,Software,1,469,469,484,EU,Partner,Agent_3,Won
D-300217,CL-2828,2023-10-10,SKU-101,CRM Pro,Software,12,421,5052,5054,EU,Web,Agent_5,Closed
D-300218,CL-4309,2023-08-10,SKU-102,Analytics Suite,Software,2,922,1844,1842,NA,ColdCall,Agent_7,Lost
D-300219,CL-6181,2024-10-14,SKU-101,CRM Pro,Software,9,1019,9171,9130,APAC,Partner,Agent_5,Closed
D-300220,CL-6348,2023-12-22,SKU-101,CRM Pro,Software,22,291,6402,6360,APAC,Partner,Agent_1,Closed
