order_id,order_date,customer_id,product_id,product_name,category,units,revenue,region,salesperson,stage
O-700108,2023-02-13,C-1949,201,POS Terminal,Hardware,1,673,Europe,Salesperson_3,Won
O-700109,2024-01-14,C-2020,102,Analytics Suite,Software,4,3720,Asia,Salesperson_1,Won
O-700110,2024-08-03,C-1660,102,Analytics Suite,Software,11,11341,Europe,Salesperson_7,Won
O-700111,2023-04-23,C-3365,101,CRM Pro,Software,7,214984,North America,Salesperson_11,Won
O-700112,2023-12-14,C-2200,102,Analytics Suite,Software,12,16476,North America,Salesperson_8,Won
O-700113,2024-07-16,C-1948,201,POS Terminal,Hardware,7,5670,Europe,Salesperson_4,Won
O-700114,2023-08-27,C-5195,102,Analytics Suite,Software,5,6600,Europe,Salesperson_1,Won
O-700115,2024-05-11,C-5933,201,POS Terminal,Hardware,12,11772,North America,Salesperson_4,Won
O-700116,2023-07-13,C-2652,102,Analytics Suite,Software,14,11298,Europe,Salesperson_4,Won
O-700117,2023-05-04,C-4458,102,Analytics Suite,Software,7,5985,Europe,Salesperson_9,Won
O-700118,2023-02-02,C-1886,201,POS Terminal,Hardware,12,6204,Europe,Salesperson_4,Won
O-700119,2024-06-01,C-4080,103,Sales Booster,Software,9,664632,Europe,Salesperson_6,Won
O-700120,2023-12-09,C-4171,103,Sales Booster,Software,14,15666,Asia,Salesperson_6,Won
O-700121,2023-11-28,C-1771,101,CRM Pro,Software,13,0,Europe,Salesperson_4,Won
O-700122,2023-11-21,C-3992,102,Analytics Suite,Software,15,15630,Asia,Salesperson_3,Won
O-700123,2023-12-04,C-4732,101,CRM Pro,Software,10,-6490,North America,Salesperson_8,Won
O-700124,2024-04-02,C-4701,102,Analytics Suite,Software,7,9072,Europe,Salesperson_11,Won
O-700125,2023-12-22,C-1496,102,Analytics Suite,Software,9,10782,Europe,Salesperson_8,Won
O-700126,2023-02-08,C-5964,102,Analytics Suite,Software,14,20566,Europe,Salesperson_3,Won
O-700127,2024-03-05,C-1154,101,CRM Pro,Software,5,7085,North America,Salesperson_8,Won
O-700128,2023-08-27,C-5539,201,POS Terminal,Hardware,1,-416,Asia,Salesperson_10,Won
O-700129,2023-11-05,C-4041,103,Sales Booster,Software,13,4797,Europe,Salesperson_8,Won
O-700130,2024-11-07,C-1633,101,CRM Pro,Software,13,19123,Asia,Salesperson_6,Won
O-700131,2023-07-07,C-1263,101,CRM Pro,Software,1,-384,Europe,Salesperson_9,Won
O-700132,2023-07-27,C-2946,201,POS Terminal,Hardware,8,7352,Asia,Salesperson_6,Won
O-700133,2024-06-06,C-5319,101,CRM Pro,Software,8,3096,Asia,Salesperson_7,Won
O-700134,2023-03-01,C-3806,101,CRM Pro,Software,4,5012,Europe,Salesperson_1,Won
O-700135,2024-04-20,C-3244,103,Sales Booster,Software,8,3032,Asia,Salesperson_7,Won
O-700136,2023-12-09,C-3616,201,POS Terminal,Hardware,10,11150,Asia,Salesperson_7,Won
O-700137,2024-01-20,C-1957,103,Sales Booster,Software,5,7285,Europe,Salesperson_7,Won
O-700138,2024-12-05,C-2087,103,Sales Booster,Software,15,21120,Asia,Salesperson_10,Won
O-700139,2023-01-30,C-4730,102,Analytics Suite,Software,7,2779,North America,Salesperson_5,Won
O-700140,2024-12-03,C-2251,102,Analytics Suite,Software,6,0,Asia,Salesperson_7,Won
O-700141,2024-12-15,C-5370,103,Sales Booster,Software,3,975,Europe,Salesperson_3,Won
O-700142,2023-04-13,C-5213,201,POS Terminal,Hardware,15,3150,Europe,Salesperson_7,Won
O-700143,2024-10-01,C-4855,101,CRM Pro,Software,10,2490,Europe,Salesperson_1,Won
O-700144,2024-05-03,C-1639,101,CRM Pro,Software,2,0,North America,Salesperson_1,Won
O-700145,2024-07-09,C-1160,201,POS Terminal,Hardware,4,5968,North America,Salesperson_6,Won
O-700146,2023-11-18,C-3528,102,Analytics Suite,Software,14,0,North America,Salesperson_4,Won
O-700147,2023-06-14,C-4405,201,POS Terminal,Hardware,9,5760,North America,Salesperson_1,Won
O-700148,2023-07-08,C-1217,201,POS Terminal,Hardware,1,1427,Asia,Salesperson_1,Won
O-700149,2023-12-03,C-5170,102,Analytics Suite,Software,15,4005,Asia,Salesperson_11,Won
O-700150,2023-07-15,C-2363,102,Analytics Suite,Software,11,14685,Asia,Salesperson_5,Won
O-700151,2024-04-18,C-5374,101,CRM Pro,Software,7,-7896,North America,Salesperson_5,Won
O-700152,2024-08-23,C-4596,101,CRM Pro,Software,11,9042,Asia,Salesperson_8,Won
O-700153,2023-03-24,C-5761,101,CRM Pro,Software,1,1177,Asia,Salesperson_8,Won
O-700154,2023-06-22,C-1774,101,CRM Pro,Software,4,1248,Asia,Salesperson_9,Won
O-700155,2024-07-15,C-4844,101,CRM Pro,Software,7,2814,Asia,Salesperson_6,Won
O-700156,2024-08-30,C-2544,201,POS Terminal,Hardware,12,15996,North America,Salesperson_9,Won
O-700157,2024-12-12,C-1246,103,Sales Booster,Software,3,1596,North America,Salesperson_3,Won
O-700158,2023-01-10,C-3714,103,Sales Booster,Software,8,5672,North America,Salesperson_9,Won
O-700159,2024-03-22,C-5265,101,CRM Pro,Software,9,2583,Asia,Salesperson_7,Won
O-700160,2024-05-31,C-3538,201,POS Terminal,Hardware,7,5551,Europe,Salesperson_7,Won
O-700161,2023-08-01,C-2398,201,POS Terminal,Hardware,15,5310,Asia,Salesperson_3,Won
O-700162,2024-04-08,C-5513,101,CRM Pro,Software,5,6600,Asia,Salesperson_11,Won
O-700163,2023-09-05,C-5140,103,Sales Booster,Software,15,5670,North America,Salesperson_4,Won
O-700164,2023-01-26,C-4969,101,CRM Pro,Software,9,3942,North America,Salesperson_10,Won
O-700165,2024-06-02,C-2187,102,Analytics Suite,Software,8,7120,Asia,Salesperson_8,Won
O-700166,2023-06-11,C-1446,103,Sales Booster,Software,7,2688,North America,Salesperson_3,Won
O-700167,2023-04-05,C-3688,103,Sales Booster,Software,10,14090,North America,Salesperson_10,Won
O-700168,2024-04-16,C-1596,101,CRM Pro,Software,7,-10402,Asia,Salesperson_9,Won
O-700169,2023-05-30,C-4453,102,Analytics Suite,Software,13,3042,North America,Salesperson_9,Won
O-700170,2024-04-30,C-4319,101,CRM Pro,Software,1,0,North America,Salesperson_9,Won
O-700171,2024-10-02,C-4612,201,POS Terminal,Hardware,4,-3720,Europe,Salesperson_2,Won
O-700172,2023-01-19,C-3886,103,Sales Booster,Software,11,12958,Europe,Salesperson_8,Won
O-700173,2024-03-05,C-3324,201,POS Terminal,Hardware,1,379,Asia,Salesperson_9,Won
O-700174,2023-07-29,C-2378,103,Sales Booster,Software,11,11088,North America,Salesperson_8,Won
O-700175,2024-09-04,C-4864,102,Analytics Suite,Software,12,4260,Asia,Salesperson_2,Won
O-700176,2023-09-05,C-3366,101,CRM Pro,Software,4,5584,Asia,Salesperson_5,Won
O-700177,2023-04-30,C-2034,201,POS Terminal,Hardware,10,4300,Europe,Salesperson_2,Won
O-700178,2023-03-12,C-1135,101,CRM Pro,Software,9,2610,Asia,Salesperson_10,Won
O-700179,2024-11-25,C-2756,102,Analytics Suite,Software,10,5580,North America,Salesperson_8,Won
O-700180,2024-05-28,C-1932,103,Sales Booster,Software,6,8766,Europe,Salesperson_5,Won
O-700181,2023-01-10,C-4451,102,Analytics Suite,Software,1,947,North America,Salesperson_8,Won
O-700182,2023-12-09,C-4753,103,Sales Booster,Software,13,8281,Asia,Salesperson_7,Won
O-700183,2023-04-11,C-4717,201,POS Terminal,Hardware,3,4155,Europe,Salesperson_7,Won
O-700184,2023-03-05,C-2149,101,CRM Pro,Software,9,5256,Europe,Salesperson_9,Won
O-700185,2024-11-25,C-2571,201,POS Terminal,Hardware,4,1404,Europe,Salesperson_11,Won
O-700186,2024-10-06,C-5951,103,Sales Booster,Software,10,5740,North America,Salesperson_9,Won
O-700187,2023-05-02,C-1661,101,CRM Pro,Software,11,16357,Europe,Salesperson_8,Won
O-700188,2024-03-06,C-1192,102,Analytics Suite,Software,14,3682,Europe,Salesperson_4,Won
O-700189,2023-12-28,C-4618,102,Analytics Suite,Software,7,5229,North America,Salesperson_8,Won
O-700190,2024-12-21,C-3974,101,CRM Pro,Software,13,19175,Europe,Salesperson_11,Won
O-700191,2023-03-12,C-2970,201,POS Terminal,Hardware,2,1650,North America,Salesperson_7,Won
O-700192,2024-06-18,C-4762,102,Analytics Suite,Software,5,194025,North America,Salesperson_11,Won
O-700193,2023-12-08,C-4332,101,CRM Pro,Software,15,0,Europe,Salesperson_6,Won
O-700194,2023-03-02,C-2869,103,Sales Booster,Software,10,12750,Asia,Salesperson_9,Won
O-700195,2024-11-05,C-4773,102,Analytics Suite,Software,14,13804,Asia,Salesperson_7,Won
O-700196,2024-04-02,C-2520,101,CRM Pro,Software,1,1247,North America,Salesperson_3,Won
O-700197,2023-02-25,C-3793,201,POS Terminal,Hardware,4,5652,Europe,Salesperson_9,Won
O-700198,2024-04-05,C-2175,103,Sales Booster,Software,15,7545,Asia,Salesperson_10,Won
O-700199,2024-01-13,C-3483,103,Sales Booster,Software,7,10150,Europe,Salesperson_10,Won
O-700200,2023-09-05,C-2843,103,Sales Booster,Software,5,5265,Asia,Salesperson_9,Won
O-700201,2024-11-20,C-3128,101,CRM Pro,Software,15,3570,Asia,Salesperson_2,Won
O-700202,2024-04-16,C-2848,101,CRM Pro,Software,12,11328,North America,Salesperson_5,Won
O-700203,2024-11-28,C-2207,101,CRM Pro,Software,13,6461,Asia,Salesperson_1,Won
O-700204,2023-02-06,C-3869,103,Sales Booster,Software,11,2519,Asia,Salesperson_7,Won
O-700205,2023-06-02,C-4416,201,POS Terminal,Hardware,7,561750,Europe,Salesperson_9,Won
O-700206,2024-07-27,C-3685,102,Analytics Suite,Software,3,3606,Asia,Salesperson_6,Won
O-700207,2024-03-20,C-5166,102,Analytics Suite,Software,13,2743,Asia,Salesperson_8,Won
O-700208,2024-05-28,C-4996,102,Analytics Suite,Software,4,2712,Asia,Salesperson_8,Won
O-700209,2023-02-21,C-3184,201,POS Terminal,Hardware,5,3750,Asia,Salesperson_3,Won
O-700210,2023-07-06,C-1212,201,POS Terminal,Hardware,14,16940,Asia,Salesperson_11,Won
O-700211,2024-07-16,C-5105,102,Analytics Suite,Software,15,21855,Europe,Salesperson_10,Won
O-700212,2023-12-21,C-4128,201,POS Terminal,Hardware,1,352,Europe,Salesperson_6,Won
O-700213,2024-12-28,C-2067,102,Analytics Suite,Software,7,4886,Asia,Salesperson_8,Won
O-700214,2024-07-13,C-3359,201,POS Terminal,Hardware,8,6800,Asia,Salesperson_3,Won
O-700215,2024-11-24,C-5153,101,CRM Pro,Software,1,945,North America,Salesperson_4,Won
O-700216,2024-06-13,C-2723,103,Sales Booster,Software,14,2898,Europe,Salesperson_7,Won
O-700217,2023-10-09,C-5825,101,CRM Pro,Software,15,14655,Asia,Salesperson_8,Won
O-700218,2023-08-22,C-1180,101,CRM Pro,Software,6,0,North America,Salesperson_3,Won
O-700219,2023-11-22,C-1467,101,CRM Pro,Software,6,8628,Asia,Salesperson_2,Won
O-700220,2023-11-21,C-1760,201,POS Terminal,Hardware,5,89640,Europe,Salesperson_1,Won
O-700221,2024-07-23,C-2202,103,Sales Booster,Software,10,9340,North America,Salesperson_7,Won
O-700222,2024-07-16,C-2648,101,CRM Pro,Software,5,3390,North America,Salesperson_6,Won
O-700223,2024-01-26,C-1523,201,POS Terminal,Hardware,4,1684,Asia,Salesperson_11,Won
O-700224,2023-07-27,C-3235,102,Analytics Suite,Software,5,6470,Europe,Salesperson_2,Won
O-700225,2023-07-10,C-3975,103,Sales Booster,Software,13,6669,Asia,Salesperson_2,Won
O-700226,2024-05-05,C-5401,103,Sales Booster,Software,11,14718,North America,Salesperson_10,Won
O-700227,2024-11-19,C-2715,102,Analytics Suite,Software,3,972,Asia,Salesperson_8,Won
O-700228,2023-09-18,C-2460,101,CRM Pro,Software,12,8076,North America,Salesperson_3,Won
O-700229,2023-11-27,C-1904,101,CRM Pro,Software,9,9648,Europe,Salesperson_3,Won
O-700230,2024-06-07,C-3851,101,CRM Pro,Software,5,1025,North America,Salesperson_3,Won
O-700231,2023-06-15,C-3788,103,Sales Booster,Software,10,14490,Asia,Salesperson_8,Won
O-700232,2023-06-16,C-3725,102,Analytics Suite,Software,10,6500,Europe,Salesperson_2,Won
O-700233,2023-01-12,C-1369,201,POS Terminal,Hardware,8,3880,Europe,Salesperson_11,Won
O-700234,2023-03-15,C-3524,103,Sales Booster,Software,4,4560,Asia,Salesperson_4,Won
O-700235,2023-02-26,C-1685,103,Sales Booster,Software,13,15301,Europe,Salesperson_1,Won
O-700236,2024-11-26,C-5575,103,Sales Booster,Software,15,5235,North America,Salesperson_7,Won
O-700237,2023-12-03,C-2957,201,POS Terminal,Hardware,1,1218,Asia,Salesperson_4,Won
O-700238,2024-10-30,C-1271,103,Sales Booster,Software,6,6768,Europe,Salesperson_9,Won
O-700239,2024-12-31,C-1147,201,POS Terminal,Hardware,11,13596,North America,Salesperson_5,Won
O-700240,2024-04-13,C-1420,103,Sales Booster,Software,2,1770,Europe,Salesperson_6,Won
O-700241,2024-03-14,C-5609,201,POS Terminal,Hardware,6,4002,Europe,Salesperson_7,Won
O-700242,2023-07-05,C-4957,201,POS Terminal,Hardware,13,6903,Europe,Salesperson_3,Won
O-700243,2023-05-31,C-3040,101,CRM Pro,Software,3,137853,Europe,Salesperson_8,Won
O-700244,2024-10-27,C-3281,101,CRM Pro,Software,9,11502,Asia,Salesperson_9,Won
O-700245,2024-08-29,C-4817,103,Sales Booster,Software,12,16008,Asia,Salesperson_10,Won
O-700246,2023-09-29,C-3280,201,POS Terminal,Hardware,5,7045,Asia,Salesperson_6,Won
O-700247,2024-03-09,C-2758,101,CRM Pro,Software,5,2065,Asia,Salesperson_2,Won
O-700248,2024-10-08,C-2658,201,POS Terminal,Hardware,11,13156,Asia,Salesperson_3,Won
O-700249,2023-11-05,C-2351,102,Analytics Suite,Software,4,5908,Europe,Salesperson_1,Won
O-700250,2024-02-20,C-4826,102,Analytics Suite,Software,13,12363,North America,Salesperson_8,Won
O-700251,2024-07-04,C-5498,103,Sales Booster,Software,12,11784,North America,Salesperson_5,Won
O-700252,2024-12-31,C-5511,103,Sales Booster,Software,9,4599,Asia,Salesperson_9,Won
O-700253,2024-02-14,C-2840,201,POS Terminal,Hardware,13,0,Asia,Salesperson_10,Won
O-700254,2023-02-06,C-5802,103,Sales Booster,Software,12,11988,North America,Salesperson_9,Won
O-700255,2024-02-11,C-5123,103,Sales Booster,Software,4,4580,Asia,Salesperson_6,Won
O-700256,2024-10-09,C-4791,103,Sales Booster,Software,7,3668,Asia,Salesperson_5,Won
O-700257,2023-10-31,C-4457,102,Analytics Suite,Software,5,1460,North America,Salesperson_3,Won
O-700258,2024-03-05,C-3279,101,CRM Pro,Software,1,311,Asia,Salesperson_9,Won
O-700259,2024-08-06,C-5319,101,CRM Pro,Software,6,6996,North America,Salesperson_10,Won
O-700260,2023-01-31,C-1851,201,POS Terminal,Hardware,11,12078,North America,Salesperson_3,Won
O-700261,2024-04-16,C-5954,103,Sales Booster,Software,12,6156,Asia,Salesperson_10,Won
O-700262,2023-10-10,C-1468,201,POS Terminal,Hardware,8,6800,North America,Salesperson_9,Won
O-700263,2023-02-10,C-2251,201,POS Terminal,Hardware,4,3224,Europe,Salesperson_8,Won
O-700264,2024-07-23,C-3785,101,CRM Pro,Software,1,0,Europe,Salesperson_9,Won
O-700265,2023-12-28,C-5533,102,Analytics Suite,Software,11,14839,North America,Salesperson_9,Won
O-700266,2023-03-14,C-4492,201,POS Terminal,Hardware,10,4060,Asia,Salesperson_3,Won
O-700267,2023-12-04,C-4863,101,CRM Pro,Software,6,2694,Europe,Salesperson_7,Won
O-700268,2024-03-15,C-4353,101,CRM Pro,Software,13,7267,Asia,Salesperson_7,Won
O-700269,2023-08-06,C-4187,201,POS Terminal,Hardware,12,9096,Asia,Salesperson_7,Won
O-700270,2024-07-29,C-1746,201,POS Terminal,Hardware,15,14925,North America,Salesperson_6,Won
O-700271,2023-07-14,C-2091,201,POS Terminal,Hardware,9,4473,Europe,Salesperson_10,Won
O-700272,2024-10-05,C-5269,103,Sales Booster,Software,6,1374,Asia,Salesperson_2,Won
O-700273,2024-01-21,C-4294,101,CRM Pro,Software,8,-9176,Europe,Salesperson_1,Won
O-700274,2024-07-26,C-1950,201,POS Terminal,Hardware,1,465,North America,Salesperson_11,Won
O-700275,2024-12-24,C-5027,103,Sales Booster,Software,15,15090,Europe,Salesperson_5,Won
O-700276,2024-04-19,C-3211,102,Analytics Suite,Software,8,3896,Asia,Salesperson_1,Won
O-700277,2024-01-04,C-4088,103,Sales Booster,Software,12,8292,Asia,Salesperson_10,Won
O-700278,2024-12-19,C-1373,102,Analytics Suite,Software,11,16214,Asia,Salesperson_8,Won
O-700279,2024-01-30,C-4548,201,POS Terminal,Hardware,6,4200,Asia,Salesperson_7,Won
O-700280,2023-02-19,C-1300,102,Analytics Suite,Software,3,3069,Europe,Salesperson_10,Won
