order_id,order_date,customer_id,product_name,category,region,channel,units,revenue,stage
O-900028,2024-04-10,C-2487,AnalyticsSuite,Hard ware,North-America,In-bound,2,2488,Won
O-900029,2023-05-22,C-1808,Analytics Suite,Hard ware,north america,Outbound,12,19512,Won
O-900030,2023-03-03,C-2048,AnalyticsSuite,Software,APAC,OUTBOUND,1,1892,Won
O-900031,2023-07-01,C-4726,CRM-Pro,Soft ware,APAC,Inbound,14,5264,Won
O-900032,2024-12-19,C-5803,AnalyticsSuite,Hard ware,North America,Inbound,8,3704,Won
O-900033,2024-06-07,C-4949,POS-Terminal,software,europe,out bound,10,4010,Won
O-900034,2024-01-19,C-3713,CRM Pro,hardware,Asia,In-bound,14,19936,Won
O-900035,2024-05-21,C-4428,Analytics Suite,Hard ware,north america,Inbound,7,6713,Won
O-900036,2024-03-31,C-5437,CRM Pro,Software,EU,out bound,4,3084,Won
O-900037,2024-09-13,C-1850,Analytics Suite,software,North-America,partner,15,19680,Won
O-900038,2024-06-06,C-1038,AnalyticsSuite,Software,asia,inbound,7,2492,Won
O-900039,2024-11-08,C-5583,AnalyticsSuite,Software,europe,inbound,13,13039,Won
O-900040,2024-04-16,C-3276,POS Terminal,Hardware,NA,inbound,8,3600,Won
O-900041,2023-04-12,C-5402,CRM-Pro,Hard ware,Asia,Inbound,14,18340,Won
O-900042,2023-11-02,C-1150,CRM-Pro,software,Asia,In-bound,12,9744,Won
O-900043,2024-01-22,C-2954,CRM Pro,software,North America,Partner,14,16786,Won
O-900044,2024-08-04,C-5933,CRM-Pro,hardware,Asia,Outbound,2,1918,Won
O-900045,2024-01-22,C-4300,CRM Pro,Software,North-America,In-bound,5,7895,Won
O-900046,2023-11-24,C-4865,AnalyticsSuite,Hardware,NA,inbound,8,5592,Won
O-900047,2023-09-18,C-3857,Analytics Suite,hardware,Asia,partner,2,1772,Won
O-900048,2023-03-02,C-1283,CRM Pro,Software,Asia,partner,12,5532,Won
O-900049,2023-03-02,C-3066,Analytics Suite,Soft ware,APAC,OUTBOUND,2,1786,Won
O-900050,2024-09-20,C-6028,CRM Pro,software,Asia,Partner,6,5514,Won
O-900051,2023-08-10,C-1862,AnalyticsSuite,Hard ware,asia,partner,12,10320,Won
O-900052,2024-12-07,C-4622,AnalyticsSuite,Hardware,North America,In-bound,12,8184,Won
O-900053,2023-07-12,C-2152,POS-Terminal,Hard ware,NA,OUTBOUND,14,18788,Won
O-900054,2024-12-27,C-6860,CRM Pro,Soft ware,asia,partner,2,3938,Won
O-900055,2024-01-28,C-4209,CRM-Pro,Hardware,NA,In-bound,6,4818,Won
O-900056,2024-07-12,C-4471,CRM Pro,hardware,APAC,Partner,6,9528,Won
O-900057,2024-03-13,C-2138,CRM-Pro,Hard ware,APAC,Partner,7,9877,Won
O-900058,2024-06-03,C-4395,CRM Pro,Software,EU,Inbound,3,4527,Won
O-900059,2024-03-14,C-4857,AnalyticsSuite,Hard ware,North America,Outbound,5,2920,Won
O-900060,2023-04-23,C-4346,POS-Terminal,Hardware,North-America,out bound,12,11760,Won
O-900061,2023-01-16,C-2463,AnalyticsSuite,Soft ware,north america,In-bound,14,26852,Won
O-900062,2024-02-18,C-3956,POS Terminal,software,N. America,Partner,8,11768,Won
O-900063,2024-02-22,C-3697,POS-Terminal,software,APAC,Outbound,7,9492,Won
O-900064,2023-12-19,C-3968,AnalyticsSuite,Hard ware,europe,Outbound,15,6720,Won
O-900065,2024-08-07,C-3402,CRM Pro,Hardware,N. America,Partner,9,17541,Won
O-900066,2024-12-23,C-1448,CRM Pro,Hardware,North America,Outbound,2,632,Won
O-900067,2023-07-01,C-4904,CRM-Pro,Hard ware,APAC,partner,5,6145,Won
O-900068,2024-08-01,C-1802,CRM Pro,Hardware,north america,Partner,9,14580,Won
O-900069,2023-10-03,C-1535,Analytics Suite,Hardware,APAC,inbound,10,14980,Won
O-900070,2023-10-31,C-6592,POS-Terminal,Soft ware,North America,Inbound,11,9922,Won
O-900071,2023-11-19,C-2852,POS Terminal,Software,asia,In-bound,9,12249,Won
O-900072,2024-02-17,C-5708,CRM Pro,hardware,North-America,partner,7,9653,Won
O-900073,2024-01-28,C-6251,CRM-Pro,Software,North-America,Partner,3,1788,Won
O-900074,2024-06-27,C-5966,CRM-Pro,Soft ware,North America,inbound,13,15236,Won
O-900075,2024-03-29,C-3116,Analytics Suite,Hard ware,Europe,out bound,6,11934,Won
O-900076,2023-05-04,C-1740,POS Terminal,Hard ware,EU,partner,7,12845,Won
O-900077,2023-09-30,C-4465,CRM-Pro,Hard ware,N. America,Partner,14,7840,Won
O-900078,2023-09-16,C-1337,POS-Terminal,hardware,APAC,Inbound,14,13706,Won
O-900079,2024-06-07,C-3389,POS-Terminal,hardware,North-America,Outbound,6,4740,Won
O-900080,2024-12-24,C-2401,CRM-Pro,Software,Europe,In-bound,11,5137,Won
O-900081,2023-11-14,C-2663,POS-Terminal,Hard ware,N. America,partner,15,22110,Won
O-900082,2023-07-04,C-5069,CRM Pro,Soft ware,North America,Outbound,6,6678,Won
O-900083,2023-07-27,C-5056,CRM-Pro,hardware,APAC,Partner,1,1079,Won
O-900084,2023-04-12,C-4794,POS-Terminal,Hardware,Asia,inbound,12,7296,Won
O-900085,2024-06-18,C-4973,AnalyticsSuite,Hardware,asia,Partner,8,11960,Won
O-900086,2024-07-20,C-6316,AnalyticsSuite,hardware,Asia,Partner,14,19110,Won
O-900087,2024-11-26,C-6456,AnalyticsSuite,Hard ware,EU,Outbound,1,1341,Won
O-900088,2023-12-09,C-4379,AnalyticsSuite,Hard ware,North-America,partner,9,2853,Won
O-900089,2024-09-20,C-2807,POS-Terminal,software,Asia,out bound,15,29385,Won
O-900090,2023-12-23,C-2561,POS Terminal,Software,EU,Partner,9,5940,Won
O-900091,2024-12-05,C-1151,POS-Terminal,Hard ware,asia,partner,5,6010,Won
O-900092,2024-06-16,C-5695,CRM-Pro,Hard ware,asia,OUTBOUND,15,20475,Won
O-900093,2024-01-28,C-5432,POS-Terminal,Hardware,EU,Inbound,11,21912,Won
O-900094,2023-09-15,C-3948,POS Terminal,Hard ware,Asia,inbound,13,20228,Won
O-900095,2024-08-14,C-1315,CRM Pro,Hard ware,NA,out bound,5,7270,Won
O-900096,2023-02-24,C-1006,CRM Pro,Hard ware,N. America,OUTBOUND,5,4175,Won
O-900097,2023-11-18,C-3014,POS Terminal,Hard ware,North-America,Inbound,10,5200,Won
O-900098,2024-10-18,C-1762,Analytics Suite,hardware,N. America,OUTBOUND,1,1072,Won
O-900099,2024-05-16,C-5365,POS Terminal,Hardware,asia,partner,12,9480,Won
O-900100,2024-09-28,C-4186,Analytics Suite,Soft ware,North-America,Outbound,11,12012,Won
O-900101,2024-02-17,C-1083,POS Terminal,Hard ware,europe,Partner,10,19810,Won
O-900102,2023-04-12,C-6043,Analytics Suite,Hard ware,north america,Outbound,1,1955,Won
O-900103,2023-08-29,C-6789,POS Terminal,Hard ware,asia,OUTBOUND,12,5736,Won
O-900104,2024-09-27,C-3904,CRM Pro,Soft ware,APAC,OUTBOUND,1,372,Won
O-900105,2024-02-12,C-5600,POS-Terminal,Software,Europe,inbound,4,3796,Won
O-900106,2023-04-01,C-4579,AnalyticsSuite,hardware,NA,inbound,7,13118,Won
O-900107,2023-12-17,C-5213,POS Terminal,software,EU,Partner,12,16968,Won
O-900108,2024-11-05,C-3947,POS-Terminal,Soft ware,N. America,partner,7,13503,Won
O-900109,2023-11-23,C-2570,POS-Terminal,Software,NA,In-bound,14,15302,Won
O-900110,2023-12-24,C-4117,AnalyticsSuite,Hard ware,Europe,OUTBOUND,13,12025,Won
O-900111,2024-05-12,C-5582,CRM Pro,Soft ware,APAC,out bound,5,3380,Won
O-900112,2024-11-09,C-4153,CRM-Pro,software,North-America,In-bound,8,3632,Won
O-900113,2023-08-21,C-5223,POS-Terminal,Hard ware,NA,inbound,8,10176,Won
O-900114,2023-10-25,C-3535,CRM-Pro,Hardware,Europe,Outbound,1,1381,Won
O-900115,2024-01-27,C-5332,POS-Terminal,Software,europe,inbound,10,19050,Won
O-900116,2023-05-07,C-6090,CRM-Pro,Software,North-America,Partner,13,7150,Won
O-900117,2024-05-08,C-4796,CRM-Pro,Hard ware,North America,out bound,4,3076,Won
O-900118,2023-02-20,C-6486,Analytics Suite,hardware,Europe,partner,14,5208,Won
O-900119,2023-09-22,C-4480,CRM-Pro,Software,europe,OUTBOUND,13,6409,Won
O-900120,2023-06-17,C-6242,POS Terminal,Software,europe,Inbound,4,2136,Won
O-900121,2023-11-29,C-2615,CRM-Pro,software,asia,In-bound,10,14730,Won
O-900122,2023-04-25,C-6577,AnalyticsSuite,software,Europe,OUTBOUND,11,9361,Won
O-900123,2024-02-23,C-2197,AnalyticsSuite,Software,north america,Outbound,8,15904,Won
O-900124,2024-09-20,C-2872,Analytics Suite,Soft ware,EU,In-bound,4,5460,Won
O-900125,2023-09-09,C-6214,AnalyticsSuite,software,north america,In-bound,1,693,Won
O-900126,2023-07-13,C-6030,CRM-Pro,hardware,North-America,Outbound,10,18890,Won
O-900127,2024-12-09,C-6029,POS-Terminal,hardware,APAC,Partner,14,21238,Won
O-900128,2024-12-27,C-3979,Analytics Suite,Soft ware,North America,Partner,7,3374,Won
O-900129,2024-08-20,C-4682,POS-Terminal,hardware,europe,OUTBOUND,5,7645,Won
O-900130,2023-04-29,C-3866,Analytics Suite,Soft ware,APAC,In-bound,12,21252,Won
O-900131,2023-01-20,C-3067,CRM Pro,Software,NA,Partner,11,7084,Won
O-900132,2024-10-02,C-2009,Analytics Suite,Hard ware,APAC,partner,9,6318,Won
O-900133,2023-07-23,C-3712,POS Terminal,Hard ware,EU,In-bound,12,14856,Won
O-900134,2024-11-03,C-1190,AnalyticsSuite,hardware,Asia,out bound,13,9581,Won
O-900135,2024-09-04,C-2768,AnalyticsSuite,Hardware,europe,Inbound,6,4824,Won
O-900136,2024-12-07,C-3740,AnalyticsSuite,software,N. America,out bound,3,2001,Won
O-900137,2024-09-14,C-1413,Analytics Suite,Software,Europe,inbound,4,3808,Won
O-900138,2023-05-09,C-6832,CRM Pro,Hard ware,Europe,Outbound,14,26362,Won
O-900139,2023-05-08,C-1805,Analytics Suite,Hardware,EU,partner,10,13640,Won
O-900140,2023-10-01,C-1562,CRM-Pro,Soft ware,asia,Partner,4,5620,Won
O-900141,2023-12-31,C-5200,AnalyticsSuite,hardware,asia,partner,9,4725,Won
O-900142,2023-04-23,C-4965,CRM Pro,Soft ware,North-America,out bound,11,7535,Won
O-900143,2023-01-29,C-5069,POS-Terminal,software,APAC,out bound,1,688,Won
O-900144,2023-10-10,C-1146,CRM-Pro,software,Europe,partner,9,17910,Won
O-900145,2023-11-28,C-6398,POS-Terminal,Hard ware,N. America,inbound,1,939,Won
O-900146,2024-08-04,C-5703,CRM-Pro,hardware,North-America,In-bound,11,6567,Won
O-900147,2024-06-25,C-5323,CRM Pro,hardware,north america,Inbound,14,6496,Won
O-900148,2024-02-16,C-2757,AnalyticsSuite,software,North America,Inbound,10,8360,Won
O-900149,2024-11-04,C-2735,CRM-Pro,Hardware,europe,Inbound,5,9270,Won
O-900150,2024-09-20,C-5253,AnalyticsSuite,Software,Asia,OUTBOUND,6,11490,Won
O-900151,2023-08-01,C-2565,POS Terminal,Hardware,europe,In-bound,1,1228,Won
O-900152,2024-03-31,C-6553,Analytics Suite,software,North America,Inbound,7,7448,Won
O-900153,2024-12-14,C-4692,POS Terminal,software,asia,partner,14,13342,Won
O-900154,2023-11-21,C-3345,CRM-Pro,software,Europe,out bound,7,11200,Won
O-900155,2024-07-05,C-5715,CRM Pro,Hardware,EU,Inbound,6,4440,Won
O-900156,2024-03-04,C-1825,CRM-Pro,Software,NA,Partner,9,6750,Won
O-900157,2023-04-20,C-1707,Analytics Suite,Hard ware,asia,In-bound,3,4545,Won
O-900158,2023-01-24,C-5988,Analytics Suite,Hardware,europe,OUTBOUND,9,3267,Won
O-900159,2023-11-25,C-5509,Analytics Suite,Soft ware,North America,Outbound,2,2648,Won
O-900160,2024-01-12,C-6842,CRM-Pro,Software,NA,OUTBOUND,3,5007,Won
O-900161,2023-11-24,C-6195,CRM-Pro,software,North-America,out bound,15,13710,Won
O-900162,2023-11-03,C-5764,CRM-Pro,Hardware,North-America,out bound,11,8195,Won
O-900163,2023-11-01,C-6567,CRM Pro,hardware,APAC,Outbound,4,5120,Won
O-900164,2024-01-10,C-5107,AnalyticsSuite,Hardware,Europe,OUTBOUND,15,16770,Won
O-900165,2023-03-11,C-4766,POS Terminal,Soft ware,europe,Partner,2,1126,Won
O-900166,2024-08-11,C-6244,CRM Pro,Hardware,NA,Partner,9,14247,Won
O-900167,2023-08-21,C-6614,Analytics Suite,Hardware,north america,out bound,15,11775,Won
O-900168,2024-11-28,C-6872,Analytics Suite,Software,asia,Partner,11,3762,Won
O-900169,2024-08-04,C-2353,AnalyticsSuite,Software,N. America,In-bound,5,8450,Won
O-900170,2023-06-08,C-3545,CRM-Pro,hardware,N. America,OUTBOUND,1,498,Won
O-900171,2024-01-05,C-4484,Analytics Suite,Soft ware,North America,In-bound,14,13006,Won
O-900172,2024-07-09,C-4190,AnalyticsSuite,software,EU,partner,14,21252,Won
O-900173,2024-08-18,C-5168,CRM Pro,Software,asia,Outbound,11,9845,Won
O-900174,2024-01-09,C-3184,Analytics Suite,Hardware,APAC,OUTBOUND,10,7170,Won
O-900175,2023-09-06,C-6450,POS-Terminal,Hard ware,asia,Outbound,9,13005,Won
O-900176,2024-08-26,C-1126,AnalyticsSuite,Hardware,europe,In-bound,14,14980,Won
O-900177,2023-01-12,C-3100,POS Terminal,software,N. America,inbound,10,13570,Won
O-900178,2024-11-26,C-5144,Analytics Suite,Hard ware,EU,partner,6,11598,Won
O-900179,2024-02-26,C-2633,CRM-Pro,Hard ware,Asia,out bound,5,6855,Won
O-900180,2024-07-09,C-3319,POS-Terminal,Hardware,EU,inbound,11,19481,Won
O-900181,2023-06-16,C-1376,CRM-Pro,Hardware,APAC,Partner,3,5901,Won
O-900182,2023-05-26,C-6974,Analytics Suite,Hard ware,north america,Outbound,8,6256,Won
O-900183,2024-07-28,C-3568,Analytics Suite,Soft ware,North-America,Inbound,7,10682,Won
O-900184,2023-09-06,C-2659,POS-Terminal,Software,NA,partner,12,11808,Won
O-900185,2023-09-12,C-6199,POS-Terminal,Software,North-America,out bound,1,1795,Won
O-900186,2023-03-26,C-4821,AnalyticsSuite,software,APAC,Inbound,12,9144,Won
O-900187,2023-05-02,C-1195,CRM Pro,hardware,APAC,inbound,14,16506,Won
O-900188,2024-05-22,C-1976,AnalyticsSuite,Soft ware,EU,Partner,11,10109,Won
O-900189,2024-05-20,C-2994,AnalyticsSuite,software,Europe,OUTBOUND,2,2056,Won
O-900190,2024-01-28,C-2681,AnalyticsSuite,Soft ware,north america,Partner,10,10400,Won
O-900191,2024-09-22,C-1417,POS-Terminal,Hardware,north america,partner,14,24374,Won
O-900192,2024-02-06,C-6676,CRM Pro,Soft ware,Asia,In-bound,7,4179,Won
O-900193,2024-03-21,C-6652,POS-Terminal,Hard ware,asia,Outbound,13,6240,Won
O-900194,2023-08-12,C-5600,AnalyticsSuite,Soft ware,APAC,Inbound,7,6881,Won
O-900195,2023-07-15,C-6818,POS-Terminal,hardware,Asia,out bound,1,469,Won
O-900196,2024-12-11,C-5585,POS Terminal,Software,north america,inbound,11,16885,Won
O-900197,2024-06-11,C-4874,CRM-Pro,Software,europe,inbound,4,1264,Won
O-900198,2024-02-17,C-2947,Analytics Suite,Soft ware,APAC,inbound,7,11067,Won
O-900199,2023-08-12,C-2329,POS-Terminal,software,NA,inbound,2,1158,Won
O-900200,2023-09-30,C-4517,CRM Pro,software,NA,Outbound,4,5596,Won
O-900201,2023-09-04,C-3060,AnalyticsSuite,Soft ware,asia,Partner,11,20284,Won
O-900202,2024-01-01,C-2845,AnalyticsSuite,Software,Asia,Outbound,14,20706,Won
O-900203,2024-10-28,C-3576,POS Terminal,software,europe,partner,15,16275,Won
O-900204,2023-08-12,C-2049,AnalyticsSuite,Software,Asia,Partner,4,7176,Won
O-900205,2023-06-09,C-3761,POS-Terminal,Hardware,Europe,OUTBOUND,15,12945,Won
O-900206,2024-08-13,C-2693,CRM Pro,Soft ware,europe,In-bound,5,6525,Won
O-900207,2024-02-12,C-1109,AnalyticsSuite,Hardware,asia,Partner,7,7581,Won
O-900208,2023-07-04,C-4836,CRM-Pro,Hardware,europe,partner,13,17498,Won
O-900209,2023-02-05,C-6305,POS Terminal,hardware,europe,In-bound,3,5100,Won
O-900210,2023-03-27,C-3924,AnalyticsSuite,Software,APAC,Partner,3,1998,Won
O-900211,2023-08-05,C-6606,POS Terminal,software,North-America,In-bound,15,9420,Won
O-900212,2024-10-12,C-2187,POS-Terminal,Software,Asia,Inbound,10,7220,Won
O-900213,2024-11-18,C-3534,CRM Pro,Hardware,APAC,Inbound,14,4676,Won
O-900214,2024-04-03,C-3549,POS Terminal,Hard ware,Europe,In-bound,13,14729,Won
O-900215,2024-01-07,C-3159,POS-Terminal,Hard ware,asia,Partner,1,589,Won
O-900216,2024-10-31,C-5578,POS Terminal,Hardware,APAC,In-bound,6,8130,Won
O-900217,2023-06-15,C-1222,POS-Terminal,Hardware,europe,In-bound,13,25935,Won
O-900218,2024-05-26,C-1683,POS-Terminal,Software,Europe,In-bound,6,2232,Won
O-900219,2024-09-12,C-5797,Analytics Suite,Soft ware,NA,OUTBOUND,1,867,Won
O-900220,2024-01-11,C-6080,POS Terminal,Soft ware,Asia,Outbound,11,10010,Won
O-900221,2023-10-10,C-4931,POS Terminal,hardware,europe,partner,8,6152,Won
O-900222,2024-01-31,C-2727,AnalyticsSuite,Soft ware,Europe,Inbound,15,7665,Won
O-900223,2023-12-21,C-5449,POS-Terminal,hardware,North America,OUTBOUND,11,17963,Won
O-900224,2023-01-22,C-4891,CRM-Pro,Software,North-America,Partner,4,4220,Won
O-900225,2024-11-27,C-3581,POS-Terminal,software,APAC,In-bound,1,971,Won
O-900226,2024-05-10,C-6499,AnalyticsSuite,Software,Asia,In-bound,8,5544,Won
O-900227,2023-06-27,C-1776,Analytics Suite,software,North-America,out bound,13,18499,Won
O-900228,2024-07-30,C-1981,Analytics Suite,hardware,asia,out bound,13,10933,Won
O-900229,2023-03-09,C-6458,AnalyticsSuite,Hardware,North America,Inbound,13,17004,Won
O-900230,2023-11-11,C-2694,CRM-Pro,Soft ware,Asia,Inbound,7,8169,Won
O-900231,2023-08-09,C-4077,AnalyticsSuite,Soft ware,North-America,In-bound,10,18040,Won
O-900232,2024-03-07,C-5807,POS-Terminal,Hardware,asia,partner,14,14140,Won
O-900233,2024-11-21,C-4564,CRM-Pro,Soft ware,asia,inbound,4,5664,Won
O-900234,2024-08-14,C-1536,POS-Terminal,Software,Asia,out bound,11,8184,Won
O-900235,2024-04-24,C-5136,CRM Pro,Hard ware,APAC,In-bound,5,3485,Won
O-900236,2024-11-08,C-5805,Analytics Suite,software,EU,Partner,15,13815,Won
O-900237,2024-06-23,C-3668,POS Terminal,Hard ware,asia,partner,15,4680,Won
O-900238,2024-11-24,C-5466,CRM-Pro,software,North America,OUTBOUND,14,6622,Won
O-900239,2023-04-08,C-2032,POS-Terminal,software,NA,Inbound,1,481,Won
O-900240,2024-03-02,C-6516,Analytics Suite,hardware,N. America,inbound,9,4554,Won
O-900241,2023-11-23,C-5162,POS-Terminal,Software,North-America,partner,8,8456,Won
O-900242,2024-03-09,C-3572,POS-Terminal,Software,EU,Partner,12,15780,Won
O-900243,2023-04-25,C-2409,CRM Pro,Hard ware,north america,Outbound,9,9873,Won
O-900244,2024-03-15,C-1964,POS Terminal,Software,EU,Inbound,10,4660,Won
O-900245,2023-04-02,C-6275,CRM Pro,software,EU,Inbound,12,7788,Won
O-900246,2023-02-01,C-4066,POS Terminal,software,europe,Inbound,6,11988,Won
O-900247,2024-02-28,C-3756,CRM-Pro,Hardware,North America,In-bound,11,9592,Won
O-900248,2024-02-11,C-6793,AnalyticsSuite,Software,Asia,Outbound,15,14340,Won
O-900249,2024-06-09,C-6766,AnalyticsSuite,Software,N. America,inbound,7,5502,Won
O-900250,2023-09-20,C-4966,POS-Terminal,Software,NA,Outbound,11,8096,Won
O-900251,2023-06-20,C-5795,POS-Terminal,software,Europe,In-bound,14,23212,Won
O-900252,2023-11-10,C-6345,Analytics Suite,Soft ware,Europe,out bound,12,9624,Won
O-900253,2023-06-18,C-5247,POS-Terminal,hardware,EU,Inbound,11,7271,Won
O-900254,2023-05-02,C-6481,AnalyticsSuite,Soft ware,asia,Outbound,11,14839,Won
O-900255,2023-05-28,C-6788,POS Terminal,Hard ware,NA,inbound,15,26235,Won
O-900256,2024-12-10,C-3657,POS-Terminal,hardware,North America,Outbound,13,4342,Won
O-900257,2023-05-22,C-5218,POS Terminal,Software,N. America,Partner,12,14544,Won
O-900258,2023-07-26,C-3964,Analytics Suite,Soft ware,North-America,inbound,9,14499,Won
O-900259,2024-05-10,C-2232,POS-Terminal,Hard ware,North-America,out bound,3,2136,Won
O-900260,2024-10-01,C-2500,Analytics Suite,Hardware,Asia,In-bound,1,1297,Won
O-900261,2024-09-02,C-2891,CRM-Pro,Software,Europe,In-bound,14,10416,Won
O-900262,2024-07-25,C-5139,POS Terminal,Hardware,N. America,Outbound,11,14960,Won
O-900263,2023-10-01,C-1833,AnalyticsSuite,Soft ware,EU,In-bound,6,9420,Won
O-900264,2024-08-30,C-3650,AnalyticsSuite,Soft ware,North-America,partner,5,7640,Won
O-900265,2024-06-24,C-5764,AnalyticsSuite,Hard ware,europe,Outbound,12,19812,Won
O-900266,2024-05-12,C-2251,CRM-Pro,Hardware,NA,Partner,10,5560,Won
O-900267,2024-04-13,C-5459,Analytics Suite,Hard ware,N. America,Inbound,7,3416,Won
O-900268,2023-09-27,C-3213,POS Terminal,Hardware,North America,out bound,2,3850,Won
O-900269,2024-12-03,C-4618,CRM-Pro,Soft ware,europe,partner,9,14454,Won
O-900270,2024-09-26,C-6311,POS-Terminal,Hardware,N. America,In-bound,4,3988,Won
O-900271,2024-01-12,C-6385,POS Terminal,Software,asia,In-bound,2,706,Won
O-900272,2023-08-15,C-1612,POS Terminal,Software,EU,Outbound,11,14366,Won
O-900273,2023-04-18,C-1372,POS Terminal,hardware,Asia,Outbound,9,4995,Won
O-900274,2024-03-03,C-3080,POS Terminal,software,NA,In-bound,14,20118,Won
O-900275,2024-11-18,C-1068,CRM Pro,software,europe,OUTBOUND,5,7805,Won
O-900276,2023-11-02,C-5847,CRM Pro,Hard ware,EU,Outbound,11,10846,Won
O-900277,2023-06-24,C-3903,AnalyticsSuite,Hard ware,NA,Inbound,14,4578,Won
O-900278,2023-12-25,C-5538,Analytics Suite,Software,asia,inbound,14,8904,Won
O-900279,2023-12-01,C-4505,POS-Terminal,Software,europe,inbound,4,7160,Won
O-900280,2023-04-05,C-2180,POS-Terminal,Soft ware,north america,Partner,3,3051,Won
O-900281,2023-05-01,C-6202,AnalyticsSuite,Soft ware,NA,out bound,11,17996,Won
O-900282,2023-08-04,C-2705,POS Terminal,Software,north america,Partner,10,11750,Won
O-900283,2023-02-03,C-5796,POS Terminal,Hard ware,North-America,partner,4,2552,Won
O-900284,2023-04-14,C-1280,POS-Terminal,Hard ware,North-America,OUTBOUND,10,9790,Won
O-900285,2023-03-04,C-3138,CRM-Pro,Hard ware,north america,Inbound,12,13812,Won
O-900286,2023-02-26,C-2932,POS-Terminal,Software,North-America,OUTBOUND,9,3897,Won
O-900287,2024-04-08,C-3738,Analytics Suite,Hardware,europe,In-bound,12,4152,Won
O-900288,2023-10-01,C-6501,POS Terminal,Hard ware,APAC,out bound,6,7344,Won
O-900289,2023-03-02,C-4904,AnalyticsSuite,software,north america,Outbound,11,15983,Won
O-900290,2024-12-08,C-1380,POS-Terminal,Hard ware,North-America,In-bound,6,3450,Won
O-900291,2023-03-23,C-2916,AnalyticsSuite,Hard ware,north america,partner,2,3576,Won
O-900292,2023-08-07,C-2843,POS Terminal,hardware,europe,Inbound,10,11470,Won
O-900293,2023-01-04,C-2801,AnalyticsSuite,Hard ware,Asia,out bound,13,15743,Won
O-900294,2023-12-07,C-3158,AnalyticsSuite,Software,EU,Partner,4,7228,Won
O-900295,2023-01-08,C-5840,POS-Terminal,Software,NA,partner,15,28350,Won
O-900296,2024-09-19,C-6160,CRM Pro,Hardware,EU,partner,7,9996,Won
O-900297,2024-10-12,C-5001,CRM Pro,hardware,europe,Partner,2,1312,Won
O-900298,2024-03-20,C-6966,Analytics Suite,Hard ware,north america,inbound,9,3492,Won
O-900299,2023-11-28,C-4022,AnalyticsSuite,Hardware,NA,Outbound,8,5728,Won
O-900300,2024-12-26,C-2148,AnalyticsSuite,Hard ware,Asia,out bound,5,7245,Won
O-900301,2024-09-12,C-2270,POS-Terminal,hardware,north america,Partner,9,14202,Won
O-900302,2024-09-25,C-6967,CRM-Pro,Soft ware,North America,Inbound,5,4655,Won
O-900303,2024-07-15,C-6007,POS-Terminal,Software,europe,OUTBOUND,13,12129,Won
O-900304,2024-01-24,C-6107,POS Terminal,Software,asia,Partner,8,8832,Won
