order_id,order_date,lead_date,close_date,product,region,revenue,units,stage
O-400041,Jan 2023,2022/12/26,01-13-2023,Sales Booster,Europe,6480,13,Won
O-400042,10/01/2024,Dec 2023,25/01/2024,Sales Booster,Asia,2650,8,Lost
O-400043,Nov 2023,2023-10-27,25/11/2023,Analytics Suite,Asia,5893,7,Won
O-400044,2024/05/21,05-13-2024,Jun 2024,CRM Pro,North America,9398,9,Qualified
O-400045,2024/02/10,2024/02/02,2024/02/29,Sales Booster,Europe,9502,5,Lost
O-400046,2024-05-20,14/05/2024,07/06/2024,CRM Pro,Asia,17195,7,Lost
O-400047,2023/11/10,2023-11,24/11/2023,Analytics Suite,North America,5720,14,Lost
O-400048,12-02-2023,2023/11/06,2023/12/08,CRM Pro,Asia,17611,15,Lost
O-400049,16/02/2024,Jan 2024,2024/03/01,CRM Pro,North America,17107,9,Qualified
O-400050,Nov 2024,14/10/2024,15/11/2024,Analytics Suite,North America,12306,2,Won
O-400051,2023/10/26,2023-10-05,2023-11-09,Analytics Suite,North America,5328,9,Lost
O-400052,2023-01,30/12/2022,2023-01-21,Analytics Suite,Asia,16772,13,Qualified
O-400053,2023/03/26,Mar 2023,2023-04-02,CRM Pro,Europe,16405,4,Lost
O-400054,05/10/2023,2023/09/23,2023/10/11,Analytics Suite,North America,19092,8,Lost
O-400055,2024-09-25,18/09/2024,10-13-2024,Analytics Suite,Asia,11547,1,Qualified
O-400056,Mar 2023,Feb 2023,03-23-2023,Sales Booster,Europe,19776,13,Qualified
O-400057,Sep 2023,2023-09-04,Oct 2023,CRM Pro,Europe,1564,6,Won
O-400058,11-03-2024,Oct 2024,2024-11,CRM Pro,Europe,8666,1,Lost
O-400059,2024-10-02,16/09/2024,Oct 2024,Analytics Suite,Europe,4499,10,Won
O-400060,2023-06-14,2023-05-21,26/06/2023,Analytics Suite,Asia,3310,12,Won
O-400061,2024-05-21,2024-05,Jun 2024,Analytics Suite,North America,10254,3,Won
O-400062,11/11/2023,2023-11,11-15-2023,CRM Pro,Asia,9337,9,Qualified
O-400063,03-30-2023,17/03/2023,2023-04-05,Sales Booster,North America,697,15,Won
O-400064,2024/05/03,04-28-2024,05-08-2024,Sales Booster,Asia,15478,9,Qualified
O-400065,2023/11/04,10-24-2023,Nov 2023,CRM Pro,Asia,6611,1,Qualified
O-400066,2024-08-22,2024-08-11,2024-09,Analytics Suite,Asia,8157,3,Won
O-400067,2024/07/11,25/06/2024,2024-07-13,Sales Booster,Europe,3475,1,Qualified
O-400068,09/04/2024,03-28-2024,Apr 2024,CRM Pro,Europe,7142,5,Won
O-400069,2024-12,2024-11,12-25-2024,CRM Pro,Europe,2891,14,Qualified
O-400070,06-05-2024,2024-05-25,2024-06-18,Analytics Suite,Asia,6715,12,Lost
O-400071,2024-05,May 2024,2024-05,CRM Pro,Asia,10963,4,Lost
O-400072,2024-02-15,02-02-2024,03-01-2024,Sales Booster,Europe,9701,15,Won
O-400073,Mar 2023,2023/02/28,2023-03-13,Analytics Suite,North America,1920,14,Qualified
O-400074,10/09/2023,Aug 2023,09-27-2023,CRM Pro,Asia,17645,1,Qualified
O-400075,11-20-2023,2023-11,Nov 2023,Sales Booster,Europe,11174,8,Qualified
O-400076,2024/12/05,11-25-2024,2024/12/13,Analytics Suite,North America,11756,12,Won
O-400077,2023/10/25,09-27-2023,11-05-2023,Analytics Suite,North America,10431,9,Qualified
O-400078,2024-07-09,2024-06-12,21/07/2024,CRM Pro,Europe,3786,15,Qualified
O-400079,2023-03,02-09-2023,Mar 2023,Analytics Suite,North America,12388,12,Lost
O-400080,2024/11/10,2024-10-24,2024-11,CRM Pro,Asia,16738,11,Won
O-400081,Jul 2024,Jul 2024,2024-08,CRM Pro,Europe,16163,7,Lost
O-400082,06-18-2023,05-29-2023,06-21-2023,Analytics Suite,North America,12308,1,Lost
O-400083,07-16-2023,2023/06/21,2023/07/30,Sales Booster,Asia,15512,12,Won
O-400084,12-14-2024,03/12/2024,01/01/2025,Sales Booster,Europe,18193,10,Lost
O-400085,2023-03,03-17-2023,2023-04-12,Sales Booster,Asia,3768,13,Lost
O-400086,11-26-2024,2024-10-31,2024/12/09,Sales Booster,Asia,7998,15,Qualified
O-400087,2024-06-21,May 2024,2024-06-24,CRM Pro,Asia,16661,9,Won
O-400088,2023/08/19,2023-08,25/08/2023,Analytics Suite,Asia,16394,1,Qualified
O-400089,09-26-2024,09-17-2024,Oct 2024,CRM Pro,North America,4992,14,Won
O-400090,03-23-2024,Feb 2024,2024-04-08,Analytics Suite,North America,1069,5,Qualified
O-400091,Dec 2024,17/12/2024,Jan 2025,CRM Pro,Asia,16512,14,Won
O-400092,09-15-2023,2023-08-29,2023/10/05,CRM Pro,Asia,19967,9,Won
O-400093,26/12/2023,12-16-2023,02/01/2024,CRM Pro,Europe,3228,3,Qualified
O-400094,2024-10,10-06-2024,Oct 2024,Analytics Suite,North America,12677,8,Won
O-400095,07/03/2023,03-02-2023,21/03/2023,CRM Pro,Europe,3347,12,Won
O-400096,11-06-2023,2023-10,2023/11/21,Sales Booster,Europe,6040,3,Lost
O-400097,10-06-2024,2024/09/28,16/10/2024,CRM Pro,North America,12046,1,Won
O-400098,2024-08-27,08-10-2024,2024-09-07,Analytics Suite,Europe,18901,8,Qualified
O-400099,07-08-2023,2023/06/15,2023-07,CRM Pro,Asia,16315,14,Lost
O-400100,Aug 2023,07-24-2023,29/08/2023,Analytics Suite,Asia,9436,7,Won
O-400101,10-18-2023,09-26-2023,2023-10-30,CRM Pro,Europe,781,6,Lost
O-400102,32/13/2024,11-15-2024,Dec 2024,Analytics Suite,Asia,13574,2,Won
O-400103,2023/09/09,2023/08/22,2023/09/16,Sales Booster,North America,14046,4,Lost
O-400104,11-13-2024,05/11/2024,11-20-2024,Sales Booster,Asia,16740,2,Lost
O-400105,Jun 2023,24/05/2023,2023-07,Analytics Suite,North America,14748,11,Qualified
O-400106,2023-02,Jan 2023,27/02/2023,Analytics Suite,Europe,18945,6,Lost
O-400107,Jun 2024,2024-05-20,16/06/2024,CRM Pro,Europe,11348,15,Lost
O-400108,2023-05,2023-04-26,31/05/2023,Sales Booster,North America,8689,14,Lost
O-400109,2024-10,09-09-2024,10-21-2024,CRM Pro,North America,13568,2,Won
O-400110,03/11/2023,04/10/2023,21/11/2023,CRM Pro,North America,14195,11,Qualified
O-400111,05/02/2023,01-25-2023,2023-02-18,Sales Booster,North America,19126,4,Won
O-400112,2023-02-11,21/01/2023,2023-03,Sales Booster,Europe,8902,1,Won
O-400113,21/09/2024,Sep 2024,2024-10,Sales Booster,North America,15998,3,Won
O-400114,2023-04,03-30-2023,04-07-2023,Analytics Suite,North America,1124,9,Lost
O-400115,07-28-2023,Jul 2023,Aug 2023,Analytics Suite,Asia,15567,12,Lost
O-400116,Nov 2024,Oct 2024,Nov 2024,Sales Booster,Europe,12037,3,Qualified
O-400117,14/05/2024,May 2024,2024-06,Sales Booster,Europe,10981,5,Lost
O-400118,2023-05,04-12-2023,2023/05/12,Analytics Suite,North America,1638,11,Lost
O-400119,02-18-2023,22/01/2023,27/02/2023,Analytics Suite,Europe,10026,1,Qualified
O-400120,Aug 2023,2023/07/25,2023-09,Analytics Suite,Asia,3753,10,Lost
O-400121,30/12/2023,Dec 2023,08/01/2024,Sales Booster,North America,10264,1,Qualified
O-400122,32/13/2024,2024-01,2024-02,Sales Booster,Asia,19610,2,Qualified
O-400123,2023-08-28,2023/08/23,06/09/2023,CRM Pro,North America,3055,5,Qualified
O-400124,2024-03-27,04/03/2024,05/04/2024,Analytics Suite,North America,12709,11,Lost
O-400125,05/02/2023,01-26-2023,25/02/2023,Analytics Suite,North America,3601,7,Won
O-400126,2023-01,2023-01-07,23/01/2023,Analytics Suite,Asia,1051,15,Qualified
O-400127,Jun 2024,2024-06,2024/06/28,CRM Pro,Asia,15077,15,Qualified
O-400128,08-20-2024,07/08/2024,29/08/2024,Sales Booster,Europe,10432,15,Won
O-400129,06/07/2024,2024-06-06,2024-07-14,Sales Booster,Europe,8959,10,Lost
O-400130,2023-04,2023/03/26,05/04/2023,Analytics Suite,Asia,12383,10,Qualified
O-400131,32/13/2024,Aug 2023,2023-09-05,CRM Pro,North America,2795,6,Qualified
O-400132,2024-07,2024-07,2024/07/26,Analytics Suite,Asia,9515,3,Won
O-400133,07/04/2023,2023-03-14,Apr 2023,Analytics Suite,Europe,10048,2,Won
O-400134,01-05-2024,2023-12-14,2024/01/08,Analytics Suite,Europe,3828,8,Won
O-400135,32/13/2024,2024-06-27,2024-08-04,Analytics Suite,North America,11854,1,Lost
O-400136,04-07-2023,2023/03/08,2023/04/08,Analytics Suite,Europe,9126,14,Won
O-400137,2023/02/26,21/02/2023,Mar 2023,Sales Booster,Europe,3037,13,Won
O-400138,2023-10,09-29-2023,21/10/2023,Sales Booster,Asia,8706,4,Lost
O-400139,Dec 2023,2023-12-11,Dec 2023,Analytics Suite,North America,19040,3,Lost
O-400140,2023-09-15,2023-08,2023-10,CRM Pro,Europe,12817,14,Lost
O-400141,03-10-2024,2024-02-09,2024/03/19,Sales Booster,Europe,11729,5,Lost
O-400142,2023-03-09,02-07-2023,10/03/2023,CRM Pro,Europe,16470,12,Won
O-400143,2024-08,21/07/2024,2024-08-23,Analytics Suite,Asia,9269,13,Lost
O-400144,2024/05/22,05-16-2024,2024-05-24,Sales Booster,North America,2245,9,Qualified
O-400145,2024-07-18,2024/06/24,2024-07,Analytics Suite,North America,4378,4,Won
O-400146,Feb 2023,06/02/2023,04/03/2023,Sales Booster,Asia,16335,13,Won
O-400147,06-22-2024,May 2024,06-26-2024,Sales Booster,North America,10787,7,Qualified
O-400148,16/06/2023,2023-05,2023/06/21,Sales Booster,Asia,14032,15,Qualified
O-400149,07-22-2024,2024-06,08-09-2024,Analytics Suite,Europe,9263,12,Lost
O-400150,2024-11-06,2024-10,11-22-2024,Sales Booster,North America,8820,10,Lost
O-400151,32/13/2024,2023-05-26,2023-06-13,Analytics Suite,Europe,17059,5,Lost
O-400152,24/11/2023,Nov 2023,13/12/2023,Analytics Suite,Asia,18510,13,Won
O-400153,32/13/2024,Dec 2023,Feb 2024,Analytics Suite,Europe,4381,11,Qualified
O-400154,08-10-2024,07-13-2024,Aug 2024,Sales Booster,Asia,10920,8,Lost
O-400155,2023-03-18,05/03/2023,2023/03/29,CRM Pro,Asia,4090,10,Won
O-400156,2024-12,12-03-2024,01-04-2025,CRM Pro,Europe,11688,10,Qualified
O-400157,2023-03,Feb 2023,2023-03,Analytics Suite,Europe,13922,4,Won
O-400158,2024/01/23,09/01/2024,2024/02/04,CRM Pro,Europe,14288,11,Qualified
O-400159,Mar 2023,2023-03-01,04-12-2023,Sales Booster,Asia,10025,15,Lost
O-400160,03-23-2023,03-02-2023,2023-04,Sales Booster,Asia,13862,15,Qualified
O-400161,2023/04/05,2023-03,16/04/2023,CRM Pro,North America,19930,12,Qualified
O-400162,2023-07,2023-07,2023-07-28,CRM Pro,North America,3112,8,Won
O-400163,Feb 2024,2024-01-17,02-09-2024,Analytics Suite,Asia,2468,6,Qualified
O-400164,30/05/2023,May 2023,06-18-2023,CRM Pro,North America,10450,2,Qualified
O-400165,2024/11/02,2024-10,Nov 2024,CRM Pro,North America,15469,4,Qualified
O-400166,15/01/2024,2023/12/27,22/01/2024,Sales Booster,Asia,633,15,Won
O-400167,03/06/2023,2023/05/06,15/06/2023,CRM Pro,Asia,7714,6,Qualified
O-400168,11-04-2024,2024/10/06,2024/11/22,Sales Booster,Europe,2675,10,Won
O-400169,06-10-2024,2024-05,2024-06,CRM Pro,North America,8788,3,Won
O-400170,2023-09-23,Aug 2023,2023/09/28,Analytics Suite,Asia,16411,2,Qualified
O-400171,2023-03,2023-03,13/04/2023,CRM Pro,Asia,13677,1,Won
O-400172,2023/08/25,02/08/2023,2023-09-08,Sales Booster,Asia,4889,5,Won
O-400173,04/07/2023,2023-06,07-16-2023,Sales Booster,North America,4339,2,Qualified
O-400174,32/13/2024,26/07/2023,2023-08,Analytics Suite,Asia,5752,4,Lost
O-400175,2024-02,23/01/2024,02/02/2024,Analytics Suite,Asia,11937,7,Won
O-400176,Nov 2023,Nov 2023,2023-11,Sales Booster,Asia,12684,1,Qualified
O-400177,2024/03/02,02-08-2024,03-09-2024,Analytics Suite,Europe,7319,7,Qualified
O-400178,2024-04-17,2024/03/26,28/04/2024,Sales Booster,North America,4330,7,Won
O-400179,10/04/2024,04-02-2024,2024-04-20,Sales Booster,Asia,6035,6,Won
O-400180,Nov 2023,01/11/2023,2023-11-28,Sales Booster,Asia,1035,14,Lost
O-400181,32/13/2024,2023-04-20,May 2023,Analytics Suite,Asia,13121,1,Won
O-400182,2023/04/06,Mar 2023,04-14-2023,CRM Pro,Asia,11544,11,Qualified
O-400183,2024-09-01,19/08/2024,03/09/2024,CRM Pro,Europe,17192,15,Won
O-400184,May 2023,Apr 2023,2023-05,CRM Pro,Europe,9145,10,Lost
O-400185,2023-01-21,2023/01/05,2023-01,Analytics Suite,Europe,9387,8,Won
O-400186,10-02-2024,2024-09-02,2024/10/18,CRM Pro,Asia,18648,2,Qualified
O-400187,2023/10/12,2023-10-03,2023-10,CRM Pro,Asia,11599,14,Lost
O-400188,Nov 2024,10-27-2024,2024-11,CRM Pro,North America,11985,1,Won
O-400189,04-13-2024,2024/03/20,04-14-2024,Sales Booster,Europe,16503,8,Lost
O-400190,2023-09-13,Aug 2023,Sep 2023,CRM Pro,Asia,10951,2,Qualified
O-400191,2024-09-08,09-02-2024,09-09-2024,Sales Booster,North America,17209,5,Lost
O-400192,03-08-2023,02/03/2023,03-22-2023,CRM Pro,North America,2517,13,Lost
O-400193,2024/10/28,2024-10,Nov 2024,Sales Booster,Asia,12014,15,Lost
O-400194,Mar 2023,Feb 2023,2023-03,CRM Pro,Asia,8777,4,Lost
O-400195,32/13/2024,Dec 2023,12-22-2023,CRM Pro,North America,19515,6,Lost
O-400196,01-26-2023,2023/01/10,2023-02,CRM Pro,Asia,2719,12,Qualified
O-400197,Aug 2023,Jul 2023,Aug 2023,Analytics Suite,Asia,9760,2,Lost
O-400198,Mar 2023,2023-03,2023-03,CRM Pro,Europe,1697,13,Qualified
O-400199,32/13/2024,10-14-2023,18/11/2023,Sales Booster,Europe,19627,6,Qualified
O-400200,09/09/2024,08-14-2024,2024/09/16,Analytics Suite,Europe,17398,1,Lost
O-400201,2023/06/09,2023-05-11,2023-06-24,Analytics Suite,Europe,1123,8,Qualified
O-400202,32/13/2024,06-15-2024,2024-07-20,Sales Booster,Europe,16512,7,Lost
O-400203,12-09-2023,2023-11,2023-12-20,Analytics Suite,Europe,17412,15,Lost
O-400204,2024-09-15,2024-09,09-20-2024,Analytics Suite,North America,5329,11,Won
O-400205,04-30-2023,2023-04-09,2023-05,Analytics Suite,Asia,10480,15,Qualified
O-400206,21/01/2023,14/01/2023,01-30-2023,CRM Pro,Europe,8850,3,Won
O-400207,Apr 2023,2023/03/31,05-03-2023,Analytics Suite,Asia,11223,3,Won
O-400208,2023-03,2023-02,2023-03-23,Sales Booster,North America,5151,14,Won
O-400209,02-07-2024,01-26-2024,Feb 2024,Analytics Suite,Asia,13368,2,Qualified
O-400210,Jan 2023,01-12-2023,01-31-2023,Sales Booster,Asia,2087,4,Qualified
O-400211,09-04-2023,2023-08,2023/09/17,Analytics Suite,Europe,1158,4,Won
O-400212,32/13/2024,2023/10/10,Nov 2023,Analytics Suite,North America,18806,15,Qualified
O-400213,Oct 2023,20/09/2023,11/10/2023,CRM Pro,Asia,10261,9,Qualified
O-400214,32/13/2024,Jun 2024,06-14-2024,Analytics Suite,Europe,8051,6,Qualified
O-400215,2024/11/12,Nov 2024,2024-12,Sales Booster,Asia,9261,7,Qualified
O-400216,2023-10,2023/10/06,2023/11/11,Analytics Suite,North America,16347,11,Qualified
O-400217,2024-08-30,2024/08/19,09-15-2024,Analytics Suite,North America,12695,8,Won
O-400218,2024-04-16,03-18-2024,24/04/2024,Analytics Suite,Europe,4152,13,Won
O-400219,2024-07-19,21/06/2024,2024-07,Sales Booster,Asia,4206,12,Lost
O-400220,08-30-2023,08-12-2023,09-14-2023,CRM Pro,North America,8352,6,Lost
O-400221,32/13/2024,2023/01/18,2023-02-15,Sales Booster,Europe,1559,12,Lost
O-400222,32/13/2024,2023-05-12,07/06/2023,Sales Booster,Asia,7850,15,Won
O-400223,03/07/2024,2024/06/03,2024-07,Analytics Suite,Asia,3350,5,Qualified
O-400224,2023-03,27/02/2023,2023-03,CRM Pro,Europe,18045,7,Qualified
O-400225,03-02-2024,2024-02,03-04-2024,Analytics Suite,Europe,6655,10,Lost
O-400226,02-22-2023,02-17-2023,02-24-2023,CRM Pro,Europe,5650,14,Won
O-400227,2023-08,09/08/2023,Sep 2023,Sales Booster,North America,9065,6,Won
O-400228,2023-02-23,2023-01-25,13/03/2023,CRM Pro,Europe,15550,3,Qualified
O-400229,13/02/2024,2024-02-05,28/02/2024,CRM Pro,North America,1926,5,Qualified
O-400230,Aug 2024,2024-08-22,2024-09-12,Sales Booster,Asia,15636,1,Won
O-400231,2024-04,2024-03-29,2024/05/09,CRM Pro,Europe,17040,3,Won
O-400232,23/09/2024,2024-09,2024/10/01,CRM Pro,Asia,12302,2,Won
O-400233,2023-07-07,2023-06,2023-07,Analytics Suite,Europe,5539,14,Lost
O-400234,21/02/2024,2024-02-01,03-12-2024,Analytics Suite,Europe,5557,3,Won
O-400235,2024/11/01,02/10/2024,11-21-2024,Analytics Suite,Europe,7436,9,Qualified
O-400236,2024-10-04,Sep 2024,10-13-2024,Analytics Suite,Europe,7646,4,Lost
O-400237,May 2024,Apr 2024,2024-05,Analytics Suite,North America,3815,3,Won
O-400238,2024-11-20,2024/10/23,2024-12-06,Analytics Suite,Asia,15863,6,Lost
O-400239,32/13/2024,2023-10,Nov 2023,CRM Pro,North America,15261,9,Qualified
O-400240,09-25-2024,2024-09,09/10/2024,Sales Booster,Europe,14089,9,Qualified
O-400241,2023-12-24,2023-11,29/12/2023,Analytics Suite,North America,17259,5,Qualified
O-400242,07-31-2024,Jul 2024,Aug 2024,Sales Booster,North America,3426,14,Qualified
O-400243,2024-09-01,2024/08/10,2024-09,CRM Pro,Europe,16958,2,Won
O-400244,01/01/2023,12-03-2022,Jan 2023,Sales Booster,North America,16565,3,Qualified
O-400245,2023-12,2023-12-07,2023-12,CRM Pro,Asia,10079,9,Qualified
O-400246,03-19-2024,2024-03,2024-03-23,CRM Pro,Asia,1571,2,Lost
O-400247,2024-10,2024-10-03,03/11/2024,Sales Booster,Europe,16102,13,Won
O-400248,2024/12/14,Nov 2024,2024-12,Sales Booster,North America,2865,6,Qualified
O-400249,Sep 2024,30/08/2024,2024/09/13,Analytics Suite,North America,16070,4,Won
O-400250,10-22-2023,2023-10-15,2023-10-30,Analytics Suite,Asia,18103,11,Lost
O-400251,2023-03-08,2023/02/08,10/03/2023,CRM Pro,North America,15583,6,Qualified
O-400252,05/01/2023,31/12/2022,01-07-2023,Sales Booster,Asia,11436,9,Qualified
O-400253,2024-01-21,2024-01-04,2024-01-30,Analytics Suite,North America,14822,15,Won
O-400254,2023-08,10/08/2023,2023-09-03,CRM Pro,Asia,18485,11,Won
O-400255,Aug 2024,2024/07/19,2024-08,Analytics Suite,Europe,12342,4,Qualified
O-400256,04-01-2023,03-15-2023,2023-04,Analytics Suite,Asia,19599,1,Won
O-400257,07-26-2024,2024-07-08,2024-08,Analytics Suite,Europe,1473,3,Lost
O-400258,2024/07/24,2024/07/06,03/08/2024,CRM Pro,North America,13965,13,Won
O-400259,07-02-2024,2024/06/18,21/07/2024,Sales Booster,Europe,8704,9,Won
O-400260,19/01/2023,2023-01,2023-01,CRM Pro,Europe,19882,13,Lost
O-400261,25/04/2023,2023/03/26,May 2023,Analytics Suite,Asia,14054,7,Won
O-400262,12/10/2024,14/09/2024,2024-10-30,Sales Booster,North America,4388,14,Qualified
O-400263,Feb 2024,2024/02/17,02-28-2024,Sales Booster,Asia,11084,9,Lost
O-400264,03-12-2023,2023/02/14,2023-03,Sales Booster,Europe,1338,8,Qualified
O-400265,2024-01,2024/01/01,01-22-2024,Sales Booster,Asia,1082,12,Qualified
O-400266,2023-10,09-27-2023,20/10/2023,Analytics Suite,North America,883,13,Lost
O-400267,05-22-2023,22/04/2023,28/05/2023,Sales Booster,Asia,5891,13,Won
O-400268,2024-04-20,2024/04/06,2024-05-01,CRM Pro,North America,912,6,Won
O-400269,2024-02,2024-01,2024-02,CRM Pro,Asia,15370,3,Qualified
O-400270,Dec 2023,Nov 2023,2024/01/07,CRM Pro,Europe,11644,8,Won
O-400271,07-03-2023,2023/06/27,2023-07,CRM Pro,Asia,6918,7,Qualified
O-400272,2024-06-16,2024-06-03,Jul 2024,Sales Booster,Europe,12830,4,Won
O-400273,2023/11/26,Nov 2023,2023-12,Analytics Suite,Europe,14647,7,Qualified
O-400274,10-24-2023,2023-10-10,2023-10-31,Analytics Suite,Europe,4065,9,Qualified
O-400275,Dec 2023,2023-11,2023-12,Analytics Suite,Europe,3945,6,Qualified
O-400276,2023-10-10,2023-09-28,2023-10,CRM Pro,Asia,18689,2,Won
O-400277,04-17-2024,05/04/2024,2024-05-05,Sales Booster,North America,5068,2,Qualified
O-400278,Nov 2024,Oct 2024,2024/12/07,Analytics Suite,Europe,11060,13,Won
O-400279,01-10-2023,24/12/2022,2023-01,Sales Booster,Europe,17472,1,Lost
O-400280,32/13/2024,18/05/2024,06-14-2024,Sales Booster,Europe,12174,4,Won
O-400281,12-14-2023,2023-11-18,Dec 2023,Analytics Suite,Europe,14977,2,Lost
O-400282,2023-05,2023/04/21,May 2023,Analytics Suite,North America,5920,7,Qualified
O-400283,Apr 2024,03-21-2024,2024-04,CRM Pro,Asia,3414,5,Won
O-400284,02/06/2024,May 2024,2024-06-16,Sales Booster,North America,15115,9,Lost
O-400285,2024-06,2024-05-14,06/06/2024,CRM Pro,Europe,4405,9,Lost
O-400286,2023/07/30,Jul 2023,08-04-2023,Analytics Suite,North America,11127,6,Lost
O-400287,2024-11,2024-10-17,2024-11-20,Analytics Suite,Asia,10332,4,Lost
O-400288,02/01/2024,2023/12/09,2024/01/09,CRM Pro,Europe,12216,2,Lost
O-400289,24/09/2023,Aug 2023,2023/10/11,Analytics Suite,North America,4282,7,Qualified
O-400290,2024-01-17,2023-12,Jan 2024,Sales Booster,Asia,8698,14,Qualified
O-400291,02/10/2024,2024-09,2024/10/10,Sales Booster,North America,8598,9,Qualified
O-400292,Feb 2024,Jan 2024,Feb 2024,Sales Booster,Europe,11275,2,Qualified
O-400293,32/13/2024,24/09/2024,2024-10,Sales Booster,North America,18272,15,Won
O-400294,2024/06/18,2024-06-13,2024/06/30,Analytics Suite,Europe,7517,10,Won
O-400295,Oct 2024,2024-10-14,2024-11,CRM Pro,Europe,4229,2,Lost
O-400296,2023-08-05,07-23-2023,2023-08-07,CRM Pro,Europe,4224,4,Lost
O-400297,03-10-2024,2024/02/26,2024/03/22,Sales Booster,Europe,2224,12,Lost
O-400298,28/05/2024,2024-05,2024-06,Sales Booster,North America,2947,10,Lost
O-400299,2024/10/04,05/09/2024,11/10/2024,Sales Booster,Europe,7055,1,Lost
O-400300,09-09-2024,2024-09,2024/09/29,Analytics Suite,North America,10779,4,Qualified
O-400301,32/13/2024,01-28-2024,Feb 2024,CRM Pro,Europe,11098,8,Lost
O-400302,Dec 2024,12-09-2024,12-29-2024,Analytics Suite,North America,1275,9,Lost
O-400303,2024/01/25,01-18-2024,2024/02/03,Sales Booster,Europe,1040,13,Qualified
O-400304,22/08/2023,23/07/2023,08/09/2023,CRM Pro,Europe,17040,2,Qualified
O-400305,08-29-2024,2024-08-11,2024-09-11,CRM Pro,North America,13846,3,Won
O-400306,2024/03/18,2024-03-05,22/03/2024,Analytics Suite,Europe,13057,4,Won
O-400307,10-25-2024,2024-09,2024-10-29,Analytics Suite,Europe,12987,15,Won
O-400308,Mar 2024,2024/03/15,02/04/2024,Analytics Suite,North America,13523,3,Lost
