customer_id,segment,city,region,first_purchase_date,first_tx_date,last_tx_date,recency_days,active_months,orders,units,gross_sales,discount_amount,net_sales,avg_order_value,avg_units_per_order,discount_ratio,returns_amount,net_sales_after_returns,return_rate_amount,return_rate_flag,frequency_per_month,rfm_score,churn_risk_bucket,top_category
C00011,high_return,Karachi,Sindh,2025-11-10,2025-01-30,2025-11-26,35.0,8,8,18.0,721953.65,37104.759048,684850.86,85606.3575,2.25,0.05139493241429003,0.0,684850.86,0.0,0,1.0,425,medium,Electronics
C00012,one_time,Islamabad,ICT,2025-08-24,2025-04-17,2025-04-17,258.0,1,1,1.0,218564.3,0.0,218564.3,218564.3,1.0,0.0,0.0,218564.3,0.0,0,1.0,123,medium,Electronics
C00013,loyal,Karachi,Sindh,2025-02-28,2025-01-05,2025-12-13,18.0,7,7,27.0,429898.99,24136.468073,405748.76,57964.10857142857,3.857142857142857,0.05614450983706661,10040.99,395707.77,0.024746816231798217,0,1.0,424,medium,Electronics
C00014,one_time,Lahore,Punjab,2025-07-07,2025-01-13,2025-10-18,74.0,4,4,10.0,454002.06,35464.742278,418539.51,104634.8775,2.5,0.07811581797227968,0.0,418539.51,0.0,0,1.0,224,medium,Electronics
C00015,one_time,Karachi,Sindh,2025-07-09,2025-05-16,2025-10-10,82.0,4,6,12.0,289158.41000000003,9345.083452,279808.01,46634.668333333335,2.0,0.032318214268780905,0.0,279808.01,0.0,0,1.5,253,medium,Electronics
C00016,loyal,Karachi,Sindh,2025-02-20,2025-05-09,2025-12-28,3.0,5,9,22.0,518593.62,19511.376393,499090.35,55454.48333333333,2.4444444444444446,0.0376236336902872,0.0,499090.35,0.0,0,1.8,554,medium,Electronics
C00017,one_time,Karachi,Sindh,2025-09-01,2025-02-01,2025-02-01,333.0,1,1,1.0,1296.13,222.28629500000002,1073.87,1073.87,1.0,0.1715,0.0,1073.87,0.0,0,1.0,121,medium,Fashion
C00018,high_return,Lahore,Punjab,2025-05-11,2025-11-16,2025-11-16,45.0,1,1,2.0,42743.08,923.332895,41821.270000000004,41821.270000000004,2.0,0.021601927025380482,0.0,41821.270000000004,0.0,0,1.0,321,medium,Electronics
C00019,regular,Lahore,Punjab,2025-05-15,2025-01-15,2025-09-08,114.0,3,4,11.0,72440.84,3974.3713929999994,68465.66,17116.415,2.75,0.054863684532095426,0.0,68465.66,0.0,0,1.3333333333333333,242,medium,Fashion
C00020,price_sensitive,Lahore,Punjab,2025-06-16,2025-04-10,2025-12-12,19.0,5,5,9.0,534913.66,30580.203378000002,504336.76,100867.352,1.8,0.05716848468218217,0.0,504336.76,0.0,0,1.0,424,medium,Electronics
C00021,loyal,Islamabad,ICT,2025-03-30,2025-01-27,2025-09-13,109.0,7,11,37.0,1071731.63,65736.638116,1005992.82,91453.89272727272,3.3636363636363638,0.06133684616175787,0.0,1005992.82,0.0,0,1.5714285714285714,255,medium,Electronics
C00022,regular,Lahore,Punjab,2025-08-30,2025-04-04,2025-11-29,32.0,4,4,18.0,580363.14,2811.1733130000002,577554.27,144388.5675,4.5,0.004843817808622374,0.0,577554.27,0.0,0,1.0,425,medium,Electronics
C00023,one_time,Karachi,Sindh,2025-12-12,2025-01-13,2025-02-09,325.0,2,3,8.0,656296.53,9128.315809,647180.1399999999,215726.7133333333,2.6666666666666665,0.013908828390422847,340743.31,306436.8299999999,0.5265045834070249,1,1.5,154,medium,Electronics
C00024,loyal,Lahore,Punjab,2025-12-06,2025-01-14,2025-12-03,28.0,8,10,29.0,539833.93,22777.706173,517057.33999999997,51705.734,2.9,0.04219391354856112,0.0,517057.33999999997,0.0,0,1.25,444,medium,Electronics
C00025,price_sensitive,Lahore,Punjab,2025-09-21,2025-01-25,2025-08-06,147.0,3,3,8.0,752683.54,56422.451974999996,696248.02,232082.67333333334,2.6666666666666665,0.07496171893834691,210880.66,485367.36,0.30288152201854734,1,1.0,124,medium,Electronics
C00026,loyal,Karachi,Sindh,2025-07-25,2025-02-04,2025-12-19,12.0,6,11,31.0,909165.84,29344.352549,879842.63,79985.69363636363,2.8181818181818183,0.03227612747636889,5280.32,874562.31,0.006001436870591278,0,1.8333333333333333,555,medium,Electronics
C00027,one_time,Islamabad,ICT,2025-02-19,2025-07-01,2025-07-01,183.0,1,1,2.0,290357.55,6138.427809999999,284218.06,284218.06,2.0,0.02114092714310339,0.0,284218.06,0.0,0,1.0,123,medium,Electronics
C00028,regular,Lahore,Punjab,2025-01-02,2025-01-04,2025-12-19,12.0,5,5,10.0,334028.68,5180.630669,328857.39,65771.478,2.0,0.015509538489329719,241341.68,87515.71000000002,0.7338794484746107,1,1.0,522,medium,Electronics
C00029,one_time,Islamabad,ICT,2025-02-23,2025-07-11,2025-07-11,173.0,1,1,3.0,13003.47,0.0,13003.46,13003.46,3.0,0.0,0.0,13003.46,0.0,0,1.0,121,medium,Attach & Addons
C00030,one_time,Islamabad,ICT,2025-11-06,2025-06-21,2025-11-01,60.0,2,2,6.0,162961.59999999998,5728.766039,157231.28999999998,78615.64499999999,3.0,0.03515408561894336,56970.29,100260.99999999997,0.36233430381446347,1,1.0,322,medium,Electronics
C00031,loyal,Islamabad,ICT,2025-08-06,2025-01-02,2025-12-01,30.0,4,6,27.0,211226.47,7827.426413,203400.0,33900.0,4.5,0.03705703368048521,0.0,203400.0,0.0,0,1.5,453,medium,Attach & Addons
C00032,one_time,Karachi,Sindh,2025-07-21,2025-06-27,2025-12-26,5.0,2,2,4.0,53160.759999999995,561.2649080000001,52599.57,26299.785,2.0,0.010557879684188115,0.0,52599.57,0.0,0,1.0,521,medium,Electronics
C00033,regular,Islamabad,ICT,2025-09-27,2025-02-11,2025-11-18,43.0,3,3,7.0,172314.93000000002,2458.415136,169854.50999999998,56618.16999999999,2.3333333333333335,0.014266988565645471,0.0,169854.50999999998,0.0,0,1.0,323,medium,Electronics
C00034,regular,Islamabad,ICT,2025-09-28,2025-06-17,2025-11-30,31.0,2,2,6.0,329981.27,1999.7275480000003,327981.27,163990.635,3.0,0.006060124406454949,0.0,327981.27,0.0,0,1.0,424,medium,Electronics
C00035,loyal,Karachi,Sindh,2025-08-03,2025-01-04,2025-12-29,2.0,6,11,34.0,472951.76,6780.668361,466169.99,42379.09,3.090909090909091,0.014336913263627562,3677.08,462492.91,0.007887852240338337,0,1.8333333333333333,554,medium,Electronics
C00036,one_time,Islamabad,ICT,2025-07-09,2025-04-23,2025-09-26,96.0,3,3,7.0,28117.22,230.50554499999998,27887.04,9295.68,2.3333333333333335,0.00819802046575017,0.0,27887.04,0.0,0,1.0,221,medium,Fashion
C00037,price_sensitive,Islamabad,ICT,2025-07-27,2025-06-25,2025-11-06,55.0,2,2,4.0,20874.98,1077.735252,19797.41,9898.705,2.0,0.05162808548798609,0.0,19797.41,0.0,0,1.0,321,medium,Fashion
C00038,regular,Karachi,Sindh,2025-02-22,2025-05-12,2025-12-07,24.0,2,3,5.0,132629.94999999998,4381.187589,128250.97,42750.323333333334,1.6666666666666667,0.03303316927285278,0.0,128250.97,0.0,0,1.5,452,medium,Electronics
C00039,high_return,Karachi,Sindh,2025-08-05,2025-03-12,2025-08-14,139.0,3,4,10.0,115875.97,1197.8031760000001,114678.99,28669.7475,2.5,0.010336941956127747,0.0,114678.99,0.0,0,1.3333333333333333,142,medium,Electronics
C00040,price_sensitive,Lahore,Punjab,2025-02-10,2025-02-18,2025-12-25,6.0,5,5,15.0,294169.16,18324.350722,275846.49,55169.297999999995,3.0,0.062291882405348,0.0,275846.49,0.0,0,1.0,523,medium,Electronics
C00041,price_sensitive,Lahore,Punjab,2025-10-28,2025-01-04,2025-11-13,48.0,5,7,19.0,551896.02,44555.365005,507327.42000000004,72475.34571428572,2.7142857142857144,0.08073144829890239,23238.08,484089.34,0.0458048965695566,0,1.4,344,medium,Electronics
C00042,loyal,Lahore,Punjab,2025-11-23,2025-01-02,2025-12-30,1.0,7,11,29.0,696937.44,28391.410652000002,668559.84,60778.16727272727,2.6363636363636362,0.040737387636973564,5045.7,663514.14,0.0075471179961991135,0,1.5714285714285714,555,medium,Electronics
C00043,one_time,Islamabad,ICT,2025-05-09,2025-05-03,2025-07-08,176.0,2,3,9.0,291814.81,1259.758984,290555.49,96851.83,3.0,0.004316980978449997,0.0,290555.49,0.0,0,1.5,153,medium,Electronics
C00044,price_sensitive,Islamabad,ICT,2025-03-04,2025-04-13,2025-12-17,14.0,4,5,11.0,107567.95999999999,6334.941766999999,101232.95,20246.59,2.2,0.05889245986444291,0.0,101232.95,0.0,0,1.25,542,medium,Fashion
C00045,regular,Islamabad,ICT,2025-03-22,2025-02-23,2025-12-24,7.0,6,7,14.0,349597.6,5157.493737,344441.92,49205.98857142857,2.0,0.014752657732776198,16743.04,327698.88,0.048609182064715005,0,1.1666666666666667,534,medium,Electronics
C00046,regular,Karachi,Sindh,2025-10-16,2025-06-25,2025-11-12,49.0,3,3,7.0,488377.2,28660.020711999998,459715.11000000004,153238.37000000002,2.3333333333333335,0.058684190646082574,0.0,459715.11000000004,0.0,0,1.0,324,medium,Electronics
C00047,high_return,Islamabad,ICT,2025-08-19,2025-08-07,2025-12-13,18.0,2,2,4.0,19433.82,111.11579100000002,19322.81,9661.405,2.0,0.0057176505185290395,3846.92,15475.890000000001,0.1990869857955442,1,1.0,421,medium,Fashion
C00048,high_return,Lahore,Punjab,2025-01-28,2025-03-18,2025-12-30,1.0,5,5,13.0,372792.14,6250.163706999999,366535.82,73307.164,2.6,0.016765814072689404,0.0,366535.82,0.0,0,1.0,524,medium,Electronics
C00049,regular,Karachi,Sindh,2025-11-24,2025-02-18,2025-11-14,47.0,3,3,10.0,270909.76,1262.449792,269647.7,89882.56666666667,3.3333333333333335,0.004660038058429493,4336.4,265311.3,0.016081724413002593,0,1.0,323,medium,Electronics
C00050,one_time,Karachi,Sindh,2025-02-02,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111,unknown,
C00051,loyal,Karachi,Sindh,2025-03-03,2025-01-18,2025-12-29,2.0,8,12,44.0,707241.18,18540.305554,688703.1799999999,57391.931666666664,3.6666666666666665,0.026214968921917128,11841.33,676861.85,0.01719366244250535,0,1.5,555,medium,Electronics
C00052,price_sensitive,Lahore,Punjab,2025-04-09,2025-01-08,2025-09-22,100.0,4,7,15.0,549309.93,55404.126216,493916.04000000004,70559.43428571429,2.142857142857143,0.1008613228892476,0.0,493916.04000000004,0.0,0,1.75,254,medium,Electronics
C00053,high_return,Lahore,Punjab,2025-08-02,2025-03-06,2025-12-10,21.0,5,6,13.0,414134.4,16485.507363,397640.38,66273.39666666667,2.1666666666666665,0.039807143195542315,0.0,397640.38,0.0,0,1.2,434,medium,Electronics
C00054,regular,Lahore,Punjab,2025-08-15,2025-02-27,2025-11-30,31.0,4,6,14.0,199443.86,14962.463906999998,184486.86,30747.809999999998,2.3333333333333335,0.07502093023570643,0.0,184486.86,0.0,0,1.5,453,medium,Electronics
C00055,loyal,Karachi,Sindh,2025-05-11,2025-04-09,2025-12-19,12.0,4,6,14.0,436417.73,9200.82601,427222.25,71203.70833333333,2.3333333333333335,0.021082612775608363,5799.27,421422.98,0.013574363226634382,0,1.5,554,medium,Electronics
C00056,regular,Karachi,Sindh,2025-08-06,2025-03-29,2025-12-24,7.0,4,5,18.0,485531.45,11137.40134,474401.97,94880.394,3.6,0.022938578623485667,0.0,474401.97,0.0,0,1.25,544,medium,Electronics
C00057,price_sensitive,Islamabad,ICT,2025-12-25,2025-06-29,2025-12-28,3.0,4,5,21.0,996047.16,78231.030372,917830.59,183566.118,4.2,0.07854149232452004,0.0,917830.59,0.0,0,1.25,545,medium,Electronics
C00058,loyal,Islamabad,ICT,2025-07-26,2025-04-09,2025-11-16,45.0,4,4,17.0,712584.32,24956.269716999996,687621.74,171905.435,4.25,0.03502219880027671,24964.91,662656.83,0.03630616739953568,0,1.0,325,medium,Electronics
C00059,one_time,Lahore,Punjab,2025-02-11,2025-02-26,2025-11-29,32.0,5,6,16.0,631282.71,3886.141387,627386.26,104564.37666666666,2.6666666666666665,0.0061559445957263745,0.0,627386.26,0.0,0,1.2,435,medium,Electronics
C00060,one_time,Karachi,Sindh,2025-06-28,2025-04-21,2025-12-28,3.0,3,4,7.0,106940.27,6390.748322999999,100551.31,25137.8275,1.75,0.059759979313686026,0.0,100551.31,0.0,0,1.3333333333333333,542,medium,Electronics
C00061,loyal,Islamabad,ICT,2025-08-19,2025-01-13,2025-12-28,3.0,4,6,16.0,543840.16,45925.79182600001,497907.62,82984.60333333333,2.6666666666666665,0.08444722402626538,7011.78,490895.83999999997,0.014082491848588298,0,1.5,554,medium,Electronics
C00062,one_time,Lahore,Punjab,2025-04-06,2025-06-10,2025-06-10,204.0,1,1,5.0,41464.37,2403.7961280000004,39060.54,39060.54,5.0,0.05797257086023495,0.0,39060.54,0.0,0,1.0,121,medium,Electronics
C00063,regular,Lahore,Punjab,2025-08-19,2025-03-06,2025-12-04,27.0,3,3,10.0,305882.76,369.95473,305513.39999999997,101837.79999999999,3.3333333333333335,0.0012094657770186196,0.0,305513.39999999997,0.0,0,1.0,424,medium,Electronics
C00064,one_time,Islamabad,ICT,2025-06-20,2025-01-16,2025-09-08,114.0,2,3,7.0,118070.23,997.003028,117072.94,39024.31333333333,2.3333333333333335,0.008444152501439185,0.0,117072.94,0.0,0,1.5,252,medium,Electronics
C00065,price_sensitive,Lahore,Punjab,2025-01-13,2025-10-08,2025-10-29,63.0,1,2,5.0,244854.08,26633.725898999997,218226.69999999998,109113.34999999999,2.5,0.10877387013114095,0.0,218226.69999999998,0.0,0,2.0,353,medium,Electronics
C00066,loyal,Karachi,Sindh,2025-07-06,2025-01-27,2025-12-14,17.0,8,12,37.0,950023.46,35901.134698,914116.9500000001,76176.4125,3.0833333333333335,0.037789734895599315,0.0,914116.9500000001,0.0,0,1.5,455,medium,Electronics
C00067,regular,Lahore,Punjab,2025-10-11,2025-01-03,2025-07-24,160.0,4,5,12.0,94182.93,4083.9018859999996,90098.33,18019.666,2.4,0.0433613807300325,0.0,90098.33,0.0,0,1.25,142,medium,Attach & Addons
C00068,regular,Karachi,Sindh,2025-02-14,2025-01-03,2025-09-25,97.0,5,5,11.0,438068.94,36921.794424,401150.01,80230.00200000001,2.2,0.08428306837731979,193041.14,208108.87,0.48121933238889864,1,1.0,223,medium,Electronics
C00069,price_sensitive,Karachi,Sindh,2025-05-14,2025-02-09,2025-09-10,112.0,3,3,8.0,302711.99,13940.289811,288773.54,96257.84666666666,2.6666666666666665,0.0460513302132499,0.0,288773.54,0.0,0,1.0,223,medium,Electronics
C00070,one_time,Islamabad,ICT,2025-04-18,2025-04-22,2025-10-13,79.0,3,3,15.0,837352.33,30644.069797999997,806699.9299999999,268899.9766666666,5.0,0.036596386849487836,0.0,806699.9299999999,0.0,0,1.0,225,medium,Electronics
C00071,price_sensitive,Islamabad,ICT,2025-10-13,2025-09-04,2025-12-17,14.0,2,2,4.0,303102.47,36371.25487799999,266743.97,133371.985,2.0,0.11999656379573546,0.0,266743.97,0.0,0,1.0,523,medium,Electronics
C00072,regular,Islamabad,ICT,2025-05-08,2025-04-10,2025-11-29,32.0,2,2,11.0,109933.77,4177.501358,105757.82999999999,52878.91499999999,5.5,0.03800016462639278,0.0,105757.82999999999,0.0,0,1.0,422,medium,Electronics
C00073,regular,Lahore,Punjab,2025-12-14,2025-05-20,2025-12-02,29.0,3,3,12.0,159932.86,9109.581361999999,150821.15,50273.71666666667,4.0,0.05695878484258957,0.0,150821.15,0.0,0,1.0,423,medium,Electronics
C00074,one_time,Islamabad,ICT,2025-07-09,2025-02-22,2025-10-24,68.0,2,2,4.0,87706.69,2952.2150460000003,84755.08,42377.54,2.0,0.03366008962372198,2532.68,82222.40000000001,0.02988233861616318,0,1.0,222,medium,Electronics
C00075,loyal,Islamabad,ICT,2025-10-10,2025-01-10,2025-12-30,1.0,7,11,38.0,744044.28,17985.591052,726070.57,66006.41545454545,3.4545454545454546,0.024172742853422646,0.0,726070.57,0.0,0,1.5714285714285714,555,medium,Electronics
C00076,one_time,Lahore,Punjab,2025-04-26,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111,unknown,
C00077,one_time,Islamabad,ICT,2025-09-16,2025-05-22,2025-11-30,31.0,4,5,9.0,80668.29999999999,2229.679447,78437.75,15687.55,1.8,0.02764009464684393,4799.82,73637.93,0.06119272926620154,0,1.25,442,medium,Electronics
C00078,loyal,Lahore,Punjab,2025-05-17,2025-01-24,2025-11-29,32.0,6,8,24.0,666808.3,64848.719441999994,601965.95,75245.74375,3.0,0.09725241788681993,0.0,601965.95,0.0,0,1.3333333333333333,445,medium,Electronics
C00079,one_time,Lahore,Punjab,2025-08-13,2025-06-19,2025-06-19,195.0,1,1,1.0,2762.79,7.459533,2755.33,2755.33,1.0,0.0027,0.0,2755.33,0.0,0,1.0,121,medium,Fashion
C00080,loyal,Karachi,Sindh,2025-06-21,2025-01-17,2025-11-23,38.0,9,13,45.0,460963.69,10944.75683,450016.9,34616.68461538462,3.4615384615384617,0.023743208125568415,203488.06000000003,246528.84,0.4521787070663347,1,1.4444444444444444,353,medium,Electronics
C00081,price_sensitive,Karachi,Sindh,2025-11-11,2025-02-02,2025-11-10,51.0,5,7,21.0,396553.2,33246.414469999996,363315.04,51902.148571428566,3.0,0.0838384722907292,15253.79,348061.25,0.04198502214496819,0,1.4,344,medium,Electronics
C00082,price_sensitive,Islamabad,ICT,2025-04-06,2025-04-24,2025-11-06,55.0,6,6,19.0,925554.98,78416.488,847136.18,141189.36333333334,3.1666666666666665,0.0847237492039641,43645.59,803490.5900000001,0.051521338635306536,0,1.0,325,medium,Electronics
C00083,one_time,Lahore,Punjab,2025-06-29,2025-03-31,2025-12-06,25.0,3,3,9.0,88301.65000000001,1543.7255930000001,86757.69,28919.23,3.0,0.0174824093660764,0.0,86757.69,0.0,0,1.0,422,medium,Electronics
C00084,one_time,Karachi,Sindh,2025-02-21,2025-01-30,2025-11-22,39.0,4,4,11.0,58313.29,294.13295100000005,58019.27,14504.8175,2.75,0.005044012282620309,8322.03,49697.24,0.14343562061363407,1,1.0,321,medium,Fashion
C00085,price_sensitive,Karachi,Sindh,2025-10-22,2025-01-22,2025-11-03,58.0,6,6,10.0,623659.74,102403.288275,521254.27,86875.71166666667,1.6666666666666667,0.16419736870460805,0.0,521254.27,0.0,0,1.0,325,medium,Electronics
C00086,one_time,Karachi,Sindh,2025-04-23,2025-03-19,2025-12-21,10.0,3,3,11.0,537424.05,1840.215207,535584.7,178528.2333333333,3.6666666666666665,0.0034241400380202558,0.0,535584.7,0.0,0,1.0,525,medium,Electronics
C00087,price_sensitive,Karachi,Sindh,2025-03-22,2025-03-12,2025-12-21,10.0,6,7,16.0,177394.57,7148.583117,170246.88999999998,24320.984285714283,2.2857142857142856,0.04029764336642322,1339.02,168907.87,0.00786516570141164,0,1.1666666666666667,533,medium,Electronics
C00088,price_sensitive,Islamabad,ICT,2025-01-02,2025-01-02,2025-12-04,27.0,4,4,15.0,564755.6000000001,79422.73994700001,485319.01999999996,121329.75499999999,3.75,0.14063205384240546,3524.64,481794.37999999995,0.00726252187684711,0,1.0,424,medium,Electronics
C00089,one_time,Karachi,Sindh,2025-02-23,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111,unknown,
C00090,loyal,Islamabad,ICT,2025-08-12,2025-05-02,2025-08-23,130.0,4,7,24.0,238308.24,7752.286455,230557.66,32936.80857142857,3.4285714285714284,0.03253050106450369,0.0,230557.66,0.0,0,1.75,253,medium,Electronics
C00091,regular,Lahore,Punjab,2025-05-06,2025-05-24,2025-10-15,77.0,4,5,14.0,856314.51,3631.529194,852684.5,170536.9,2.8,0.004240882469689788,2600.01,850084.49,0.003049205186678074,0,1.25,245,medium,Electronics
C00092,price_sensitive,Islamabad,ICT,2025-06-21,2025-01-03,2025-11-27,34.0,5,6,12.0,628939.53,44704.205032,584241.65,97373.60833333334,2.0,0.07107870136895354,88908.71,495332.94,0.1521779729329465,1,1.2,434,medium,Electronics
C00093,one_time,Karachi,Sindh,2025-07-17,2025-08-19,2025-10-24,68.0,2,2,5.0,281290.64,17344.955209999996,263943.47,131971.735,2.5,0.06166204182976012,2944.38,260999.08999999997,0.011155343225577811,0,1.0,223,medium,Electronics
C00094,price_sensitive,Lahore,Punjab,2025-11-20,2025-01-29,2025-08-30,123.0,7,7,17.0,90138.05,9669.695274,80469.1,11495.585714285715,2.4285714285714284,0.10727650835579425,8041.67,72427.43000000001,0.09993488183663045,0,1.0,222,medium,Fashion
C00095,loyal,Lahore,Punjab,2025-07-03,2025-04-17,2025-12-11,20.0,6,8,26.0,478178.57,21931.675643000002,456241.44,57030.18,3.25,0.045865032477302364,0.0,456241.44,0.0,0,1.3333333333333333,444,medium,Electronics
C00096,price_sensitive,Islamabad,ICT,2025-09-12,2025-05-05,2025-06-23,191.0,2,2,3.0,59540.659999999996,8393.697525,51147.36,25573.68,1.5,0.14097421031275098,0.0,51147.36,0.0,0,1.0,121,medium,Electronics
C00097,regular,Lahore,Punjab,2025-11-21,2025-05-27,2025-08-06,147.0,3,4,13.0,132669.27,0.0,132669.25,33167.3125,3.25,0.0,0.0,132669.25,0.0,0,1.3333333333333333,142,medium,Attach & Addons
C00098,high_return,Islamabad,ICT,2025-07-17,2025-04-09,2025-12-22,9.0,5,5,14.0,640250.6699999999,75066.23328300001,565182.23,113036.446,2.8,0.11724506790910506,20567.02,544615.21,0.03639006838555416,0,1.0,525,medium,Electronics
C00099,one_time,Lahore,Punjab,2025-08-28,2025-03-03,2025-11-12,49.0,3,3,11.0,55174.05,3485.7276659999998,51688.36,17229.453333333335,3.6666666666666665,0.06317694035511259,0.0,51688.36,0.0,0,1.0,321,medium,Fashion
C00100,regular,Islamabad,ICT,2025-07-20,2025-01-18,2025-08-29,124.0,3,4,14.0,633336.15,20873.554236,612461.38,153115.345,3.5,0.03295809695372671,0.0,612461.38,0.0,0,1.3333333333333333,245,medium,Electronics
C00101,price_sensitive,Karachi,Sindh,2025-11-22,2025-03-08,2025-11-19,42.0,5,5,8.0,283782.56,18419.671793999998,265363.31,53072.662,1.6,0.06490769479984956,0.0,265363.31,0.0,0,1.0,323,medium,Electronics
C00102,regular,Islamabad,ICT,2025-09-16,2025-01-17,2025-12-14,17.0,5,6,14.0,470260.57,13314.366537000002,456928.6,76154.76666666666,2.3333333333333335,0.02831274273537329,0.0,456928.6,0.0,0,1.2,434,medium,Electronics
C00103,high_return,Islamabad,ICT,2025-12-12,2025-01-26,2025-12-16,15.0,5,6,12.0,565552.41,17219.623174,548346.37,91391.06166666666,2.0,0.030447440183306796,0.0,548346.37,0.0,0,1.2,435,medium,Electronics
C00104,one_time,Karachi,Sindh,2025-05-27,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111,unknown,
C00105,one_time,Islamabad,ICT,2025-07-18,2025-04-15,2025-08-29,124.0,2,2,6.0,350229.46,7731.333074,342509.83,171254.915,3.0,0.02207505066535522,105060.74,237449.09000000003,0.30673788253026196,1,1.0,223,medium,Electronics
C00106,price_sensitive,Islamabad,ICT,2025-05-08,2025-04-27,2025-12-10,21.0,6,8,16.0,571711.02,51480.496815,520221.87,65027.73375,2.0,0.09004636086077193,2918.39,517303.48,0.005609894870432878,0,1.3333333333333333,444,medium,Electronics
C00107,one_time,Lahore,Punjab,2025-12-26,2025-01-17,2025-11-14,47.0,5,5,13.0,490697.68999999994,13062.15225,477653.0,95530.6,2.6,0.02661955113340762,0.0,477653.0,0.0,0,1.0,324,medium,Electronics
C00108,loyal,Islamabad,ICT,2025-05-31,2025-01-03,2025-12-13,18.0,9,14,41.0,1138440.85,55745.9307,1082682.8900000001,77334.49214285715,2.9285714285714284,0.04896691005070662,259020.37,823662.5200000001,0.2392393676785637,1,1.5555555555555556,455,medium,Electronics
C00109,one_time,Lahore,Punjab,2025-10-25,2025-05-16,2025-07-22,162.0,2,2,6.0,39582.44,719.752433,38863.5,19431.75,3.0,0.01818362973581214,0.0,38863.5,0.0,0,1.0,121,medium,Electronics
C00110,price_sensitive,Karachi,Sindh,2025-09-09,2025-05-07,2025-11-30,31.0,3,3,7.0,85987.02,8688.270894,77298.84,25766.28,2.3333333333333335,0.10104165598482188,6906.95,70391.89,0.08935386352498952,0,1.0,422,medium,Electronics
C00111,price_sensitive,Lahore,Punjab,2025-04-22,2025-07-27,2025-11-29,32.0,2,2,10.0,330056.86,11482.325524,318571.17,159285.585,5.0,0.03478893159196873,0.0,318571.17,0.0,0,1.0,424,medium,Electronics
C00112,one_time,Lahore,Punjab,2025-03-01,2025-09-16,2025-12-02,29.0,3,4,12.0,173790.64,6802.305475,166987.55,41746.8875,3.0,0.03914080456231705,0.0,166987.55,0.0,0,1.3333333333333333,443,medium,Electronics
