order_id,order_date,customer_id,product_id,product_name,category,units,revenue,salesperson,region,source_system
O-500043,2024-04-07,C-2115,201,POS Terminal,Hardware,19,24244,Salesperson_5,Asia,CRM
O-500044,2023-10-21,C-1060,201,POS Terminal,Hardware,15,10215,Salesperson_6,Europe,CRM
O-500045,2023-09-07,C-3719,102,Analytics Suite,Software,11,4719,Salesperson_8,North America,CRM
O-500046,2023-01-08,C-1749,101,CRM Pro,Software,13,3237,Salesperson_7,Asia,CRM
O-500047,2023-05-17,C-3757,101,CRM Pro,Software,1,554,Salesperson_4,North America,CRM
O-500048,2023-09-03,C-2997,101,CRM Pro,Software,17,16286,Salesperson_4,North America,CRM
O-500049,2024-03-07,C-3173,101,CRM Pro,Software,18,9198,Salesperson_7,Europe,CRM
O-500050,2024-04-01,C-2955,102,Analytics Suite,Software,11,6380,Salesperson_6,North America,CRM
O-500051,2024-09-20,C-3585,201,POS Terminal,Hardware,6,6426,Salesperson_4,Asia,CRM
O-500052,2024-03-01,C-1808,201,POS Terminal,Hardware,3,2625,Salesperson_6,Asia,CRM
O-500053,2024-08-04,C-2161,201,POS Terminal,Hardware,1,209,Salesperson_1,Europe,CRM
O-500054,2023-07-05,C-1011,201,POS Terminal,Hardware,1,1490,Salesperson_3,Europe,CRM
O-500055,2023-01-18,C-3692,101,CRM Pro,Software,18,12978,Salesperson_4,Asia,CRM
O-500056,2024-10-02,C-1938,201,POS Terminal,Hardware,1,1241,Salesperson_7,Europe,CRM
O-500057,2023-03-17,C-2239,201,POS Terminal,Hardware,3,3678,Salesperson_3,Asia,CRM
O-500058,2024-08-03,C-3593,102,Analytics Suite,Software,18,4716,Salesperson_1,Asia,CRM
O-500059,2024-05-31,C-1006,102,Analytics Suite,Software,1,782,Salesperson_5,North America,CRM
O-500060,2023-04-22,C-1311,101,CRM Pro,Software,11,5588,Salesperson_9,North America,CRM
O-500061,2024-07-09,C-3904,101,CRM Pro,Software,13,18850,Salesperson_5,Asia,CRM
O-500062,2023-03-23,C-1506,102,Analytics Suite,Software,2,1658,Salesperson_2,Asia,CRM
O-500063,2023-11-22,C-1309,102,Analytics Suite,Software,7,4214,Salesperson_5,North America,CRM
O-500064,2023-01-07,C-2857,101,CRM Pro,Software,17,6443,Salesperson_2,North America,CRM
O-500065,2024-11-06,C-3648,102,Analytics Suite,Software,20,25000,Salesperson_1,Europe,CRM
O-500066,2024-05-03,C-3917,102,Analytics Suite,Software,16,6112,Salesperson_9,North America,CRM
O-500067,2024-02-26,C-1461,102,Analytics Suite,Software,14,9100,Salesperson_3,Asia,CRM
O-500068,2024-05-04,C-2939,201,POS Terminal,Hardware,13,18304,Salesperson_8,Asia,CRM
O-500069,2023-09-14,C-2101,101,CRM Pro,Software,15,21150,Salesperson_10,Europe,CRM
O-500070,2024-06-08,C-3005,102,Analytics Suite,Software,14,12040,Salesperson_2,Europe,CRM
O-500071,2023-11-15,C-3155,201,POS Terminal,Hardware,9,4995,Salesperson_9,North America,CRM
O-500072,2023-06-01,C-3168,102,Analytics Suite,Software,15,17610,Salesperson_1,Asia,CRM
O-500073,2024-07-30,C-2482,102,Analytics Suite,Software,18,14292,Salesperson_9,Europe,CRM
O-500074,2024-08-25,C-1730,201,POS Terminal,Hardware,5,5335,Salesperson_9,Europe,CRM
O-500075,2024-06-12,C-3460,102,Analytics Suite,Software,7,2891,Salesperson_7,Asia,CRM
O-500076,2023-07-22,C-2523,101,CRM Pro,Software,15,9390,Salesperson_1,North America,CRM
O-500077,2024-10-30,C-1716,102,Analytics Suite,Software,17,3587,Salesperson_9,North America,CRM
O-500078,2024-03-31,C-1023,201,POS Terminal,Hardware,2,2292,Salesperson_6,Europe,CRM
O-500079,2024-11-06,C-2359,201,POS Terminal,Hardware,20,14340,Salesperson_6,North America,CRM
O-500080,2024-12-03,C-1138,101,CRM Pro,Software,20,21560,Salesperson_11,Europe,CRM
O-500081,2024-01-25,C-1612,201,POS Terminal,Hardware,11,8052,Salesperson_4,North America,CRM
O-500082,2023-12-25,C-3988,102,Analytics Suite,Software,11,5555,Salesperson_6,Europe,CRM
O-500083,2024-07-08,C-3002,201,POS Terminal,Hardware,9,5283,Salesperson_3,Europe,CRM
O-500084,2023-06-16,C-3344,201,POS Terminal,Hardware,4,3304,Salesperson_3,Asia,CRM
O-500085,2023-06-25,C-1183,102,Analytics Suite,Software,14,18718,Salesperson_6,North America,CRM
O-500086,2023-09-09,C-1516,101,CRM Pro,Software,12,6360,Salesperson_3,Europe,CRM
O-500087,2023-04-30,C-2918,201,POS Terminal,Hardware,1,490,Salesperson_2,Europe,CRM
O-500088,2023-09-30,C-3897,102,Analytics Suite,Software,17,12342,Salesperson_3,North America,CRM
O-500089,2024-08-30,C-3492,201,POS Terminal,Hardware,16,5792,Salesperson_8,Europe,CRM
O-500090,2024-06-05,C-2077,201,POS Terminal,Hardware,9,13347,Salesperson_11,Europe,CRM
O-500091,2024-04-18,C-3265,101,CRM Pro,Software,11,4092,Salesperson_5,Europe,CRM
O-500092,2023-05-04,C-3396,101,CRM Pro,Software,14,4606,Salesperson_8,North America,CRM
O-500093,2024-05-31,C-3909,101,CRM Pro,Software,9,13347,Salesperson_8,Asia,CRM
O-500094,2024-10-05,C-1616,201,POS Terminal,Hardware,19,18335,Salesperson_11,North America,CRM
O-500095,2024-06-02,C-3696,101,CRM Pro,Software,6,8502,Salesperson_10,North America,CRM
O-500096,2024-11-18,C-3756,201,POS Terminal,Hardware,4,2656,Salesperson_2,Europe,CRM
O-500097,2023-05-20,C-2181,101,CRM Pro,Software,17,17153,Salesperson_8,North America,CRM
O-500098,2023-05-04,C-2229,102,Analytics Suite,Software,11,8096,Salesperson_7,Asia,CRM
O-500099,2024-08-01,C-3279,102,Analytics Suite,Software,19,25650,Salesperson_9,North America,CRM
O-500100,2024-01-01,C-2325,102,Analytics Suite,Software,6,4014,Salesperson_2,Europe,CRM
O-500101,2024-03-06,C-3039,102,Analytics Suite,Software,14,16506,Salesperson_10,Asia,CRM
O-500102,2023-07-23,C-2116,102,Analytics Suite,Software,6,3876,Salesperson_5,North America,CRM
O-500103,2024-10-26,C-1791,102,Analytics Suite,Software,20,13540,Salesperson_2,Asia,CRM
O-500104,2024-02-14,C-3386,101,CRM Pro,Software,8,6984,Salesperson_8,North America,CRM
O-500105,2023-05-01,C-2206,101,CRM Pro,Software,4,2296,Salesperson_11,Asia,CRM
O-500106,2024-07-12,C-1339,102,Analytics Suite,Software,4,1388,Salesperson_8,North America,CRM
O-500107,2024-05-30,C-2621,101,CRM Pro,Software,11,14707,Salesperson_9,Asia,CRM
O-500108,2024-07-22,C-1482,102,Analytics Suite,Software,4,1716,Salesperson_4,North America,CRM
O-500109,2024-12-18,C-1530,102,Analytics Suite,Software,15,16380,Salesperson_11,Europe,CRM
O-500110,2023-01-09,C-1188,201,POS Terminal,Hardware,5,4945,Salesperson_3,Asia,CRM
O-500111,2024-03-11,C-1008,102,Analytics Suite,Software,11,3091,Salesperson_4,North America,CRM
O-500112,2024-05-24,C-3539,102,Analytics Suite,Software,10,5100,Salesperson_3,Asia,CRM
O-500113,2023-02-26,C-2668,101,CRM Pro,Software,15,13125,Salesperson_10,Asia,CRM
O-500114,2023-12-15,C-2846,101,CRM Pro,Software,9,2808,Salesperson_8,Europe,CRM
O-500115,2023-11-02,C-1227,101,CRM Pro,Software,19,9462,Salesperson_6,North America,CRM
O-500116,2023-05-05,C-2085,201,POS Terminal,Hardware,2,2222,Salesperson_3,North America,CRM
O-500117,2023-12-04,C-3517,201,POS Terminal,Hardware,10,14730,Salesperson_10,Asia,CRM
O-500118,2023-03-01,C-2597,101,CRM Pro,Software,6,8382,Salesperson_3,Asia,CRM
O-500119,2023-11-09,C-3962,201,POS Terminal,Hardware,9,7398,Salesperson_3,Asia,CRM
O-500120,2024-09-23,C-3097,102,Analytics Suite,Software,2,1220,Salesperson_1,Asia,CRM
O-500121,2024-03-13,C-1154,201,POS Terminal,Hardware,8,9872,Salesperson_6,Europe,CRM
O-500122,2023-10-17,C-1644,102,Analytics Suite,Software,3,4026,Salesperson_6,Europe,CRM
O-500123,2024-12-10,C-3796,102,Analytics Suite,Software,12,16812,Salesperson_2,Europe,CRM
O-500124,2023-06-14,C-2911,102,Analytics Suite,Software,13,15951,Salesperson_1,Asia,CRM
O-500125,2024-03-19,C-1820,201,POS Terminal,Hardware,12,5568,Salesperson_7,Europe,CRM
O-500126,2024-09-20,C-1363,102,Analytics Suite,Software,14,20762,Salesperson_4,Europe,CRM
O-500127,2023-09-24,C-3831,101,CRM Pro,Software,6,8070,Salesperson_5,Asia,CRM
O-500128,2024-02-22,C-1007,101,CRM Pro,Software,5,4480,Salesperson_6,North America,CRM
O-500129,2024-07-22,C-1813,102,Analytics Suite,Software,9,10746,Salesperson_5,Asia,CRM
O-500130,2024-07-25,C-3222,102,Analytics Suite,Software,2,914,Salesperson_11,Europe,CRM
O-500131,2024-06-01,C-3715,102,Analytics Suite,Software,16,15008,Salesperson_2,Asia,CRM
O-500132,2023-06-09,C-1062,201,POS Terminal,Hardware,14,15820,Salesperson_8,Asia,CRM
O-500133,2023-04-21,C-2801,201,POS Terminal,Hardware,19,27246,Salesperson_1,North America,CRM
O-500134,2023-02-05,C-2762,102,Analytics Suite,Software,4,5712,Salesperson_5,Asia,CRM
O-500135,2024-09-19,C-3216,101,CRM Pro,Software,18,5076,Salesperson_9,Europe,CRM
O-500136,2024-05-14,C-2545,102,Analytics Suite,Software,8,3640,Salesperson_10,Asia,CRM
O-500137,2023-10-04,C-2719,201,POS Terminal,Hardware,3,4155,Salesperson_11,Europe,CRM
O-500138,2024-05-06,C-2230,101,CRM Pro,Software,11,11330,Salesperson_10,North America,CRM
O-500139,2023-02-18,C-1461,101,CRM Pro,Software,7,7490,Salesperson_6,Europe,CRM
O-500140,2023-01-15,C-2846,201,POS Terminal,Hardware,7,6748,Salesperson_11,Asia,CRM
O-500141,2023-12-28,C-2308,101,CRM Pro,Software,11,13728,Salesperson_8,North America,CRM
O-500142,2024-06-23,C-2897,201,POS Terminal,Hardware,7,9555,Salesperson_2,North America,CRM
O-500143,2023-10-27,C-3575,101,CRM Pro,Software,12,3852,Salesperson_5,Europe,CRM
O-500144,2024-12-28,C-3105,102,Analytics Suite,Software,17,7718,Salesperson_2,Europe,CRM
O-500145,2023-01-30,C-2012,201,POS Terminal,Hardware,10,3960,Salesperson_6,Asia,CRM
O-500146,2024-01-27,C-3911,101,CRM Pro,Software,16,22160,Salesperson_9,North America,CRM
O-500147,2024-07-16,C-1022,102,Analytics Suite,Software,12,16176,Salesperson_1,Asia,CRM
O-500148,2024-08-19,C-3055,101,CRM Pro,Software,11,9328,Salesperson_6,North America,CRM
O-500149,2023-05-03,C-1369,102,Analytics Suite,Software,20,22660,Salesperson_1,North America,CRM
O-500150,2023-09-11,C-3992,102,Analytics Suite,Software,13,13507,Salesperson_9,Europe,CRM
O-500151,2024-05-16,C-1844,201,POS Terminal,Hardware,15,7020,Salesperson_7,North America,CRM
O-500152,2024-12-09,C-1043,101,CRM Pro,Software,3,2838,Salesperson_1,Asia,CRM
O-500153,2024-09-07,C-1584,101,CRM Pro,Software,8,7416,Salesperson_1,Europe,CRM
O-500154,2024-11-25,C-3684,101,CRM Pro,Software,7,5712,Salesperson_3,Europe,CRM
O-500155,2024-08-17,C-3071,102,Analytics Suite,Software,2,1296,Salesperson_5,Europe,CRM
O-500156,2024-12-21,C-2619,201,POS Terminal,Hardware,7,7875,Salesperson_5,Asia,CRM
O-500157,2024-05-15,C-1242,102,Analytics Suite,Software,4,3272,Salesperson_5,Asia,CRM
O-500158,2024-01-02,C-3150,102,Analytics Suite,Software,2,792,Salesperson_1,North America,CRM
O-500159,2024-03-21,C-2159,101,CRM Pro,Software,8,1736,Salesperson_11,North America,CRM
O-500160,2023-06-06,C-1645,201,POS Terminal,Hardware,11,10450,Salesperson_5,North America,CRM
O-500161,2024-06-01,C-2270,101,CRM Pro,Software,15,3690,Salesperson_6,North America,CRM
O-500162,2024-08-18,C-2062,102,Analytics Suite,Software,16,20608,Salesperson_5,Europe,CRM
O-500163,2023-05-10,C-2002,201,POS Terminal,Hardware,7,1666,Salesperson_7,Europe,CRM
O-500164,2024-11-19,C-1095,101,CRM Pro,Software,5,6100,Salesperson_6,Asia,CRM
O-500165,2024-12-17,C-3647,102,Analytics Suite,Software,5,6300,Salesperson_11,North America,CRM
O-500166,2023-05-22,C-2083,201,POS Terminal,Hardware,12,10632,Salesperson_3,North America,CRM
O-500167,2023-04-18,C-1183,102,Analytics Suite,Software,5,1985,Salesperson_8,Asia,CRM
O-500168,2024-12-22,C-1867,201,POS Terminal,Hardware,16,8288,Salesperson_3,Asia,CRM
O-500169,2023-03-27,C-2283,101,CRM Pro,Software,17,19890,Salesperson_2,Europe,CRM
O-500170,2023-04-19,C-2945,101,CRM Pro,Software,7,5873,Salesperson_3,Europe,CRM
O-500171,2024-03-23,C-3786,101,CRM Pro,Software,19,10488,Salesperson_1,Europe,CRM
O-500172,2024-11-17,C-1351,101,CRM Pro,Software,13,12207,Salesperson_1,North America,CRM
O-500173,2023-03-28,C-3247,102,Analytics Suite,Software,17,25330,Salesperson_7,North America,CRM
O-500174,2023-07-31,C-1581,201,POS Terminal,Hardware,17,7038,Salesperson_10,North America,CRM
O-500175,2023-07-03,C-1142,102,Analytics Suite,Software,7,5047,Salesperson_1,Asia,CRM
O-500176,2023-05-17,C-1302,102,Analytics Suite,Software,6,5046,Salesperson_10,Europe,CRM
O-500177,2023-05-24,C-2390,101,CRM Pro,Software,12,12552,Salesperson_1,Asia,CRM
O-500178,2023-02-27,C-1859,101,CRM Pro,Software,1,901,Salesperson_4,North America,CRM
O-500179,2024-03-31,C-2418,201,POS Terminal,Hardware,13,8632,Salesperson_10,Europe,CRM
O-500180,2023-12-03,C-1719,102,Analytics Suite,Software,10,6530,Salesperson_9,Europe,CRM
O-500181,2024-02-22,C-1706,102,Analytics Suite,Software,1,1483,Salesperson_1,Asia,CRM
O-500182,2024-12-29,C-1702,201,POS Terminal,Hardware,19,21470,Salesperson_6,Asia,CRM
O-500183,2024-07-10,C-3850,102,Analytics Suite,Software,14,6188,Salesperson_8,North America,CRM
O-500184,2024-06-12,C-1316,101,CRM Pro,Software,17,12359,Salesperson_3,Europe,CRM
O-500185,2023-06-03,C-1616,101,CRM Pro,Software,5,5620,Salesperson_6,North America,CRM
O-500186,2024-09-09,C-2174,101,CRM Pro,Software,10,11140,Salesperson_6,Asia,CRM
O-500187,2024-11-21,C-3475,101,CRM Pro,Software,17,11611,Salesperson_5,North America,CRM
O-500188,2023-06-09,C-1867,201,POS Terminal,Hardware,7,3073,Salesperson_7,Asia,CRM
O-500189,2023-07-09,C-1820,102,Analytics Suite,Software,13,5967,Salesperson_6,North America,CRM
O-500190,2024-09-18,C-3036,102,Analytics Suite,Software,1,854,Salesperson_10,Asia,CRM
O-500191,2024-03-24,C-1380,102,Analytics Suite,Software,11,4719,Salesperson_11,Asia,CRM
O-500192,2024-11-30,C-1531,102,Analytics Suite,Software,7,6839,Salesperson_9,Europe,CRM
O-500193,2024-07-01,C-1417,101,CRM Pro,Software,2,1564,Salesperson_9,Europe,CRM
O-500194,2023-05-28,C-1195,201,POS Terminal,Hardware,14,20930,Salesperson_11,Europe,CRM
O-500195,2024-07-26,C-3831,201,POS Terminal,Hardware,10,2300,Salesperson_9,North America,CRM
O-500196,2024-03-10,C-3982,101,CRM Pro,Software,20,22900,Salesperson_11,North America,CRM
O-500197,2023-06-15,C-3781,201,POS Terminal,Hardware,7,7483,Salesperson_3,Europe,CRM
O-500198,2023-04-27,C-2497,101,CRM Pro,Software,14,20818,Salesperson_2,North America,CRM
O-500199,2023-05-07,C-1615,201,POS Terminal,Hardware,20,24420,Salesperson_6,North America,CRM
O-500200,2023-08-30,C-3345,201,POS Terminal,Hardware,12,12240,Salesperson_11,North America,CRM
O-500201,2024-02-03,C-3022,101,CRM Pro,Software,13,15574,Salesperson_9,Asia,CRM
O-500202,2024-04-29,C-1554,102,Analytics Suite,Software,5,3765,Salesperson_7,Europe,CRM
O-500203,2023-09-12,C-3825,201,POS Terminal,Hardware,8,11216,Salesperson_6,Europe,CRM
O-500204,2023-10-14,C-2479,102,Analytics Suite,Software,14,4116,Salesperson_1,Europe,CRM
O-500205,2023-10-29,C-2405,102,Analytics Suite,Software,20,9640,Salesperson_4,Asia,CRM
O-500206,2023-05-20,C-3319,102,Analytics Suite,Software,3,3627,Salesperson_5,North America,CRM
O-500207,2023-04-11,C-1915,201,POS Terminal,Hardware,11,8613,Salesperson_5,Europe,CRM
O-500208,2023-12-14,C-3010,201,POS Terminal,Hardware,19,4465,Salesperson_4,Asia,CRM
O-500209,2023-05-20,C-2440,101,CRM Pro,Software,3,1806,Salesperson_10,Europe,CRM
O-500210,2023-12-27,C-3629,102,Analytics Suite,Software,12,5832,Salesperson_9,Asia,CRM
O-500211,2023-03-22,C-2981,101,CRM Pro,Software,5,2500,Salesperson_2,Europe,CRM
O-500212,2024-08-27,C-3928,201,POS Terminal,Hardware,1,571,Salesperson_6,Europe,CRM
O-500213,2023-01-10,C-1631,101,CRM Pro,Software,9,6444,Salesperson_7,North America,CRM
O-500214,2023-11-05,C-3138,102,Analytics Suite,Software,14,5334,Salesperson_3,Asia,CRM
O-500215,2023-08-07,C-2778,201,POS Terminal,Hardware,15,11325,Salesperson_1,Europe,CRM
O-500216,2024-02-20,C-1720,102,Analytics Suite,Software,1,1236,Salesperson_6,North America,CRM
O-500217,2024-02-03,C-3305,201,POS Terminal,Hardware,13,19487,Salesperson_2,North America,CRM
O-500218,2023-08-23,C-1776,101,CRM Pro,Software,4,3652,Salesperson_10,Europe,CRM
O-500219,2024-07-29,C-3994,102,Analytics Suite,Software,10,12510,Salesperson_10,North America,CRM
O-500220,2023-04-20,C-2919,101,CRM Pro,Software,15,21390,Salesperson_6,Europe,CRM
O-500221,2023-07-13,C-3771,101,CRM Pro,Software,4,2368,Salesperson_11,North America,CRM
O-500222,2024-10-14,C-1477,201,POS Terminal,Hardware,8,4552,Salesperson_11,North America,CRM
O-500223,2023-02-02,C-3776,102,Analytics Suite,Software,10,4000,Salesperson_5,North America,CRM
O-500224,2023-11-24,C-1446,101,CRM Pro,Software,11,14476,Salesperson_4,Europe,CRM
O-500225,2024-10-16,C-1012,102,Analytics Suite,Software,12,7116,Salesperson_2,North America,CRM
O-500226,2023-04-25,C-2758,101,CRM Pro,Software,9,12438,Salesperson_3,Europe,CRM
O-500227,2023-03-04,C-1946,101,CRM Pro,Software,5,5595,Salesperson_9,Europe,CRM
O-500228,2023-11-19,C-2456,102,Analytics Suite,Software,9,12573,Salesperson_7,Europe,CRM
O-500229,2023-01-02,C-1951,101,CRM Pro,Software,19,20691,Salesperson_5,Europe,CRM
O-500230,2023-04-19,C-1742,201,POS Terminal,Hardware,13,9919,Salesperson_2,Europe,CRM
O-500231,2024-04-13,C-2064,102,Analytics Suite,Software,18,7686,Salesperson_3,North America,CRM
O-500232,2023-06-18,C-3658,101,CRM Pro,Software,1,448,Salesperson_6,North America,CRM
O-500233,2023-03-15,C-1488,101,CRM Pro,Software,18,23436,Salesperson_11,North America,CRM
O-500234,2024-10-14,C-1544,102,Analytics Suite,Software,15,20850,Salesperson_1,Europe,CRM
O-500235,2024-01-22,C-3863,101,CRM Pro,Software,10,2690,Salesperson_2,Europe,CRM
O-500236,2023-09-18,C-1311,102,Analytics Suite,Software,8,4048,Salesperson_1,Europe,CRM
O-500237,2024-04-20,C-3403,102,Analytics Suite,Software,16,10528,Salesperson_6,Asia,CRM
O-500238,2024-11-01,C-1509,102,Analytics Suite,Software,14,6776,Salesperson_9,Europe,CRM
O-500239,2023-10-31,C-1588,102,Analytics Suite,Software,9,9135,Salesperson_4,Europe,CRM
O-500240,2023-04-08,C-2814,101,CRM Pro,Software,9,6939,Salesperson_3,North America,CRM
O-500241,2024-04-11,C-3314,102,Analytics Suite,Software,18,17046,Salesperson_7,North America,CRM
O-500242,2023-09-17,C-1148,201,POS Terminal,Hardware,10,5730,Salesperson_10,North America,CRM
O-500243,2024-09-10,C-2414,102,Analytics Suite,Software,19,18335,Salesperson_2,North America,CRM
O-500244,2023-06-11,C-2634,201,POS Terminal,Hardware,12,14676,Salesperson_7,Europe,CRM
O-500245,2023-07-26,C-3702,102,Analytics Suite,Software,1,738,Salesperson_3,Asia,CRM
O-500246,2024-06-26,C-1718,102,Analytics Suite,Software,8,3496,Salesperson_2,Asia,CRM
O-500247,2023-09-28,C-2303,201,POS Terminal,Hardware,17,23307,Salesperson_9,North America,CRM
O-500248,2023-04-07,C-2645,201,POS Terminal,Hardware,7,9016,Salesperson_1,Asia,CRM
O-500249,2023-09-03,C-1416,201,POS Terminal,Hardware,6,6060,Salesperson_3,Europe,CRM
O-500250,2024-10-28,C-2620,101,CRM Pro,Software,16,10368,Salesperson_2,North America,CRM
O-500251,2023-09-25,C-3925,101,CRM Pro,Software,18,19764,Salesperson_7,Europe,CRM
O-500252,2024-03-26,C-2986,102,Analytics Suite,Software,7,9849,Salesperson_10,North America,CRM
O-500253,2024-04-23,C-2265,101,CRM Pro,Software,18,5094,Salesperson_4,Europe,CRM
O-500254,2023-12-16,C-3307,201,POS Terminal,Hardware,5,3710,Salesperson_11,Europe,CRM
O-500255,2023-06-16,C-1006,102,Analytics Suite,Software,9,9801,Salesperson_2,Europe,CRM
O-500256,2024-08-28,C-1597,101,CRM Pro,Software,20,20840,Salesperson_2,Europe,CRM
O-500257,2023-07-15,C-2542,102,Analytics Suite,Software,13,19448,Salesperson_9,North America,CRM
O-500258,2024-09-02,C-1961,101,CRM Pro,Software,10,12970,Salesperson_6,North America,CRM
O-500259,2023-09-03,C-1451,101,CRM Pro,Software,4,3380,Salesperson_2,Europe,CRM
O-500260,2023-09-14,C-3655,201,POS Terminal,Hardware,12,6840,Salesperson_8,North America,CRM
O-500261,2023-07-07,C-1845,102,Analytics Suite,Software,5,5800,Salesperson_11,Europe,CRM
O-500262,2024-04-18,C-3626,201,POS Terminal,Hardware,4,2292,Salesperson_5,Asia,CRM
O-500263,2023-03-09,C-1761,201,POS Terminal,Hardware,10,10570,Salesperson_4,Asia,CRM
O-500264,2024-11-19,C-2843,101,CRM Pro,Software,12,7308,Salesperson_10,Europe,CRM
O-500265,2024-10-29,C-3958,201,POS Terminal,Hardware,20,5180,Salesperson_8,Europe,CRM
O-500266,2023-03-14,C-1139,201,POS Terminal,Hardware,16,9936,Salesperson_8,Asia,CRM
O-500267,2023-10-02,C-3142,101,CRM Pro,Software,5,6360,Salesperson_1,Europe,CRM
O-500268,2024-01-03,C-1410,101,CRM Pro,Software,1,282,Salesperson_7,Asia,CRM
O-500269,2023-01-10,C-3567,101,CRM Pro,Software,1,655,Salesperson_9,Asia,CRM
O-500270,2024-12-31,C-1169,102,Analytics Suite,Software,17,6324,Salesperson_7,Europe,CRM
O-500271,2023-01-17,C-2417,101,CRM Pro,Software,15,10500,Salesperson_9,Asia,CRM
O-500272,2024-12-05,C-2490,102,Analytics Suite,Software,6,3810,Salesperson_7,Asia,CRM
O-500273,2023-01-25,C-1746,201,POS Terminal,Hardware,15,5130,Salesperson_3,Europe,CRM
O-500274,2023-01-20,C-1575,201,POS Terminal,Hardware,2,828,Salesperson_5,Europe,CRM
