order_id,order_date,product_id,product_name,category,units,revenue,currency,region,salesperson,stage
O-600112,2024-07-02,201,POS Terminal,Hardware,3,1437,GBP,UK,Salesperson_6,Won
O-600113,2023-08-29,101,CRM Pro,Software,20,17140,USD,North America,Salesperson_7,Won
O-600114,2024-08-03,101,CRM Pro,Software,17,5056650,JPY,Japan,Salesperson_4,Won
O-600115,2024-09-07,102,Analytics Suite,Software,6,6264,USD,North America,Salesperson_3,Won
O-600116,2024-02-16,102,Analytics Suite,Software,18,2726640,PKR,Pakistan,Salesperson_1,Won
O-600117,2023-02-25,101,CRM Pro,Software,20,3981000,JPY,Japan,Salesperson_1,Won
O-600118,2024-06-04,102,Analytics Suite,Software,14,882000,JPY,Japan,Salesperson_4,Won
O-600119,2023-12-30,102,Analytics Suite,Software,11,17479,GBP,UK,Salesperson_5,Won
O-600120,2024-09-28,201,POS Terminal,Hardware,14,16436,USD,North America,Salesperson_6,Won
O-600121,2023-08-22,201,POS Terminal,Hardware,7,2436,GBP,UK,Salesperson_3,Won
O-600122,2024-08-28,102,Analytics Suite,Software,14,968240,PKR,Pakistan,Salesperson_5,Won
O-600123,2023-10-14,101,CRM Pro,Software,13,6097,GBP,UK,Salesperson_9,Won
O-600124,2024-02-23,102,Analytics Suite,Software,9,3771,USD,North America,Salesperson_7,Won
O-600125,2024-01-24,102,Analytics Suite,Software,2,2380,GBP,UK,Salesperson_7,Won
O-600126,2023-02-18,201,POS Terminal,Hardware,8,1704000,JPY,Japan,Salesperson_1,Won
O-600127,2023-11-16,101,CRM Pro,Software,8,3888,USD,North America,Salesperson_7,Won
O-600128,2023-08-23,201,POS Terminal,Hardware,10,17510,EUR,Europe,Salesperson_2,Won
O-600129,2024-06-14,201,POS Terminal,Hardware,8,9080,EUR,Europe,Salesperson_5,Won
O-600130,2024-01-28,102,Analytics Suite,Software,9,3258,EUR,Europe,Salesperson_6,Won
O-600131,2023-06-10,102,Analytics Suite,Software,8,3010560,PKR,Pakistan,Salesperson_5,Won
O-600132,2024-07-11,201,POS Terminal,Hardware,12,3132,GBP,UK,Salesperson_6,Won
O-600133,2023-06-23,101,CRM Pro,Software,10,1671000,JPY,Japan,Salesperson_5,Won
O-600134,2024-06-14,101,CRM Pro,Software,19,15637,EUR,Europe,Salesperson_2,Won
O-600135,2024-07-07,102,Analytics Suite,Software,10,5040,GBP,UK,Salesperson_8,Won
O-600136,2024-08-01,101,CRM Pro,Software,20,4515000,JPY,Japan,Salesperson_8,Won
O-600137,2024-09-02,101,CRM Pro,Software,19,6570200,PKR,Pakistan,Salesperson_4,Won
O-600138,2024-12-11,102,Analytics Suite,Software,16,13168,GBP,UK,Salesperson_8,Won
O-600139,2024-06-14,102,Analytics Suite,Software,16,1039360,PKR,Pakistan,Salesperson_9,Won
O-600140,2024-12-07,102,Analytics Suite,Software,3,1836,USD,North America,Salesperson_4,Won
O-600141,2024-11-25,102,Analytics Suite,Software,7,2135,EUR,Europe,Salesperson_1,Won
O-600142,2023-12-01,102,Analytics Suite,Software,3,1590960,PKR,Pakistan,Salesperson_5,Won
O-600143,2023-03-21,102,Analytics Suite,Software,9,13311,GBP,UK,Salesperson_3,Won
O-600144,2024-01-21,102,Analytics Suite,Software,18,23364,EUR,Europe,Salesperson_1,Won
O-600145,2024-12-27,201,POS Terminal,Hardware,1,1885,EUR,Europe,Salesperson_8,Won
O-600146,2024-11-27,102,Analytics Suite,Software,6,520800,PKR,Pakistan,Salesperson_2,Won
O-600147,2023-03-01,102,Analytics Suite,Software,3,3780,GBP,UK,Salesperson_2,Won
O-600148,2024-04-21,102,Analytics Suite,Software,6,3462,EUR,Europe,Salesperson_2,Won
O-600149,2024-07-30,101,CRM Pro,Software,5,5070,EUR,Europe,Salesperson_3,Won
O-600150,2024-07-24,102,Analytics Suite,Software,5,7315,EUR,Europe,Salesperson_5,Won
O-600151,2023-01-24,201,POS Terminal,Hardware,10,18330,EUR,Europe,Salesperson_8,Won
O-600152,2024-11-24,201,POS Terminal,Hardware,15,14190,USD,North America,Salesperson_3,Won
O-600153,2023-09-03,201,POS Terminal,Hardware,6,945840,PKR,Pakistan,Salesperson_8,Won
O-600154,2023-04-01,201,POS Terminal,Hardware,4,4844,EUR,Europe,Salesperson_2,Won
O-600155,2024-12-16,201,POS Terminal,Hardware,20,5247200,PKR,Pakistan,Salesperson_7,Won
O-600156,2023-02-12,101,CRM Pro,Software,10,9650,USD,North America,Salesperson_5,Won
O-600157,2024-03-07,102,Analytics Suite,Software,18,21060,GBP,UK,Salesperson_3,Won
O-600158,2023-08-07,201,POS Terminal,Hardware,8,728000,PKR,Pakistan,Salesperson_3,Won
O-600159,2023-08-06,102,Analytics Suite,Software,11,17380,EUR,Europe,Salesperson_7,Won
O-600160,2024-11-13,201,POS Terminal,Hardware,3,2289,GBP,UK,Salesperson_8,Won
O-600161,2024-06-20,101,CRM Pro,Software,17,2873,GBP,UK,Salesperson_3,Won
O-600162,2023-07-08,102,Analytics Suite,Software,4,272400,JPY,Japan,Salesperson_2,Won
O-600163,2023-04-24,102,Analytics Suite,Software,19,4793700,JPY,Japan,Salesperson_1,Won
O-600164,2023-09-03,101,CRM Pro,Software,19,13205,GBP,UK,Salesperson_5,Won
O-600165,2023-08-14,102,Analytics Suite,Software,19,3961500,JPY,Japan,Salesperson_2,Won
O-600166,2023-08-20,102,Analytics Suite,Software,12,12648,EUR,Europe,Salesperson_1,Won
O-600167,2024-12-24,201,POS Terminal,Hardware,2,697200,PKR,Pakistan,Salesperson_9,Won
O-600168,2024-06-17,101,CRM Pro,Software,8,2112,GBP,UK,Salesperson_3,Won
O-600169,2023-04-09,201,POS Terminal,Hardware,19,33877,USD,North America,Salesperson_8,Won
O-600170,2024-04-18,201,POS Terminal,Hardware,3,4770,EUR,Europe,Salesperson_9,Won
O-600171,2024-05-02,101,CRM Pro,Software,16,3297600,JPY,Japan,Salesperson_7,Won
O-600172,2024-10-18,101,CRM Pro,Software,5,466200,PKR,Pakistan,Salesperson_2,Won
O-600173,2024-04-29,101,CRM Pro,Software,10,5500,GBP,UK,Salesperson_1,Won
O-600174,2023-04-02,201,POS Terminal,Hardware,18,10440,USD,North America,Salesperson_3,Won
O-600175,2024-03-02,101,CRM Pro,Software,14,15526,USD,North America,Salesperson_5,Won
O-600176,2024-11-11,102,Analytics Suite,Software,13,1204840,PKR,Pakistan,Salesperson_3,Won
O-600177,2023-12-27,101,CRM Pro,Software,2,2888,GBP,UK,Salesperson_5,Won
O-600178,2023-03-01,201,POS Terminal,Hardware,10,927000,JPY,Japan,Salesperson_7,Won
O-600179,2023-05-20,102,Analytics Suite,Software,10,2898000,PKR,Pakistan,Salesperson_1,Won
O-600180,2023-11-16,201,POS Terminal,Hardware,5,5945,USD,North America,Salesperson_5,Won
O-600181,2023-09-12,101,CRM Pro,Software,12,4559520,PKR,Pakistan,Salesperson_9,Won
O-600182,2024-06-14,201,POS Terminal,Hardware,13,5239,USD,North America,Salesperson_6,Won
O-600183,2023-05-23,102,Analytics Suite,Software,11,4169,EUR,Europe,Salesperson_9,Won
O-600184,2023-03-16,201,POS Terminal,Hardware,12,766800,JPY,Japan,Salesperson_5,Won
O-600185,2023-11-10,101,CRM Pro,Software,19,25213,USD,North America,Salesperson_1,Won
O-600186,2023-09-23,201,POS Terminal,Hardware,7,3869040,PKR,Pakistan,Salesperson_9,Won
O-600187,2024-01-16,101,CRM Pro,Software,2,765520,PKR,Pakistan,Salesperson_8,Won
O-600188,2023-02-22,201,POS Terminal,Hardware,6,1222200,JPY,Japan,Salesperson_6,Won
O-600189,2023-08-27,102,Analytics Suite,Software,2,430080,PKR,Pakistan,Salesperson_2,Won
O-600190,2024-01-15,102,Analytics Suite,Software,8,14552,USD,North America,Salesperson_1,Won
O-600191,2024-12-27,101,CRM Pro,Software,4,3900,GBP,UK,Salesperson_3,Won
O-600192,2023-06-22,201,POS Terminal,Hardware,5,373800,PKR,Pakistan,Salesperson_2,Won
O-600193,2024-12-23,201,POS Terminal,Hardware,5,940800,PKR,Pakistan,Salesperson_1,Won
O-600194,2023-12-09,201,POS Terminal,Hardware,18,4320,GBP,UK,Salesperson_2,Won
O-600195,2023-08-03,101,CRM Pro,Software,13,14157,EUR,Europe,Salesperson_4,Won
O-600196,2023-07-04,102,Analytics Suite,Software,4,1405600,PKR,Pakistan,Salesperson_3,Won
O-600197,2024-03-02,102,Analytics Suite,Software,7,2322600,PKR,Pakistan,Salesperson_5,Won
O-600198,2023-03-11,102,Analytics Suite,Software,19,16226,GBP,UK,Salesperson_4,Won
O-600199,2024-08-21,102,Analytics Suite,Software,9,1655100,JPY,Japan,Salesperson_2,Won
O-600200,2024-08-10,101,CRM Pro,Software,8,7304,USD,North America,Salesperson_5,Won
O-600201,2024-06-04,102,Analytics Suite,Software,20,6832000,PKR,Pakistan,Salesperson_1,Won
O-600202,2024-11-10,101,CRM Pro,Software,7,10388,USD,North America,Salesperson_1,Won
O-600203,2023-06-12,101,CRM Pro,Software,13,9100,GBP,UK,Salesperson_3,Won
O-600204,2023-05-01,101,CRM Pro,Software,9,4533480,PKR,Pakistan,Salesperson_7,Won
O-600205,2023-06-28,201,POS Terminal,Hardware,6,4248,USD,North America,Salesperson_4,Won
O-600206,2023-06-30,201,POS Terminal,Hardware,20,8943200,PKR,Pakistan,Salesperson_8,Won
O-600207,2023-05-30,102,Analytics Suite,Software,11,4040960,PKR,Pakistan,Salesperson_3,Won
O-600208,2024-09-13,102,Analytics Suite,Software,8,11944,USD,North America,Salesperson_5,Won
O-600209,2023-11-26,101,CRM Pro,Software,19,20520,GBP,UK,Salesperson_6,Won
O-600210,2023-10-11,201,POS Terminal,Hardware,10,2254500,JPY,Japan,Salesperson_2,Won
O-600211,2024-12-29,101,CRM Pro,Software,5,3605,USD,North America,Salesperson_4,Won
O-600212,2024-08-20,101,CRM Pro,Software,9,5544,USD,North America,Salesperson_9,Won
O-600213,2024-12-28,102,Analytics Suite,Software,14,2171400,JPY,Japan,Salesperson_9,Won
O-600214,2024-06-09,101,CRM Pro,Software,4,1676640,PKR,Pakistan,Salesperson_6,Won
O-600215,2023-11-29,101,CRM Pro,Software,6,2658,GBP,UK,Salesperson_5,Won
O-600216,2024-08-22,101,CRM Pro,Software,8,3124800,PKR,Pakistan,Salesperson_8,Won
O-600217,2023-07-26,102,Analytics Suite,Software,4,2364,USD,North America,Salesperson_2,Won
O-600218,2023-11-07,201,POS Terminal,Hardware,14,2990400,JPY,Japan,Salesperson_8,Won
O-600219,2024-01-23,201,POS Terminal,Hardware,14,5530,GBP,UK,Salesperson_9,Won
O-600220,2024-08-07,101,CRM Pro,Software,14,2772,GBP,UK,Salesperson_5,Won
O-600221,2024-07-04,201,POS Terminal,Hardware,19,1131450,JPY,Japan,Salesperson_5,Won
O-600222,2024-06-13,101,CRM Pro,Software,13,2685150,JPY,Japan,Salesperson_3,Won
O-600223,2023-11-10,201,POS Terminal,Hardware,15,5805,GBP,UK,Salesperson_9,Won
O-600224,2023-10-25,201,POS Terminal,Hardware,11,4224,GBP,UK,Salesperson_5,Won
O-600225,2023-12-05,201,POS Terminal,Hardware,18,24606,EUR,Europe,Salesperson_9,Won
O-600226,2023-08-27,102,Analytics Suite,Software,1,816,USD,North America,Salesperson_9,Won
O-600227,2024-08-04,101,CRM Pro,Software,16,6480,USD,North America,Salesperson_5,Won
O-600228,2023-04-10,102,Analytics Suite,Software,10,13840,EUR,Europe,Salesperson_3,Won
O-600229,2023-03-18,101,CRM Pro,Software,3,490560,PKR,Pakistan,Salesperson_7,Won
O-600230,2024-06-07,101,CRM Pro,Software,9,2016,USD,North America,Salesperson_5,Won
O-600231,2024-05-30,102,Analytics Suite,Software,19,9576,GBP,UK,Salesperson_1,Won
O-600232,2024-12-16,101,CRM Pro,Software,11,17875,USD,North America,Salesperson_1,Won
O-600233,2024-06-20,101,CRM Pro,Software,12,17724,GBP,UK,Salesperson_6,Won
O-600234,2024-08-19,101,CRM Pro,Software,11,457050,JPY,Japan,Salesperson_7,Won
O-600235,2023-07-08,101,CRM Pro,Software,14,7698880,PKR,Pakistan,Salesperson_1,Won
O-600236,2024-04-12,102,Analytics Suite,Software,14,9520,GBP,UK,Salesperson_2,Won
O-600237,2023-01-30,102,Analytics Suite,Software,18,22104,USD,North America,Salesperson_2,Won
O-600238,2024-07-03,101,CRM Pro,Software,15,23025,GBP,UK,Salesperson_2,Won
O-600239,2024-01-11,101,CRM Pro,Software,20,8400,EUR,Europe,Salesperson_5,Won
O-600240,2024-01-30,101,CRM Pro,Software,15,13695,USD,North America,Salesperson_6,Won
O-600241,2023-07-28,102,Analytics Suite,Software,5,9760,USD,North America,Salesperson_1,Won
O-600242,2023-04-08,101,CRM Pro,Software,8,670800,JPY,Japan,Salesperson_5,Won
O-600243,2024-06-09,201,POS Terminal,Hardware,17,12801,USD,North America,Salesperson_9,Won
O-600244,2024-09-28,201,POS Terminal,Hardware,10,621600,PKR,Pakistan,Salesperson_5,Won
O-600245,2023-02-28,102,Analytics Suite,Software,18,16758,EUR,Europe,Salesperson_8,Won
O-600246,2023-08-28,201,POS Terminal,Hardware,5,920250,JPY,Japan,Salesperson_5,Won
O-600247,2023-03-27,201,POS Terminal,Hardware,16,933600,JPY,Japan,Salesperson_4,Won
O-600248,2024-03-18,201,POS Terminal,Hardware,1,85500,JPY,Japan,Salesperson_6,Won
O-600249,2023-12-25,101,CRM Pro,Software,10,18100,USD,North America,Salesperson_1,Won
O-600250,2024-08-22,201,POS Terminal,Hardware,5,361200,PKR,Pakistan,Salesperson_1,Won
O-600251,2023-07-09,101,CRM Pro,Software,10,13440,EUR,Europe,Salesperson_9,Won
O-600252,2023-10-20,201,POS Terminal,Hardware,3,929040,PKR,Pakistan,Salesperson_2,Won
O-600253,2024-09-06,102,Analytics Suite,Software,8,4536,GBP,UK,Salesperson_6,Won
O-600254,2023-11-23,102,Analytics Suite,Software,6,2345280,PKR,Pakistan,Salesperson_6,Won
O-600255,2023-05-02,201,POS Terminal,Hardware,5,5680,GBP,UK,Salesperson_2,Won
O-600256,2023-11-01,101,CRM Pro,Software,5,7535,USD,North America,Salesperson_1,Won
O-600257,2023-06-25,102,Analytics Suite,Software,18,24768,GBP,UK,Salesperson_4,Won
O-600258,2024-03-18,201,POS Terminal,Hardware,14,1190700,JPY,Japan,Salesperson_1,Won
O-600259,2023-01-28,102,Analytics Suite,Software,10,6790,EUR,Europe,Salesperson_6,Won
O-600260,2024-04-10,201,POS Terminal,Hardware,17,9061,EUR,Europe,Salesperson_6,Won
O-600261,2023-09-19,201,POS Terminal,Hardware,8,9864,GBP,UK,Salesperson_3,Won
O-600262,2023-01-28,101,CRM Pro,Software,7,11326,EUR,Europe,Salesperson_3,Won
O-600263,2024-04-02,102,Analytics Suite,Software,16,5953920,PKR,Pakistan,Salesperson_9,Won
O-600264,2024-07-31,102,Analytics Suite,Software,17,8364,GBP,UK,Salesperson_6,Won
O-600265,2024-01-10,201,POS Terminal,Hardware,11,14740,USD,North America,Salesperson_2,Won
O-600266,2023-06-14,201,POS Terminal,Hardware,17,18853,GBP,UK,Salesperson_9,Won
O-600267,2023-03-05,101,CRM Pro,Software,5,3865,USD,North America,Salesperson_2,Won
O-600268,2023-09-02,101,CRM Pro,Software,1,360080,PKR,Pakistan,Salesperson_4,Won
O-600269,2024-02-04,101,CRM Pro,Software,13,9698,USD,North America,Salesperson_8,Won
O-600270,2024-06-04,101,CRM Pro,Software,19,25631,USD,North America,Salesperson_1,Won
O-600271,2024-07-24,101,CRM Pro,Software,4,2832,GBP,UK,Salesperson_8,Won
O-600272,2024-09-02,101,CRM Pro,Software,16,24400,USD,North America,Salesperson_1,Won
O-600273,2023-03-31,101,CRM Pro,Software,17,6120,GBP,UK,Salesperson_2,Won
O-600274,2023-12-05,102,Analytics Suite,Software,14,27580,USD,North America,Salesperson_5,Won
O-600275,2024-03-31,201,POS Terminal,Hardware,13,7410,EUR,Europe,Salesperson_9,Won
O-600276,2023-09-04,201,POS Terminal,Hardware,18,30924,EUR,Europe,Salesperson_9,Won
O-600277,2024-07-17,102,Analytics Suite,Software,12,11616,USD,North America,Salesperson_5,Won
O-600278,2024-04-11,201,POS Terminal,Hardware,5,6480,EUR,Europe,Salesperson_9,Won
O-600279,2023-03-13,201,POS Terminal,Hardware,13,2231320,PKR,Pakistan,Salesperson_3,Won
O-600280,2024-01-01,101,CRM Pro,Software,19,10608080,PKR,Pakistan,Salesperson_9,Won
O-600281,2024-07-28,201,POS Terminal,Hardware,7,3508400,PKR,Pakistan,Salesperson_7,Won
O-600282,2024-10-08,101,CRM Pro,Software,18,9864,EUR,Europe,Salesperson_9,Won
O-600283,2023-04-17,201,POS Terminal,Hardware,17,11985,GBP,UK,Salesperson_8,Won
