order_id,opportunity_id,customer_id,lead_date,close_date,order_date,revenue,units,product_id,product_name,category,salesperson,region,channel,stage,is_returning
O-100085,OPP-200085,C-1890,2023-02-02,2023-02-17,2023-02-17,2652.0,4.0,102,Analytics Suite,Software,Salesperson_2,Asia,Partner,Qualified,False
O-100086,OPP-200086,C-1089,2024-09-05,2024-09-25,2024-09-25,7600.0,10.0,101,CRM Pro,Software,Salesperson_2,Asia,,Qualified,False
O-100087,OPP-200087,C-4224,2024-03-10,2024-04-03,2024-04-03,3536.0,4.0,102,Analytics Suite,Software,Salesperson_3,Europe,Outbound,Lead,True
O-100088,OPP-200088,C-4748,2023-07-06,2023-07-25,,,5.0,103,Sales Booster,Software,Salesperson_5,North America,Inbound,Won,False
O-100089,OPP-200089,C-3059,2023-12-09,,,,15.0,101,CRM Pro,Software,Salesperson_5,North America,Inbound,Qualified,True
O-100090,OPP-200090,C-3581,2023-06-25,2023-06-30,2023-06-30,2652.0,12.0,201,POS Terminal,Hardware,,Asia,Partner,Lead,True
,OPP-200091,C-2309,2024-11-21,2024-12-10,2024-12-10,,9.0,101,CRM Pro,Software,,Asia,Partner,Qualified,False
O-100092,OPP-200092,C-3094,2023-04-28,,,1724.0,4.0,101,CRM Pro,Software,Salesperson_8,North America,,Lost,True
O-100093,OPP-200093,C-1550,2023-02-26,2023-03-20,2023-03-20,3159.0,13.0,103,Sales Booster,Software,Salesperson_4,Europe,Partner,Lead,
O-100094,OPP-200094,C-3827,2023-06-04,,,,7.0,201,POS Terminal,Hardware,Salesperson_4,Asia,Partner,Lost,True
O-100095,OPP-200095,C-4116,2024-03-13,,,3903.0,,201,POS Terminal,Hardware,Salesperson_7,Europe,,Won,False
,OPP-200096,C-3537,2024-05-17,2024-06-09,2024-06-09,10681.0,11.0,103,Sales Booster,Software,,North America,,Lead,True
O-100097,OPP-200097,C-1130,2023-10-10,2023-10-25,2023-10-25,9459.0,9.0,103,Sales Booster,Software,,Europe,Partner,Qualified,True
O-100098,OPP-200098,C-1761,2023-05-06,2023-05-20,2023-05-20,,,101,CRM Pro,Software,Salesperson_9,Europe,Outbound,Won,False
O-100099,OPP-200099,C-1711,2024-02-26,2024-03-19,2024-03-19,,4.0,103,Sales Booster,Software,,North America,Inbound,Qualified,False
O-100100,OPP-200100,C-4004,2023-02-14,2023-03-04,2023-03-04,1556.0,2.0,101,CRM Pro,Software,Salesperson_7,Europe,,Won,False
O-100101,OPP-200101,C-2280,2024-01-31,,,12930.0,10.0,201,POS Terminal,Hardware,Salesperson_6,Europe,Inbound,Qualified,True
O-100102,OPP-200102,C-4176,2023-03-18,2023-04-09,2023-04-09,5952.0,8.0,103,Sales Booster,Software,Salesperson_6,Europe,Partner,Lost,False
O-100103,OPP-200103,C-3845,2024-03-30,,,8718.0,,101,CRM Pro,Software,Salesperson_9,North America,Inbound,Qualified,False
O-100104,OPP-200104,C-2530,2024-11-08,2024-12-01,2024-12-01,3224.0,13.0,101,CRM Pro,Software,,North America,Partner,Qualified,False
O-100105,OPP-200105,C-2244,2024-04-26,2024-05-04,2024-05-04,5478.0,6.0,201,POS Terminal,Hardware,Salesperson_10,Europe,Partner,Lead,False
O-100106,OPP-200106,C-1421,2023-08-03,,,2295.0,5.0,102,Analytics Suite,Software,Salesperson_3,Asia,Partner,Lost,False
O-100107,OPP-200107,C-4213,2024-11-11,,,,3.0,101,CRM Pro,Software,Salesperson_7,Europe,,Qualified,True
O-100108,OPP-200108,C-4488,2023-09-07,,,11175.0,15.0,101,CRM Pro,Software,,Asia,Inbound,Won,False
O-100109,OPP-200109,C-3464,2024-12-12,2024-12-28,2024-12-28,6144.0,12.0,101,CRM Pro,Software,Salesperson_10,North America,Inbound,Won,
O-100110,OPP-200110,C-4599,2024-08-03,2024-08-10,2024-08-10,8874.0,6.0,201,POS Terminal,Hardware,Salesperson_4,Europe,,Won,True
O-100111,OPP-200111,C-4216,2024-01-05,2024-01-19,2024-01-19,3318.0,3.0,101,CRM Pro,Software,Salesperson_10,Europe,,Lead,False
,OPP-200112,C-2087,2023-02-15,2023-02-25,2023-02-25,8736.0,,102,Analytics Suite,Software,Salesperson_3,North America,Partner,Lead,False
,OPP-200113,C-1724,2024-02-02,2024-02-20,2024-02-20,10548.0,9.0,102,Analytics Suite,Software,Salesperson_10,North America,Inbound,Lost,True
O-100114,OPP-200114,C-3397,2024-04-20,2024-05-02,2024-05-02,,6.0,103,Sales Booster,Software,Salesperson_3,Europe,Outbound,Lost,True
O-100115,OPP-200115,C-3684,2023-02-24,2023-03-03,,,13.0,201,POS Terminal,Hardware,Salesperson_1,Europe,,Qualified,True
O-100116,OPP-200116,C-2408,2024-12-17,,,2008.0,2.0,102,Analytics Suite,Software,Salesperson_2,Europe,Inbound,Lost,True
O-100117,OPP-200117,C-3720,2024-07-28,2024-08-13,2024-08-13,4176.0,12.0,201,POS Terminal,Hardware,Salesperson_1,Asia,Partner,Won,False
O-100118,OPP-200118,C-4714,2024-05-10,,,5764.0,11.0,101,CRM Pro,Software,Salesperson_4,Europe,Outbound,Won,True
O-100119,OPP-200119,C-1062,2024-07-04,,,1862.0,7.0,102,Analytics Suite,Software,Salesperson_2,North America,Partner,Lead,False
O-100120,OPP-200120,C-1954,2024-12-09,2024-12-22,2024-12-22,17148.0,12.0,103,Sales Booster,Software,Salesperson_2,Europe,Partner,Lead,True
O-100121,OPP-200121,C-3394,2023-02-21,2023-03-03,2023-03-03,4508.0,4.0,101,CRM Pro,Software,Salesperson_8,Asia,Outbound,Won,False
O-100122,OPP-200122,C-2458,2023-02-25,2023-03-05,2023-03-05,2780.0,5.0,103,Sales Booster,Software,Salesperson_7,Asia,Outbound,Won,True
O-100123,OPP-200123,C-4623,2024-01-17,2024-01-29,2024-01-29,3644.0,,201,POS Terminal,Hardware,Salesperson_6,Asia,Partner,Lost,False
O-100124,OPP-200124,C-1904,2023-03-21,2023-04-08,2023-04-08,4590.0,6.0,201,POS Terminal,Hardware,Salesperson_10,Europe,Outbound,Lead,True
O-100125,OPP-200125,C-3134,2024-03-12,2024-04-03,2024-04-03,5232.0,8.0,103,Sales Booster,Software,Salesperson_10,Asia,,Won,
O-100126,OPP-200126,C-2277,2024-05-14,2024-06-07,2024-06-07,12960.0,10.0,101,CRM Pro,Software,Salesperson_1,North America,Outbound,Lead,False
O-100127,OPP-200127,C-3762,2023-03-11,2023-03-18,2023-03-18,3270.0,5.0,101,CRM Pro,Software,Salesperson_9,Europe,Outbound,Qualified,False
O-100128,OPP-200128,C-4392,2023-10-27,,,458.0,,102,Analytics Suite,Software,,Europe,Outbound,Won,True
O-100129,OPP-200129,C-4849,2024-08-07,2024-08-19,2024-08-19,8437.0,11.0,101,CRM Pro,Software,Salesperson_10,Europe,,Lost,True
O-100130,OPP-200130,C-3445,2024-11-19,,,6894.0,6.0,101,CRM Pro,Software,Salesperson_10,North America,Partner,Qualified,False
O-100131,OPP-200131,C-4132,2023-10-21,,,3132.0,12.0,201,POS Terminal,Hardware,,Europe,Inbound,Lead,False
O-100132,OPP-200132,C-2380,2023-06-01,2023-06-10,2023-06-10,,2.0,101,CRM Pro,Software,,North America,Partner,Lead,True
O-100133,OPP-200133,C-4082,2023-07-22,2023-08-04,2023-08-04,412.0,2.0,201,POS Terminal,Hardware,Salesperson_5,North America,,Qualified,True
O-100134,OPP-200134,C-1773,2024-03-01,2024-03-21,2024-03-21,14860.0,10.0,201,POS Terminal,Hardware,,North America,Outbound,Lost,False
O-100135,OPP-200135,C-1626,2023-12-16,,,10946.0,,102,Analytics Suite,Software,Salesperson_4,North America,,Lead,True
O-100136,OPP-200136,C-2529,2024-10-11,2024-10-20,,732.0,1.0,201,POS Terminal,Hardware,Salesperson_4,Europe,Inbound,Lead,False
O-100137,OPP-200137,C-2579,2023-06-23,,,,10.0,101,CRM Pro,Software,Salesperson_4,Europe,Inbound,Won,False
O-100138,OPP-200138,C-2714,2023-10-26,2023-11-04,2023-11-04,12150.0,15.0,102,Analytics Suite,Software,Salesperson_8,Asia,Partner,Qualified,
O-100139,OPP-200139,C-1617,2024-06-17,,,8556.0,6.0,103,Sales Booster,Software,Salesperson_4,North America,Outbound,Qualified,True
,OPP-200140,C-2050,2023-05-09,2023-05-17,2023-05-17,,9.0,101,CRM Pro,Software,Salesperson_10,North America,,Lost,False
O-100141,OPP-200141,C-1793,2024-05-20,2024-06-02,2024-06-02,2954.0,7.0,103,Sales Booster,Software,Salesperson_8,Asia,,Qualified,
O-100142,OPP-200142,C-3674,2023-02-28,2023-03-18,2023-03-18,5595.0,5.0,201,POS Terminal,Hardware,Salesperson_5,Europe,Outbound,Lead,False
O-100143,OPP-200143,C-3743,2023-02-20,2023-02-25,2023-02-25,14826.0,14.0,101,CRM Pro,Software,Salesperson_5,North America,Inbound,Lost,False
O-100144,OPP-200144,C-3808,2024-04-18,2024-05-07,2024-05-07,4100.0,10.0,102,Analytics Suite,Software,Salesperson_9,North America,Partner,Qualified,False
O-100145,OPP-200145,C-1892,2024-09-23,2024-10-03,2024-10-03,326.0,1.0,103,Sales Booster,Software,Salesperson_3,Europe,,Lost,False
O-100146,OPP-200146,C-2810,2023-08-22,,,10872.0,12.0,103,Sales Booster,Software,Salesperson_10,Asia,Outbound,Qualified,False
O-100147,OPP-200147,C-1961,2023-02-27,,,,7.0,201,POS Terminal,Hardware,Salesperson_7,Europe,Partner,Lost,False
O-100148,OPP-200148,C-4957,2023-06-06,,,8092.0,,101,CRM Pro,Software,,North America,,Lost,True
O-100149,OPP-200149,C-1405,2023-07-27,,,2220.0,2.0,103,Sales Booster,Software,Salesperson_10,Europe,,Qualified,False
O-100150,OPP-200150,C-1026,2024-10-19,2024-11-10,2024-11-10,3726.0,9.0,101,CRM Pro,Software,Salesperson_2,Asia,Outbound,Lead,True
O-100151,OPP-200151,C-1717,2024-07-31,2024-08-12,2024-08-12,1133.0,11.0,102,Analytics Suite,Software,Salesperson_8,North America,Inbound,Lead,True
O-100152,OPP-200152,C-1181,2023-05-17,2023-06-09,,,8.0,101,CRM Pro,Software,Salesperson_3,North America,Partner,Lead,False
O-100153,OPP-200153,C-4293,2023-03-30,,,9306.0,11.0,101,CRM Pro,Software,Salesperson_2,North America,Outbound,Lead,False
O-100154,OPP-200154,C-1990,2024-12-20,2025-01-09,2025-01-09,1140.0,,201,POS Terminal,Hardware,Salesperson_1,North America,Partner,Qualified,False
O-100155,OPP-200155,C-4970,2024-09-19,2024-10-12,2024-10-12,950.0,5.0,201,POS Terminal,Hardware,Salesperson_3,North America,Partner,Lost,False
O-100156,OPP-200156,C-4369,2024-04-26,2024-05-01,2024-05-01,2845.0,5.0,101,CRM Pro,Software,Salesperson_7,Europe,,Won,False
O-100157,OPP-200157,C-2480,2024-06-07,2024-06-26,2024-06-26,8827.0,7.0,201,POS Terminal,Hardware,Salesperson_5,Asia,Partner,Lead,True
O-100158,OPP-200158,C-2406,2023-07-26,2023-08-16,2023-08-16,3510.0,3.0,103,Sales Booster,Software,Salesperson_7,North America,Outbound,Lead,True
O-100159,OPP-200159,C-4490,2024-04-14,,,3195.0,5.0,103,Sales Booster,Software,Salesperson_3,Europe,,Won,True
O-100160,OPP-200160,C-2077,2024-12-09,,,1375.0,5.0,201,POS Terminal,Hardware,,Asia,Outbound,Lead,True
O-100161,OPP-200161,C-4686,2024-01-26,,,2784.0,8.0,102,Analytics Suite,Software,Salesperson_7,North America,Inbound,Qualified,True
O-100162,OPP-200162,C-1881,2023-05-27,,,17280.0,12.0,101,CRM Pro,Software,Salesperson_2,North America,Inbound,Lead,True
O-100163,OPP-200163,C-3294,2023-06-01,2023-06-25,2023-06-25,,15.0,102,Analytics Suite,Software,Salesperson_7,North America,Inbound,Lost,True
O-100164,OPP-200164,C-2902,2024-08-24,,,951.0,1.0,101,CRM Pro,Software,Salesperson_8,North America,Outbound,Qualified,True
O-100165,OPP-200165,C-1231,2024-06-08,2024-06-24,2024-06-24,15932.0,14.0,103,Sales Booster,Software,Salesperson_1,Europe,Outbound,Lead,True
O-100166,OPP-200166,C-4596,2024-11-18,2024-12-05,2024-12-05,918.0,9.0,201,POS Terminal,Hardware,Salesperson_2,North America,Inbound,Lost,True
O-100167,OPP-200167,C-2490,2024-09-16,,,851.0,1.0,102,Analytics Suite,Software,Salesperson_10,Europe,,Lead,True
O-100168,OPP-200168,C-2955,2023-06-11,2023-06-17,,10200.0,10.0,103,Sales Booster,Software,Salesperson_8,Asia,Partner,Lost,True
O-100169,OPP-200169,C-4679,2024-10-18,2024-10-25,,2726.0,2.0,103,Sales Booster,Software,Salesperson_7,Asia,Partner,Lead,False
O-100170,OPP-200170,C-3370,2024-03-04,2024-03-13,2024-03-13,8448.0,6.0,101,CRM Pro,Software,Salesperson_7,Asia,Partner,Lost,False
O-100171,OPP-200171,C-1646,2023-01-16,2023-01-31,2023-01-31,187.0,1.0,101,CRM Pro,Software,Salesperson_1,North America,Inbound,Qualified,
O-100172,OPP-200172,C-4397,2024-05-29,,,3684.0,3.0,103,Sales Booster,Software,Salesperson_9,Europe,Partner,Lead,False
O-100173,OPP-200173,C-3649,2023-12-05,2023-12-19,2023-12-19,21645.0,15.0,103,Sales Booster,Software,Salesperson_6,Asia,Partner,Lost,True
O-100174,OPP-200174,C-3292,2024-10-10,2024-10-24,2024-10-24,4316.0,4.0,201,POS Terminal,Hardware,Salesperson_3,Asia,Inbound,Won,
O-100175,OPP-200175,C-4188,2024-08-05,2024-08-22,2024-08-22,5610.0,,103,Sales Booster,Software,Salesperson_10,North America,Partner,Qualified,True
O-100176,OPP-200176,C-3559,2023-03-06,2023-03-13,,1359.0,9.0,103,Sales Booster,Software,Salesperson_1,Europe,Partner,Qualified,True
O-100177,OPP-200177,C-4279,2023-04-17,2023-05-02,2023-05-02,,15.0,103,Sales Booster,Software,Salesperson_7,Europe,Inbound,Lost,False
O-100178,OPP-200178,C-4003,2024-02-03,2024-02-16,2024-02-16,1120.0,7.0,101,CRM Pro,Software,Salesperson_2,Europe,Partner,Qualified,True
O-100179,OPP-200179,C-3117,2024-11-18,2024-12-02,2024-12-02,,,102,Analytics Suite,Software,Salesperson_9,North America,Outbound,Qualified,False
O-100180,OPP-200180,C-2369,2023-09-21,2023-10-05,2023-10-05,3156.0,6.0,102,Analytics Suite,Software,Salesperson_8,North America,,Qualified,True
O-100181,OPP-200181,C-1874,2024-08-15,2024-09-08,,17916.0,12.0,201,POS Terminal,Hardware,Salesperson_3,Europe,Inbound,Lost,True
O-100182,OPP-200182,C-3456,2023-09-30,2023-10-17,2023-10-17,1888.0,4.0,201,POS Terminal,Hardware,Salesperson_5,Asia,Inbound,Lost,
O-100183,OPP-200183,C-1001,2023-05-26,2023-06-09,2023-06-09,20070.0,,103,Sales Booster,Software,Salesperson_5,Europe,Inbound,Won,False
O-100184,OPP-200184,C-4428,2023-09-26,2023-10-16,2023-10-16,257.0,1.0,102,Analytics Suite,Software,Salesperson_3,North America,Outbound,Won,True
